sec par, # entries, total bytes, total_time
224, 10, 2567, 0.022062
224, 10, 2567, 0.017734
224, 10, 2567, 0.024950
224, 10, 2567, 0.021488
224, 10, 2567, 0.018564
224, 10, 2567, 0.018710
224, 10, 2567, 0.018716
224, 10, 2567, 0.018624
224, 10, 2567, 0.018241
224, 10, 2567, 0.017918
-------------------------------------------
224, 20, 4847, 0.028245
224, 20, 4847, 0.029979
224, 20, 4847, 0.027437
224, 20, 4847, 0.026280
224, 20, 4847, 0.027056
224, 20, 4847, 0.030369
224, 20, 4847, 0.027114
224, 20, 4847, 0.027465
224, 20, 4847, 0.028007
224, 20, 4847, 0.026206
-------------------------------------------
224, 30, 7127, 0.037420
224, 30, 7127, 0.044097
224, 30, 7127, 0.036533
224, 30, 7127, 0.036333
224, 30, 7127, 0.034642
224, 30, 7127, 0.034954
224, 30, 7127, 0.039953
224, 30, 7127, 0.034522
224, 30, 7127, 0.035516
224, 30, 7127, 0.038338
-------------------------------------------
224, 40, 9407, 0.048603
224, 40, 9407, 0.048359
224, 40, 9407, 0.050736
224, 40, 9407, 0.045991
224, 40, 9407, 0.048153
224, 40, 9407, 0.050543
224, 40, 9407, 0.047569
224, 40, 9407, 0.047434
224, 40, 9407, 0.052905
224, 40, 9407, 0.047560
-------------------------------------------
224, 50, 11687, 0.191883
224, 50, 11687, 0.070137
224, 50, 11687, 0.064707
224, 50, 11687, 0.067779
224, 50, 11687, 0.055535
224, 50, 11687, 0.056679
224, 50, 11687, 0.056511
224, 50, 11687, 0.058024
224, 50, 11687, 0.057506
224, 50, 11687, 0.057439
-------------------------------------------
224, 60, 13967, 0.063321
224, 60, 13967, 0.072091
224, 60, 13967, 0.069871
224, 60, 13967, 0.071144
224, 60, 13967, 0.063963
224, 60, 13967, 0.066445
224, 60, 13967, 0.068274
224, 60, 13967, 0.062670
224, 60, 13967, 0.067959
224, 60, 13967, 0.065151
-------------------------------------------
224, 70, 16247, 0.073577
224, 70, 16247, 0.073781
224, 70, 16247, 0.072366
224, 70, 16247, 0.074721
224, 70, 16247, 0.072112
224, 70, 16247, 0.076643
224, 70, 16247, 0.073528
224, 70, 16247, 0.070720
224, 70, 16247, 0.073178
224, 70, 16247, 0.069818
-------------------------------------------
224, 80, 18527, 0.082988
224, 80, 18527, 0.083578
224, 80, 18527, 0.080873
224, 80, 18527, 0.231136
224, 80, 18527, 0.084016
224, 80, 18527, 0.083341
224, 80, 18527, 0.081282
224, 80, 18527, 0.080241
224, 80, 18527, 0.085190
224, 80, 18527, 0.079905
-------------------------------------------
224, 90, 20807, 0.094250
224, 90, 20807, 0.090252
224, 90, 20807, 0.092104
224, 90, 20807, 0.090107
224, 90, 20807, 0.092421
224, 90, 20807, 0.089731
224, 90, 20807, 0.089646
224, 90, 20807, 0.098994
224, 90, 20807, 0.097303
224, 90, 20807, 0.091625
-------------------------------------------
224, 100, 23087, 0.100024
224, 100, 23087, 0.101047
224, 100, 23087, 0.098906
224, 100, 23087, 0.097469
224, 100, 23087, 0.107976
224, 100, 23087, 0.104793
224, 100, 23087, 0.098295
224, 100, 23087, 0.103489
224, 100, 23087, 0.101414
224, 100, 23087, 0.098104
-------------------------------------------
