sec par, # entries, total bytes, total_time
2048, 10, 11266, 0.230984
2048, 10, 11266, 0.268998
2048, 10, 11266, 0.196820
2048, 10, 11266, 0.203735
2048, 10, 11266, 0.203657
2048, 10, 11266, 0.223140
2048, 10, 11266, 0.191806
2048, 10, 11266, 0.206935
2048, 10, 11266, 0.195945
2048, 10, 11266, 0.208308
2048, 20, 21506, 0.412298
2048, 20, 21506, 0.478949
2048, 20, 21504, 0.622836
2048, 20, 21506, 0.515628
2048, 20, 21506, 0.642322
2048, 20, 21504, 0.519186
2048, 20, 21506, 0.514223
2048, 20, 21506, 0.464593
2048, 20, 21506, 0.474836
2048, 20, 21506, 0.491791
2048, 30, 31746, 0.687987
2048, 30, 31746, 0.609835
2048, 30, 31746, 0.626792
2048, 30, 31744, 0.661647
2048, 30, 31746, 0.550569
2048, 30, 31746, 0.568844
2048, 30, 31746, 0.557187
2048, 30, 31746, 0.566797
2048, 30, 31744, 0.581334
2048, 30, 31746, 0.597873
2048, 40, 41986, 0.810495
2048, 40, 41986, 0.752060
2048, 40, 41986, 0.747165
2048, 40, 41984, 0.751190
2048, 40, 41986, 0.820374
2048, 40, 41984, 0.922934
2048, 40, 41984, 0.784651
2048, 40, 41986, 0.742921
2048, 40, 41986, 0.753114
2048, 40, 41980, 0.739131
2048, 50, 52226, 0.950708
2048, 50, 52226, 0.908253
2048, 50, 52226, 0.909869
2048, 50, 52226, 0.904089
2048, 50, 52224, 0.911668
2048, 50, 52226, 0.907114
2048, 50, 52226, 0.917016
2048, 50, 52226, 1.511549
2048, 50, 52226, 0.931476
2048, 50, 52224, 0.959799
2048, 60, 62464, 1.240221
2048, 60, 62466, 1.227437
2048, 60, 62464, 1.107421
2048, 60, 62464, 1.101748
2048, 60, 62464, 1.102675
2048, 60, 62466, 1.562444
2048, 60, 62464, 1.632228
2048, 60, 62466, 1.700011
2048, 60, 62462, 1.612730
2048, 60, 62466, 1.233059
2048, 70, 72704, 1.392444
2048, 70, 72702, 1.583010
2048, 70, 72706, 1.311157
2048, 70, 72706, 1.409259
2048, 70, 72704, 1.343932
2048, 70, 72706, 1.848598
2048, 70, 72706, 1.836979
2048, 70, 72706, 1.654459
2048, 70, 72706, 1.760978
2048, 70, 72704, 2.007519
2048, 80, 82944, 2.139152
2048, 80, 82946, 1.925457
2048, 80, 82946, 2.211052
2048, 80, 82944, 1.996476
2048, 80, 82944, 1.992877
2048, 80, 82944, 1.920325
2048, 80, 82944, 1.961168
2048, 80, 82946, 1.941653
2048, 80, 82944, 2.096270
2048, 80, 82942, 3.434546
2048, 90, 93186, 2.214744
2048, 90, 93186, 2.489962
2048, 90, 93186, 2.180717
2048, 90, 93182, 2.145645
2048, 90, 93186, 2.133698
2048, 90, 93184, 2.059251
2048, 90, 93184, 2.198315
2048, 90, 93184, 2.193747
2048, 90, 93186, 2.167406
2048, 90, 93182, 2.202552
2048, 100, 103426, 2.993686
2048, 100, 103426, 2.460751
2048, 100, 103426, 2.320951
2048, 100, 103424, 2.256868
2048, 100, 103426, 2.416452
2048, 100, 103424, 2.372035
2048, 100, 103424, 2.330089
2048, 100, 103424, 2.325705
2048, 100, 103426, 2.316795
2048, 100, 103424, 2.712078
