sec par, # entries, total bytes, total_time
2048, 10, 11266, 0.190847
2048, 10, 11266, 0.292250
2048, 10, 11266, 0.189727
2048, 10, 11266, 0.192417
2048, 10, 11266, 0.189104
2048, 10, 11266, 0.188491
2048, 10, 11266, 0.189504
2048, 10, 11266, 0.187983
2048, 10, 11266, 0.189307
2048, 10, 11266, 0.198909
2048, 20, 21504, 0.370508
2048, 20, 21506, 0.366793
2048, 20, 21506, 0.367266
2048, 20, 21506, 0.380340
2048, 20, 21506, 0.366986
2048, 20, 21506, 0.374391
2048, 20, 21506, 0.367132
2048, 20, 21506, 0.383178
2048, 20, 21506, 0.369493
2048, 20, 21506, 0.369634
2048, 30, 31744, 0.572684
2048, 30, 31746, 0.540639
2048, 30, 31746, 0.546217
2048, 30, 31746, 0.544557
2048, 30, 31746, 0.547159
2048, 30, 31744, 0.544087
2048, 30, 31746, 0.547804
2048, 30, 31746, 0.543059
2048, 30, 31746, 0.545932
2048, 30, 31746, 0.539002
2048, 40, 41986, 0.721870
2048, 40, 41986, 0.719912
2048, 40, 41986, 0.716326
2048, 40, 41986, 0.722287
2048, 40, 41986, 0.717711
2048, 40, 41986, 0.722965
2048, 40, 41984, 0.722535
2048, 40, 41984, 0.716483
2048, 40, 41984, 0.720097
2048, 40, 41986, 0.720613
2048, 50, 52226, 0.904754
2048, 50, 52224, 0.899182
2048, 50, 52226, 0.905388
2048, 50, 52226, 0.895778
2048, 50, 52222, 0.914495
2048, 50, 52226, 0.891303
2048, 50, 52224, 0.895046
2048, 50, 52226, 0.899921
2048, 50, 52222, 0.903709
2048, 50, 52224, 0.891235
2048, 60, 62466, 1.086814
2048, 60, 62466, 1.073791
2048, 60, 62464, 1.070911
2048, 60, 62464, 1.072613
2048, 60, 62466, 1.079638
2048, 60, 62462, 1.070731
2048, 60, 62466, 1.070496
2048, 60, 62464, 1.065641
2048, 60, 62466, 1.068380
2048, 60, 62466, 1.073711
2048, 70, 72706, 1.263054
2048, 70, 72706, 1.308090
2048, 70, 72706, 1.250365
2048, 70, 72706, 1.244432
2048, 70, 72704, 1.258997
2048, 70, 72704, 1.243351
2048, 70, 72706, 1.246268
2048, 70, 72706, 1.244905
2048, 70, 72704, 1.251570
2048, 70, 72706, 1.247285
2048, 80, 82946, 1.431487
2048, 80, 82944, 1.419522
2048, 80, 82944, 1.422467
2048, 80, 82946, 1.419793
2048, 80, 82946, 1.426008
2048, 80, 82946, 1.425664
2048, 80, 82944, 1.444881
2048, 80, 82944, 1.431165
2048, 80, 82942, 1.421368
2048, 80, 82946, 1.430226
2048, 90, 93186, 1.607738
2048, 90, 93182, 1.600439
2048, 90, 93184, 1.604080
2048, 90, 93186, 1.596296
2048, 90, 93186, 1.597513
2048, 90, 93182, 1.594016
2048, 90, 93186, 1.614756
2048, 90, 93184, 1.599280
2048, 90, 93184, 1.605618
2048, 90, 93184, 1.603351
2048, 100, 103424, 1.794335
2048, 100, 103426, 1.843891
2048, 100, 103422, 1.784323
2048, 100, 103422, 1.778970
2048, 100, 103424, 1.793970
2048, 100, 103424, 1.776422
2048, 100, 103422, 1.830136
2048, 100, 103424, 1.769574
2048, 100, 103426, 1.775624
2048, 100, 103426, 1.772132
