sec par, # entries, total bytes, total_time
160, 10, 1849, 0.007145
160, 10, 1849, 0.007486
160, 10, 1849, 0.007116
160, 10, 1849, 0.007131
160, 10, 1849, 0.007299
160, 10, 1849, 0.007445
160, 10, 1849, 0.007076
160, 10, 1849, 0.008266
160, 10, 1849, 0.006967
160, 10, 1849, 0.007425
-------------------------------------------
160, 20, 3489, 0.013967
160, 20, 3489, 0.015210
160, 20, 3489, 0.014643
160, 20, 3489, 0.013582
160, 20, 3489, 0.014520
160, 20, 3489, 0.014923
160, 20, 3489, 0.013590
160, 20, 3489, 0.013986
160, 20, 3489, 0.013704
160, 20, 3489, 0.014196
-------------------------------------------
160, 30, 5129, 0.020837
160, 30, 5129, 0.020559
160, 30, 5129, 0.020836
160, 30, 5129, 0.021110
160, 30, 5129, 0.021783
160, 30, 5129, 0.021869
160, 30, 5129, 0.020727
160, 30, 5129, 0.021194
160, 30, 5129, 0.021312
160, 30, 5129, 0.021551
-------------------------------------------
160, 40, 6769, 0.028469
160, 40, 6769, 0.030505
160, 40, 6769, 0.029775
160, 40, 6769, 0.028861
160, 40, 6769, 0.029316
160, 40, 6769, 0.028880
160, 40, 6769, 0.028319
160, 40, 6769, 0.029324
160, 40, 6769, 0.031443
160, 40, 6769, 0.028972
-------------------------------------------
160, 50, 8409, 0.036234
160, 50, 8409, 0.036140
160, 50, 8409, 0.036393
160, 50, 8409, 0.037907
160, 50, 8409, 0.036219
160, 50, 8409, 0.039357
160, 50, 8409, 0.039419
160, 50, 8409, 0.037512
160, 50, 8409, 0.038514
160, 50, 8409, 0.035152
-------------------------------------------
160, 60, 10049, 0.046785
160, 60, 10049, 0.043703
160, 60, 10049, 0.047496
160, 60, 10049, 0.042739
160, 60, 10049, 0.043752
160, 60, 10049, 0.042758
160, 60, 10049, 0.044136
160, 60, 10049, 0.046036
160, 60, 10049, 0.044379
160, 60, 10049, 0.043612
-------------------------------------------
160, 70, 11689, 0.049517
160, 70, 11689, 0.049668
160, 70, 11689, 0.051143
160, 70, 11689, 0.052686
160, 70, 11689, 0.051500
160, 70, 11689, 0.051196
160, 70, 11689, 0.050023
160, 70, 11689, 0.050896
160, 70, 11689, 0.052477
160, 70, 11689, 0.049927
-------------------------------------------
160, 80, 13329, 0.057267
160, 80, 13329, 0.060799
160, 80, 13329, 0.059342
160, 80, 13329, 0.056274
160, 80, 13329, 0.066112
160, 80, 13329, 0.064359
160, 80, 13329, 0.057599
160, 80, 13329, 0.058134
160, 80, 13329, 0.059708
160, 80, 13329, 0.061593
-------------------------------------------
160, 90, 14969, 0.064989
160, 90, 14969, 0.089134
160, 90, 14969, 0.117597
160, 90, 14969, 0.118725
160, 90, 14969, 0.068235
160, 90, 14969, 0.065317
160, 90, 14969, 0.071002
160, 90, 14969, 0.086734
160, 90, 14969, 0.073872
160, 90, 14969, 0.098034
-------------------------------------------
160, 100, 16609, 0.101101
160, 100, 16609, 0.076621
160, 100, 16609, 0.073652
160, 100, 16609, 0.073920
160, 100, 16609, 0.072732
160, 100, 16609, 0.074116
160, 100, 16609, 0.070781
160, 100, 16609, 0.083689
160, 100, 16609, 0.073782
160, 100, 16609, 0.070856
-------------------------------------------
