sec par, # entries, total bytes, total_time
1024, 10, 5634, 0.051030
1024, 10, 5634, 0.052309
1024, 10, 5634, 0.052723
1024, 10, 5634, 0.051066
1024, 10, 5634, 0.051789
1024, 10, 5634, 0.056137
1024, 10, 5632, 0.050717
1024, 10, 5634, 0.056904
1024, 10, 5630, 0.050968
1024, 10, 5634, 0.050903
-------------------------------------------
1024, 20, 10754, 0.094889
1024, 20, 10754, 0.088542
1024, 20, 10754, 0.092780
1024, 20, 10754, 0.089776
1024, 20, 10754, 0.089372
1024, 20, 10754, 0.091830
1024, 20, 10754, 0.096643
1024, 20, 10752, 0.090422
1024, 20, 10754, 0.089677
1024, 20, 10754, 0.089159
-------------------------------------------
1024, 30, 15872, 0.129677
1024, 30, 15872, 0.129160
1024, 30, 15874, 0.128968
1024, 30, 15872, 0.130452
1024, 30, 15874, 0.130443
1024, 30, 15874, 0.129751
1024, 30, 15874, 0.135816
1024, 30, 15874, 0.134630
1024, 30, 15874, 0.131945
1024, 30, 15872, 0.129953
-------------------------------------------
1024, 40, 20992, 0.171398
1024, 40, 20992, 0.170934
1024, 40, 20994, 0.168419
1024, 40, 20992, 0.172521
1024, 40, 20992, 0.170024
1024, 40, 20994, 0.171089
1024, 40, 20994, 0.169583
1024, 40, 20994, 0.169695
1024, 40, 20994, 0.171272
1024, 40, 20992, 0.170077
-------------------------------------------
1024, 50, 26112, 0.210345
1024, 50, 26112, 0.218925
1024, 50, 26112, 0.207681
1024, 50, 26114, 0.212643
1024, 50, 26114, 0.209933
1024, 50, 26110, 0.218654
1024, 50, 26112, 0.212109
1024, 50, 26110, 0.210545
1024, 50, 26114, 0.219792
1024, 50, 26114, 0.209616
-------------------------------------------
1024, 60, 31228, 0.266457
1024, 60, 31230, 0.249524
1024, 60, 31232, 0.257521
1024, 60, 31234, 0.249106
1024, 60, 31234, 0.252828
1024, 60, 31228, 0.257547
1024, 60, 31234, 0.257672
1024, 60, 31234, 0.249097
1024, 60, 31234, 0.252023
1024, 60, 31234, 0.249870
-------------------------------------------
1024, 70, 36348, 0.294943
1024, 70, 36354, 0.294871
1024, 70, 36354, 0.300837
1024, 70, 36350, 0.300546
1024, 70, 36352, 0.289084
1024, 70, 36354, 0.292716
1024, 70, 36354, 0.294717
1024, 70, 36354, 0.293204
1024, 70, 36354, 0.298567
1024, 70, 36354, 0.293665
-------------------------------------------
1024, 80, 41472, 0.344370
1024, 80, 41470, 0.334029
1024, 80, 41468, 0.332318
1024, 80, 41474, 0.333698
1024, 80, 41474, 0.329942
1024, 80, 41472, 0.339257
1024, 80, 41468, 0.333119
1024, 80, 41470, 0.332326
1024, 80, 41470, 0.335854
1024, 80, 41472, 0.335273
-------------------------------------------
1024, 90, 46590, 0.373979
1024, 90, 46590, 0.373767
1024, 90, 46592, 0.370664
1024, 90, 46592, 0.375992
1024, 90, 46588, 0.368867
1024, 90, 46592, 0.384290
1024, 90, 46590, 0.376617
1024, 90, 46586, 0.385733
1024, 90, 46592, 0.376718
1024, 90, 46592, 0.378555
-------------------------------------------
1024, 100, 51714, 0.414960
1024, 100, 51714, 0.414243
1024, 100, 51712, 0.410604
1024, 100, 51714, 0.409230
1024, 100, 51714, 0.415972
1024, 100, 51714, 0.424897
1024, 100, 51714, 0.417455
1024, 100, 51712, 0.412924
1024, 100, 51708, 0.413767
1024, 100, 51714, 0.415015
-------------------------------------------
