sec par, # entries, total bytes, total_time
128, 10, 2927, 0.014942
128, 10, 2927, 0.016054
128, 10, 2927, 0.014627
128, 10, 2927, 0.015681
128, 10, 2927, 0.014932
-------------------------------------------
128, 20, 5527, 0.020763
128, 20, 5527, 0.021926
128, 20, 5527, 0.020821
128, 20, 5527, 0.021765
128, 20, 5527, 0.020678
-------------------------------------------
128, 30, 8127, 0.026818
128, 30, 8127, 0.028113
128, 30, 8127, 0.027591
128, 30, 8127, 0.027951
128, 30, 8127, 0.027712
-------------------------------------------
128, 40, 10727, 0.033673
128, 40, 10727, 0.033462
128, 40, 10727, 0.036561
128, 40, 10727, 0.032881
128, 40, 10727, 0.032531
-------------------------------------------
128, 50, 13327, 0.038840
128, 50, 13327, 0.040616
128, 50, 13327, 0.042329
128, 50, 13327, 0.040079
128, 50, 13327, 0.039029
-------------------------------------------
128, 60, 15927, 0.048339
128, 60, 15927, 0.048047
128, 60, 15927, 0.048073
128, 60, 15927, 0.046625
128, 60, 15927, 0.048111
-------------------------------------------
128, 70, 18527, 0.053048
128, 70, 18527, 0.052595
128, 70, 18527, 0.054153
128, 70, 18527, 0.053356
128, 70, 18527, 0.057785
-------------------------------------------
128, 80, 21127, 0.059369
128, 80, 21127, 0.057348
128, 80, 21127, 0.059154
128, 80, 21127, 0.059282
128, 80, 21127, 0.068156
-------------------------------------------
128, 90, 23727, 0.064187
128, 90, 23727, 0.064298
128, 90, 23727, 0.064827
128, 90, 23727, 0.067987
128, 90, 23727, 0.063519
-------------------------------------------
128, 100, 26327, 0.071168
128, 100, 26327, 0.071945
128, 100, 26327, 0.076752
128, 100, 26327, 0.070470
128, 100, 26327, 0.069609
-------------------------------------------
