sec par, # entries, total bytes, total_time
128, 10, 706, 0.012693
128, 10, 706, 0.013076
128, 10, 706, 0.012348
128, 10, 706, 0.012635
128, 10, 706, 0.012861
-------------------------------------------
128, 20, 1346, 0.016537
128, 20, 1346, 0.017224
128, 20, 1346, 0.016286
128, 20, 1344, 0.016004
128, 20, 1346, 0.016232
-------------------------------------------
128, 30, 1986, 0.019633
128, 30, 1984, 0.019122
128, 30, 1986, 0.020750
128, 30, 1986, 0.020193
128, 30, 1986, 0.020140
-------------------------------------------
128, 40, 2626, 0.023297
128, 40, 2626, 0.022504
128, 40, 2626, 0.022956
128, 40, 2626, 0.022506
128, 40, 2626, 0.022860
-------------------------------------------
128, 50, 3264, 0.033712
128, 50, 3266, 0.025449
128, 50, 3266, 0.025428
128, 50, 3266, 0.027015
128, 50, 3266, 0.025101
-------------------------------------------
128, 60, 3906, 0.028644
128, 60, 3906, 0.030349
128, 60, 3906, 0.029423
128, 60, 3904, 0.030960
128, 60, 3906, 0.028608
-------------------------------------------
128, 70, 4546, 0.032310
128, 70, 4542, 0.031239
128, 70, 4544, 0.031416
128, 70, 4544, 0.032355
128, 70, 4546, 0.032440
-------------------------------------------
128, 80, 5184, 0.035065
128, 80, 5184, 0.035560
128, 80, 5184, 0.034949
128, 80, 5184, 0.037814
128, 80, 5186, 0.035776
-------------------------------------------
128, 90, 5824, 0.039304
128, 90, 5824, 0.040288
128, 90, 5826, 0.039687
128, 90, 5824, 0.038714
128, 90, 5824, 0.038001
-------------------------------------------
128, 100, 6462, 0.043310
128, 100, 6464, 0.042869
128, 100, 6466, 0.042339
128, 100, 6466, 0.044127
128, 100, 6462, 0.041263
-------------------------------------------
