sec par, # entries, total bytes, total_time
224, 10, 2567, 0.028471
224, 10, 2567, 0.029138
224, 10, 2567, 0.029500
224, 10, 2567, 0.029771
224, 10, 2567, 0.027826
224, 10, 2567, 0.030397
224, 10, 2567, 0.028352
224, 10, 2567, 0.031120
224, 10, 2567, 0.028729
224, 10, 2567, 0.028138
-------------------------------------------
224, 20, 4847, 0.035863
224, 20, 4847, 0.032759
224, 20, 4847, 0.034238
224, 20, 4847, 0.034041
224, 20, 4847, 0.035638
224, 20, 4847, 0.048558
224, 20, 4847, 0.032952
224, 20, 4847, 0.035301
224, 20, 4847, 0.033410
224, 20, 4847, 0.032735
-------------------------------------------
224, 30, 7127, 0.045491
224, 30, 7127, 0.048407
224, 30, 7127, 0.045516
224, 30, 7127, 0.054323
224, 30, 7127, 0.047862
224, 30, 7127, 0.048349
224, 30, 7127, 0.045319
224, 30, 7127, 0.048972
224, 30, 7127, 0.047230
224, 30, 7127, 0.048807
-------------------------------------------
224, 40, 9407, 0.052096
224, 40, 9407, 0.048188
224, 40, 9407, 0.049108
224, 40, 9407, 0.060050
224, 40, 9407, 0.049561
224, 40, 9407, 0.052943
224, 40, 9407, 0.050069
224, 40, 9407, 0.049596
224, 40, 9407, 0.048822
224, 40, 9407, 0.049842
-------------------------------------------
224, 50, 11687, 0.069044
224, 50, 11687, 0.074627
224, 50, 11687, 0.072002
224, 50, 11687, 0.070781
224, 50, 11687, 0.069411
224, 50, 11687, 0.075150
224, 50, 11687, 0.088540
224, 50, 11687, 0.080574
224, 50, 11687, 0.083025
224, 50, 11687, 0.070844
-------------------------------------------
224, 60, 13967, 0.509996
224, 60, 13967, 0.478620
224, 60, 13967, 0.504714
224, 60, 13967, 0.455294
224, 60, 13967, 0.451591
224, 60, 13967, 0.455591
224, 60, 13967, 0.473618
224, 60, 13967, 0.487061
224, 60, 13967, 0.454186
224, 60, 13967, 0.456662
-------------------------------------------
224, 70, 16247, 0.076262
224, 70, 16247, 0.075909
224, 70, 16247, 0.075718
224, 70, 16247, 0.081224
224, 70, 16247, 0.074581
224, 70, 16247, 0.099454
224, 70, 16247, 0.081149
224, 70, 16247, 0.086247
224, 70, 16247, 0.083615
224, 70, 16247, 0.076251
-------------------------------------------
224, 80, 18527, 0.746611
224, 80, 18527, 0.803561
224, 80, 18527, 0.751697
224, 80, 18527, 0.773872
224, 80, 18527, 0.756144
224, 80, 18527, 0.765239
224, 80, 18527, 0.778023
224, 80, 18527, 0.771715
224, 80, 18527, 0.756988
224, 80, 18527, 0.777476
-------------------------------------------
224, 90, 20807, 0.939272
224, 90, 20807, 0.968448
224, 90, 20807, 0.940710
224, 90, 20807, 0.926834
224, 90, 20807, 0.966254
224, 90, 20807, 0.931752
224, 90, 20807, 0.934636
224, 90, 20807, 0.980902
224, 90, 20807, 0.955015
224, 90, 20807, 0.952449
-------------------------------------------
224, 100, 23087, 5.935378
224, 100, 23087, 6.350171
224, 100, 23087, 6.141915
224, 100, 23087, 6.075603
224, 100, 23087, 6.029898
224, 100, 23087, 6.145151
224, 100, 23087, 6.041516
224, 100, 23087, 6.158010
224, 100, 23087, 6.062561
224, 100, 23087, 6.043513
-------------------------------------------
