sec par, # entries, total bytes, total_time
224, 10, 2567, 0.033714
224, 10, 2567, 0.027904
224, 10, 2567, 0.031567
224, 10, 2567, 0.021609
224, 10, 2567, 0.019816
224, 10, 2567, 0.022871
224, 10, 2567, 0.022629
224, 10, 2567, 0.020253
224, 10, 2567, 0.037060
224, 10, 2567, 0.020023
-------------------------------------------
224, 20, 4847, 0.123954
224, 20, 4847, 0.038373
224, 20, 4847, 0.074168
224, 20, 4847, 0.028193
224, 20, 4847, 0.099898
224, 20, 4847, 0.204828
224, 20, 4847, 0.038919
224, 20, 4847, 0.033103
224, 20, 4847, 0.047203
224, 20, 4847, 0.029020
-------------------------------------------
224, 30, 7127, 0.241529
224, 30, 7127, 0.043178
224, 30, 7127, 0.281717
224, 30, 7127, 0.291231
224, 30, 7127, 0.037196
224, 30, 7127, 0.134484
224, 30, 7127, 0.214465
224, 30, 7127, 0.135713
224, 30, 7127, 0.035614
224, 30, 7127, 0.068537
-------------------------------------------
224, 40, 9407, 0.062334
224, 40, 9407, 0.376128
224, 40, 9407, 0.048520
224, 40, 9407, 0.047664
224, 40, 9407, 0.660599
224, 40, 9407, 0.246533
224, 40, 9407, 0.047040
224, 40, 9407, 0.508162
224, 40, 9407, 0.090491
224, 40, 9407, 0.599783
-------------------------------------------
224, 50, 11687, 0.309874
224, 50, 11687, 0.801595
224, 50, 11687, 0.054736
224, 50, 11687, 0.566254
224, 50, 11687, 0.089733
224, 50, 11687, 0.304487
224, 50, 11687, 0.101117
224, 50, 11687, 0.055823
224, 50, 11687, 0.316596
224, 50, 11687, 0.308279
-------------------------------------------
224, 60, 13967, 0.455685
224, 60, 13967, 1.178481
224, 60, 13967, 0.435898
224, 60, 13967, 0.437547
224, 60, 13967, 0.080550
224, 60, 13967, 0.433584
224, 60, 13967, 0.065007
224, 60, 13967, 2.152479
224, 60, 13967, 1.150014
224, 60, 13967, 0.448648
-------------------------------------------
224, 70, 16247, 0.072228
224, 70, 16247, 0.074659
224, 70, 16247, 0.109234
224, 70, 16247, 0.095861
224, 70, 16247, 0.074226
224, 70, 16247, 0.081083
224, 70, 16247, 0.105119
224, 70, 16247, 3.011894
224, 70, 16247, 0.076051
224, 70, 16247, 0.089256
-------------------------------------------
224, 80, 18527, 0.754719
224, 80, 18527, 1.452419
224, 80, 18527, 0.079780
224, 80, 18527, 0.750773
224, 80, 18527, 0.079936
224, 80, 18527, 0.754033
224, 80, 18527, 1.404149
224, 80, 18527, 0.085979
224, 80, 18527, 0.081744
224, 80, 18527, 0.724350
-------------------------------------------
224, 90, 20807, 0.132209
224, 90, 20807, 0.088907
224, 90, 20807, 2.546646
224, 90, 20807, 0.092937
224, 90, 20807, 0.096325
224, 90, 20807, 0.095552
224, 90, 20807, 0.108315
224, 90, 20807, 0.101155
224, 90, 20807, 0.090976
224, 90, 20807, 0.117395
-------------------------------------------
224, 100, 23087, 0.127998
224, 100, 23087, 1.126601
224, 100, 23087, 2.202868
224, 100, 23087, 0.145114
224, 100, 23087, 0.191095
224, 100, 23087, 0.208724
224, 100, 23087, 1.204470
224, 100, 23087, 0.129614
224, 100, 23087, 0.103064
224, 100, 23087, 0.180441
-------------------------------------------
