sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 23087, 0.057294
224, 50, 16, 16, 23087, 0.057084
224, 50, 16, 16, 23087, 0.058602
224, 50, 16, 16, 23087, 0.060774
224, 50, 16, 16, 23087, 0.057177
224, 50, 16, 16, 23087, 0.059512
224, 50, 16, 16, 23087, 0.056211
224, 50, 16, 16, 23087, 0.059083
224, 50, 16, 16, 23087, 0.056504
224, 50, 16, 16, 23087, 0.056571
-------------------------------------------
224, 50, 16, 23, 23087, 0.058641
224, 50, 16, 23, 23087, 0.062274
224, 50, 16, 23, 23087, 0.058047
224, 50, 16, 23, 23087, 0.058684
224, 50, 16, 23, 23087, 0.060587
224, 50, 16, 23, 23087, 0.055508
224, 50, 16, 23, 23087, 0.056839
224, 50, 16, 23, 23087, 0.069600
224, 50, 16, 23, 23087, 0.057137
224, 50, 16, 23, 23087, 0.060146
-------------------------------------------
224, 50, 16, 29, 23087, 0.055223
224, 50, 16, 29, 23087, 0.058920
224, 50, 16, 29, 23087, 0.057928
224, 50, 16, 29, 23087, 0.058804
224, 50, 16, 29, 23087, 0.059621
224, 50, 16, 29, 23087, 0.058941
224, 50, 16, 29, 23087, 0.059369
224, 50, 16, 29, 23087, 0.058924
224, 50, 16, 29, 23087, 0.058270
224, 50, 16, 29, 23087, 0.058452
-------------------------------------------
224, 50, 16, 34, 23087, 0.057465
224, 50, 16, 34, 23087, 0.058015
224, 50, 16, 34, 23087, 0.057553
224, 50, 16, 34, 23087, 0.056683
224, 50, 16, 34, 23087, 0.055728
224, 50, 16, 34, 23087, 0.059605
224, 50, 16, 34, 23087, 0.059417
224, 50, 16, 34, 23087, 0.057284
224, 50, 16, 34, 23087, 0.058598
224, 50, 16, 34, 23087, 0.059498
-------------------------------------------
224, 50, 16, 43, 23087, 0.057880
224, 50, 16, 43, 23087, 0.058233
224, 50, 16, 43, 23087, 0.064319
224, 50, 16, 43, 23087, 0.061564
224, 50, 16, 43, 23087, 0.059007
224, 50, 16, 43, 23087, 0.057419
224, 50, 16, 43, 23087, 0.060663
224, 50, 16, 43, 23087, 0.057686
224, 50, 16, 43, 23087, 0.058234
224, 50, 16, 43, 23087, 0.058659
-------------------------------------------
224, 50, 16, 47, 23087, 0.057281
224, 50, 16, 47, 23087, 0.057404
224, 50, 16, 47, 23087, 0.057835
224, 50, 16, 47, 23087, 0.066061
224, 50, 16, 47, 23087, 0.060429
224, 50, 16, 47, 23087, 0.058946
224, 50, 16, 47, 23087, 0.057213
224, 50, 16, 47, 23087, 0.059789
224, 50, 16, 47, 23087, 0.061178
224, 50, 16, 47, 23087, 0.059449
-------------------------------------------
224, 50, 16, 50, 23087, 0.058861
224, 50, 16, 50, 23087, 0.073765
224, 50, 16, 50, 23087, 0.061028
224, 50, 16, 50, 23087, 0.057921
224, 50, 16, 50, 23087, 0.061783
224, 50, 16, 50, 23087, 0.059126
224, 50, 16, 50, 23087, 0.060047
224, 50, 16, 50, 23087, 0.056776
224, 50, 16, 50, 23087, 0.058139
224, 50, 16, 50, 23087, 0.058475
-------------------------------------------
