sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 23087, 0.058701
224, 50, 16, 16, 23087, 0.054749
224, 50, 16, 16, 23087, 0.052653
224, 50, 16, 16, 23087, 0.051735
224, 50, 16, 16, 23087, 0.052922
224, 50, 16, 16, 23087, 0.052585
224, 50, 16, 16, 23087, 0.051659
224, 50, 16, 16, 23087, 0.052252
224, 50, 16, 16, 23087, 0.052960
224, 50, 16, 16, 23087, 0.052345
-------------------------------------------
224, 50, 16, 23, 23087, 0.053084
224, 50, 16, 23, 23087, 0.051494
224, 50, 16, 23, 23087, 0.050849
224, 50, 16, 23, 23087, 0.051930
224, 50, 16, 23, 23087, 0.051515
224, 50, 16, 23, 23087, 0.050669
224, 50, 16, 23, 23087, 0.051969
224, 50, 16, 23, 23087, 0.050591
224, 50, 16, 23, 23087, 0.052276
224, 50, 16, 23, 23087, 0.053347
-------------------------------------------
224, 50, 16, 29, 23087, 0.051853
224, 50, 16, 29, 23087, 0.052681
224, 50, 16, 29, 23087, 0.052323
224, 50, 16, 29, 23087, 0.053156
224, 50, 16, 29, 23087, 0.051856
224, 50, 16, 29, 23087, 0.051906
224, 50, 16, 29, 23087, 0.052399
224, 50, 16, 29, 23087, 0.051914
224, 50, 16, 29, 23087, 0.052281
224, 50, 16, 29, 23087, 0.053929
-------------------------------------------
224, 50, 16, 34, 23087, 0.052453
224, 50, 16, 34, 23087, 0.051398
224, 50, 16, 34, 23087, 0.052490
224, 50, 16, 34, 23087, 0.052607
224, 50, 16, 34, 23087, 0.051336
224, 50, 16, 34, 23087, 0.052059
224, 50, 16, 34, 23087, 0.052167
224, 50, 16, 34, 23087, 0.051858
224, 50, 16, 34, 23087, 0.051582
224, 50, 16, 34, 23087, 0.055017
-------------------------------------------
224, 50, 16, 43, 23087, 0.054057
224, 50, 16, 43, 23087, 0.051335
224, 50, 16, 43, 23087, 0.052251
224, 50, 16, 43, 23087, 0.051895
224, 50, 16, 43, 23087, 0.052137
224, 50, 16, 43, 23087, 0.052995
224, 50, 16, 43, 23087, 0.050894
224, 50, 16, 43, 23087, 0.052370
224, 50, 16, 43, 23087, 0.090876
224, 50, 16, 43, 23087, 0.051771
-------------------------------------------
224, 50, 16, 47, 23087, 0.052163
224, 50, 16, 47, 23087, 0.052774
224, 50, 16, 47, 23087, 0.052102
224, 50, 16, 47, 23087, 0.051954
224, 50, 16, 47, 23087, 0.053616
224, 50, 16, 47, 23087, 0.053205
224, 50, 16, 47, 23087, 0.051535
224, 50, 16, 47, 23087, 0.052800
224, 50, 16, 47, 23087, 0.054564
224, 50, 16, 47, 23087, 0.052838
-------------------------------------------
224, 50, 16, 50, 23087, 0.054574
224, 50, 16, 50, 23087, 0.050884
224, 50, 16, 50, 23087, 0.052179
224, 50, 16, 50, 23087, 0.052315
224, 50, 16, 50, 23087, 0.054944
224, 50, 16, 50, 23087, 0.052463
224, 50, 16, 50, 23087, 0.051010
224, 50, 16, 50, 23087, 0.052064
224, 50, 16, 50, 23087, 0.056636
224, 50, 16, 50, 23087, 0.054516
-------------------------------------------
