sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 18914, 0.193025
224, 50, 16, 16, 18915, 0.182740
224, 50, 16, 16, 18914, 0.182899
224, 50, 16, 16, 18915, 0.475808
224, 50, 16, 16, 18915, 0.275751
224, 50, 16, 16, 18915, 0.186711
224, 50, 16, 16, 18915, 0.181628
224, 50, 16, 16, 18914, 0.181611
224, 50, 16, 16, 18915, 0.178417
224, 50, 16, 16, 18915, 0.185338
-------------------------------------------
224, 50, 16, 23, 18915, 0.181784
224, 50, 16, 23, 18915, 0.177898
224, 50, 16, 23, 18915, 0.189367
224, 50, 16, 23, 18915, 0.188247
224, 50, 16, 23, 18915, 0.183072
224, 50, 16, 23, 18915, 0.185562
224, 50, 16, 23, 18915, 0.184199
224, 50, 16, 23, 18914, 0.183567
224, 50, 16, 23, 18914, 0.180607
224, 50, 16, 23, 18915, 0.188452
-------------------------------------------
224, 50, 16, 29, 18915, 0.184265
224, 50, 16, 29, 18915, 0.182666
224, 50, 16, 29, 18915, 0.180307
224, 50, 16, 29, 18914, 0.184304
224, 50, 16, 29, 18915, 0.181099
224, 50, 16, 29, 18915, 0.185401
224, 50, 16, 29, 18915, 0.182927
224, 50, 16, 29, 18915, 0.186540
224, 50, 16, 29, 18913, 0.183092
224, 50, 16, 29, 18915, 0.183685
-------------------------------------------
224, 50, 16, 34, 18915, 0.299768
224, 50, 16, 34, 18914, 0.314154
224, 50, 16, 34, 18915, 0.306922
224, 50, 16, 34, 18915, 0.297537
224, 50, 16, 34, 18915, 0.338480
224, 50, 16, 34, 18914, 0.298789
224, 50, 16, 34, 18915, 0.306605
224, 50, 16, 34, 18914, 0.303783
224, 50, 16, 34, 18915, 0.300897
224, 50, 16, 34, 18915, 0.314073
-------------------------------------------
224, 50, 16, 43, 18914, 1.302634
224, 50, 16, 43, 18915, 1.285947
224, 50, 16, 43, 18915, 1.278025
224, 50, 16, 43, 18914, 1.268893
224, 50, 16, 43, 18915, 1.314639
224, 50, 16, 43, 18915, 1.294167
224, 50, 16, 43, 18914, 1.276085
224, 50, 16, 43, 18915, 1.320559
224, 50, 16, 43, 18915, 1.298132
224, 50, 16, 43, 18915, 1.285690
-------------------------------------------
224, 50, 16, 47, 18914, 1.646289
224, 50, 16, 47, 18915, 1.673957
224, 50, 16, 47, 18915, 1.658928
224, 50, 16, 47, 18915, 1.653684
224, 50, 16, 47, 18915, 1.649173
224, 50, 16, 47, 18915, 1.658418
224, 50, 16, 47, 18915, 1.659088
224, 50, 16, 47, 18915, 1.645505
224, 50, 16, 47, 18914, 1.670778
224, 50, 16, 47, 18915, 1.653391
-------------------------------------------
224, 50, 16, 50, 18915, 1.900935
224, 50, 16, 50, 18915, 1.926061
224, 50, 16, 50, 18913, 1.912269
224, 50, 16, 50, 18915, 1.911739
224, 50, 16, 50, 18915, 1.911030
224, 50, 16, 50, 18915, 1.911909
224, 50, 16, 50, 18915, 1.904064
224, 50, 16, 50, 18915, 1.954899
224, 50, 16, 50, 18915, 1.935945
224, 50, 16, 50, 18915, 1.896188
-------------------------------------------
