sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4847, 0.018103
224, 10, 3, 9, 4847, 0.019740
224, 10, 3, 9, 4847, 0.020398
224, 10, 3, 9, 4847, 0.020243
224, 10, 3, 9, 4847, 0.020988
224, 10, 3, 9, 4847, 0.021787
224, 10, 3, 9, 4847, 0.020099
224, 10, 3, 9, 4847, 0.019513
224, 10, 3, 9, 4847, 0.019602
224, 10, 3, 9, 4847, 0.019731
-------------------------------------------
224, 15, 5, 14, 7127, 0.025078
224, 15, 5, 14, 7127, 0.027829
224, 15, 5, 14, 7127, 0.025309
224, 15, 5, 14, 7127, 0.025658
224, 15, 5, 14, 7127, 0.023244
224, 15, 5, 14, 7127, 0.026405
224, 15, 5, 14, 7127, 0.023873
224, 15, 5, 14, 7127, 0.024590
224, 15, 5, 14, 7127, 0.024267
224, 15, 5, 14, 7127, 0.024802
-------------------------------------------
224, 20, 6, 18, 9407, 0.031866
224, 20, 6, 18, 9407, 0.029713
224, 20, 6, 18, 9407, 0.028271
224, 20, 6, 18, 9407, 0.030112
224, 20, 6, 18, 9407, 0.029980
224, 20, 6, 18, 9407, 0.030365
224, 20, 6, 18, 9407, 0.028890
224, 20, 6, 18, 9407, 0.029150
224, 20, 6, 18, 9407, 0.030264
224, 20, 6, 18, 9407, 0.027571
-------------------------------------------
224, 25, 8, 23, 11687, 0.036291
224, 25, 8, 23, 11687, 0.032338
224, 25, 8, 23, 11687, 0.031864
224, 25, 8, 23, 11687, 0.034819
224, 25, 8, 23, 11687, 0.033507
224, 25, 8, 23, 11687, 0.033874
224, 25, 8, 23, 11687, 0.031987
224, 25, 8, 23, 11687, 0.031229
224, 25, 8, 23, 11687, 0.033000
224, 25, 8, 23, 11687, 0.031174
-------------------------------------------
224, 30, 10, 28, 13967, 0.036245
224, 30, 10, 28, 13967, 0.037507
224, 30, 10, 28, 13967, 0.038579
224, 30, 10, 28, 13967, 0.036326
224, 30, 10, 28, 13967, 0.037801
224, 30, 10, 28, 13967, 0.040354
224, 30, 10, 28, 13967, 0.038949
224, 30, 10, 28, 13967, 0.047089
224, 30, 10, 28, 13967, 0.040491
224, 30, 10, 28, 13967, 0.035933
-------------------------------------------
224, 35, 11, 32, 16247, 0.043512
224, 35, 11, 32, 16247, 0.046211
224, 35, 11, 32, 16247, 0.042890
224, 35, 11, 32, 16247, 0.044132
224, 35, 11, 32, 16247, 0.044102
224, 35, 11, 32, 16247, 0.044446
224, 35, 11, 32, 16247, 0.041293
224, 35, 11, 32, 16247, 0.047624
224, 35, 11, 32, 16247, 0.042130
224, 35, 11, 32, 16247, 0.045817
-------------------------------------------
224, 40, 13, 35, 18527, 0.047762
224, 40, 13, 35, 18527, 0.051817
224, 40, 13, 35, 18527, 0.053339
224, 40, 13, 35, 18527, 0.052835
224, 40, 13, 35, 18527, 0.047514
224, 40, 13, 35, 18527, 0.052670
224, 40, 13, 35, 18527, 0.050199
224, 40, 13, 35, 18527, 0.050244
224, 40, 13, 35, 18527, 0.055697
224, 40, 13, 35, 18527, 0.050936
-------------------------------------------
224, 45, 15, 40, 20807, 0.055970
224, 45, 15, 40, 20807, 0.058534
224, 45, 15, 40, 20807, 0.056032
224, 45, 15, 40, 20807, 0.059484
224, 45, 15, 40, 20807, 0.063068
224, 45, 15, 40, 20807, 0.054367
224, 45, 15, 40, 20807, 0.057222
224, 45, 15, 40, 20807, 0.055430
224, 45, 15, 40, 20807, 0.054292
224, 45, 15, 40, 20807, 0.054641
-------------------------------------------
224, 50, 16, 44, 23087, 0.057963
224, 50, 16, 44, 23087, 0.060114
224, 50, 16, 44, 23087, 0.061706
224, 50, 16, 44, 23087, 0.058013
224, 50, 16, 44, 23087, 0.060674
224, 50, 16, 44, 23087, 0.067615
224, 50, 16, 44, 23087, 0.063909
224, 50, 16, 44, 23087, 0.062119
224, 50, 16, 44, 23087, 0.063090
224, 50, 16, 44, 23087, 0.059091
-------------------------------------------
224, 55, 18, 47, 25367, 0.092679
224, 55, 18, 47, 25367, 0.077904
224, 55, 18, 47, 25367, 0.064116
224, 55, 18, 47, 25367, 0.069494
224, 55, 18, 47, 25367, 0.062872
224, 55, 18, 47, 25367, 0.065330
224, 55, 18, 47, 25367, 0.063155
224, 55, 18, 47, 25367, 0.066910
224, 55, 18, 47, 25367, 0.063858
224, 55, 18, 47, 25367, 0.065890
-------------------------------------------
224, 60, 20, 50, 27647, 0.067401
224, 60, 20, 50, 27647, 0.067669
224, 60, 20, 50, 27647, 0.070879
224, 60, 20, 50, 27647, 0.069791
224, 60, 20, 50, 27647, 0.068522
224, 60, 20, 50, 27647, 0.071926
224, 60, 20, 50, 27647, 0.069984
224, 60, 20, 50, 27647, 0.066231
224, 60, 20, 50, 27647, 0.067608
224, 60, 20, 50, 27647, 0.070062
-------------------------------------------
224, 65, 21, 52, 29927, 0.069933
224, 65, 21, 52, 29927, 0.071357
224, 65, 21, 52, 29927, 0.070930
224, 65, 21, 52, 29927, 0.069326
224, 65, 21, 52, 29927, 0.155273
224, 65, 21, 52, 29927, 0.073636
224, 65, 21, 52, 29927, 0.070044
224, 65, 21, 52, 29927, 0.074241
224, 65, 21, 52, 29927, 0.070453
224, 65, 21, 52, 29927, 0.073178
-------------------------------------------
224, 70, 23, 55, 32207, 0.078753
224, 70, 23, 55, 32207, 0.208872
224, 70, 23, 55, 32207, 0.074437
224, 70, 23, 55, 32207, 0.075560
224, 70, 23, 55, 32207, 0.074683
224, 70, 23, 55, 32207, 0.075052
224, 70, 23, 55, 32207, 0.074048
224, 70, 23, 55, 32207, 0.073115
224, 70, 23, 55, 32207, 0.076834
224, 70, 23, 55, 32207, 0.096324
-------------------------------------------
224, 75, 25, 60, 34487, 0.079917
224, 75, 25, 60, 34487, 0.081147
224, 75, 25, 60, 34487, 0.081655
224, 75, 25, 60, 34487, 0.083237
224, 75, 25, 60, 34487, 0.089835
224, 75, 25, 60, 34487, 0.082968
224, 75, 25, 60, 34487, 0.084310
224, 75, 25, 60, 34487, 0.083053
224, 75, 25, 60, 34487, 0.082342
224, 75, 25, 60, 34487, 0.086561
-------------------------------------------
224, 80, 26, 63, 36767, 0.084816
224, 80, 26, 63, 36767, 0.086208
224, 80, 26, 63, 36767, 0.083595
224, 80, 26, 63, 36767, 0.085783
224, 80, 26, 63, 36767, 0.085460
224, 80, 26, 63, 36767, 0.090532
224, 80, 26, 63, 36767, 0.086329
224, 80, 26, 63, 36767, 0.086765
224, 80, 26, 63, 36767, 0.090768
224, 80, 26, 63, 36767, 0.086700
-------------------------------------------
224, 85, 28, 68, 39047, 0.091167
224, 85, 28, 68, 39047, 0.089900
224, 85, 28, 68, 39047, 0.088701
224, 85, 28, 68, 39047, 0.087132
224, 85, 28, 68, 39047, 0.089240
224, 85, 28, 68, 39047, 0.096646
224, 85, 28, 68, 39047, 0.095904
224, 85, 28, 68, 39047, 0.096098
224, 85, 28, 68, 39047, 0.097261
224, 85, 28, 68, 39047, 0.093595
-------------------------------------------
224, 90, 30, 72, 41327, 0.094296
224, 90, 30, 72, 41327, 0.127180
224, 90, 30, 72, 41327, 0.093897
224, 90, 30, 72, 41327, 0.093863
224, 90, 30, 72, 41327, 0.095970
224, 90, 30, 72, 41327, 0.090973
224, 90, 30, 72, 41327, 0.093326
224, 90, 30, 72, 41327, 0.093824
224, 90, 30, 72, 41327, 0.097000
224, 90, 30, 72, 41327, 0.093379
-------------------------------------------
224, 95, 31, 76, 43607, 0.106292
224, 95, 31, 76, 43607, 0.112878
224, 95, 31, 76, 43607, 0.105997
224, 95, 31, 76, 43607, 0.113078
224, 95, 31, 76, 43607, 0.102542
224, 95, 31, 76, 43607, 0.104815
224, 95, 31, 76, 43607, 0.102954
