sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4847, 0.020054
224, 10, 3, 9, 4847, 0.019223
224, 10, 3, 9, 4847, 0.018514
224, 10, 3, 9, 4847, 0.020067
224, 10, 3, 9, 4847, 0.024046
224, 10, 3, 9, 4847, 0.019351
224, 10, 3, 9, 4847, 0.019761
224, 10, 3, 9, 4847, 0.018506
224, 10, 3, 9, 4847, 0.018764
224, 10, 3, 9, 4847, 0.019146
-------------------------------------------
224, 15, 5, 14, 7127, 0.025514
224, 15, 5, 14, 7127, 0.024450
224, 15, 5, 14, 7127, 0.024632
224, 15, 5, 14, 7127, 0.024488
224, 15, 5, 14, 7127, 0.023299
224, 15, 5, 14, 7127, 0.023520
224, 15, 5, 14, 7127, 0.023063
224, 15, 5, 14, 7127, 0.023346
224, 15, 5, 14, 7127, 0.024943
224, 15, 5, 14, 7127, 0.023887
-------------------------------------------
224, 20, 6, 18, 9407, 0.054946
224, 20, 6, 18, 9407, 0.027978
224, 20, 6, 18, 9407, 0.033460
224, 20, 6, 18, 9407, 0.035784
224, 20, 6, 18, 9407, 0.027422
224, 20, 6, 18, 9407, 0.028721
224, 20, 6, 18, 9407, 0.028767
224, 20, 6, 18, 9407, 0.029543
224, 20, 6, 18, 9407, 0.025201
224, 20, 6, 18, 9407, 0.026623
-------------------------------------------
224, 25, 8, 23, 11687, 0.037398
224, 25, 8, 23, 11687, 0.031648
224, 25, 8, 23, 11687, 0.030565
224, 25, 8, 23, 11687, 0.029771
224, 25, 8, 23, 11687, 0.033439
224, 25, 8, 23, 11687, 0.032157
224, 25, 8, 23, 11687, 0.035160
224, 25, 8, 23, 11687, 0.030741
224, 25, 8, 23, 11687, 0.031554
224, 25, 8, 23, 11687, 0.034775
-------------------------------------------
224, 30, 10, 28, 13967, 0.033553
224, 30, 10, 28, 13967, 0.034870
224, 30, 10, 28, 13967, 0.033528
224, 30, 10, 28, 13967, 0.037657
224, 30, 10, 28, 13967, 0.033379
224, 30, 10, 28, 13967, 0.033735
224, 30, 10, 28, 13967, 0.034208
224, 30, 10, 28, 13967, 0.034207
224, 30, 10, 28, 13967, 0.033474
224, 30, 10, 28, 13967, 0.035141
-------------------------------------------
224, 35, 11, 32, 16247, 0.041038
224, 35, 11, 32, 16247, 0.040301
224, 35, 11, 32, 16247, 0.040695
224, 35, 11, 32, 16247, 0.040398
224, 35, 11, 32, 16247, 0.042953
224, 35, 11, 32, 16247, 0.042403
224, 35, 11, 32, 16247, 0.043012
224, 35, 11, 32, 16247, 0.040080
224, 35, 11, 32, 16247, 0.060979
224, 35, 11, 32, 16247, 0.042452
-------------------------------------------
224, 40, 13, 35, 18527, 0.043542
224, 40, 13, 35, 18527, 0.046650
224, 40, 13, 35, 18527, 0.055700
224, 40, 13, 35, 18527, 0.048630
224, 40, 13, 35, 18527, 0.045624
224, 40, 13, 35, 18527, 0.047676
224, 40, 13, 35, 18527, 0.045340
224, 40, 13, 35, 18527, 0.045378
224, 40, 13, 35, 18527, 0.045396
224, 40, 13, 35, 18527, 0.045610
-------------------------------------------
224, 45, 15, 40, 20807, 0.050658
224, 45, 15, 40, 20807, 0.054430
224, 45, 15, 40, 20807, 0.048739
224, 45, 15, 40, 20807, 0.048921
224, 45, 15, 40, 20807, 0.047467
224, 45, 15, 40, 20807, 0.047091
224, 45, 15, 40, 20807, 0.049269
224, 45, 15, 40, 20807, 0.049481
224, 45, 15, 40, 20807, 0.049479
224, 45, 15, 40, 20807, 0.051105
-------------------------------------------
224, 50, 16, 44, 23087, 0.096429
224, 50, 16, 44, 23087, 0.052711
224, 50, 16, 44, 23087, 0.056874
224, 50, 16, 44, 23087, 0.053439
224, 50, 16, 44, 23087, 0.054315
224, 50, 16, 44, 23087, 0.053129
224, 50, 16, 44, 23087, 0.056862
224, 50, 16, 44, 23087, 0.052525
224, 50, 16, 44, 23087, 0.053023
224, 50, 16, 44, 23087, 0.054593
-------------------------------------------
224, 55, 18, 47, 25367, 0.057530
224, 55, 18, 47, 25367, 0.056732
224, 55, 18, 47, 25367, 0.055900
224, 55, 18, 47, 25367, 0.055939
224, 55, 18, 47, 25367, 0.056094
224, 55, 18, 47, 25367, 0.061405
224, 55, 18, 47, 25367, 0.096288
224, 55, 18, 47, 25367, 0.058735
224, 55, 18, 47, 25367, 0.057711
224, 55, 18, 47, 25367, 0.064882
-------------------------------------------
224, 60, 20, 50, 27647, 0.071651
224, 60, 20, 50, 27647, 0.060115
224, 60, 20, 50, 27647, 0.061921
224, 60, 20, 50, 27647, 0.064627
224, 60, 20, 50, 27647, 0.061587
224, 60, 20, 50, 27647, 0.058142
224, 60, 20, 50, 27647, 0.059244
224, 60, 20, 50, 27647, 0.058916
224, 60, 20, 50, 27647, 0.058558
224, 60, 20, 50, 27647, 0.057739
-------------------------------------------
224, 65, 21, 52, 29927, 0.077835
224, 65, 21, 52, 29927, 0.067271
224, 65, 21, 52, 29927, 0.064274
224, 65, 21, 52, 29927, 0.065996
224, 65, 21, 52, 29927, 0.063158
224, 65, 21, 52, 29927, 0.065938
224, 65, 21, 52, 29927, 0.072797
224, 65, 21, 52, 29927, 0.064732
224, 65, 21, 52, 29927, 0.068698
224, 65, 21, 52, 29927, 0.076773
-------------------------------------------
224, 70, 23, 55, 32207, 0.068419
224, 70, 23, 55, 32207, 0.072275
224, 70, 23, 55, 32207, 0.067816
224, 70, 23, 55, 32207, 0.068464
224, 70, 23, 55, 32207, 0.070847
224, 70, 23, 55, 32207, 0.072572
224, 70, 23, 55, 32207, 0.081201
224, 70, 23, 55, 32207, 0.102535
224, 70, 23, 55, 32207, 0.070455
224, 70, 23, 55, 32207, 0.069346
-------------------------------------------
224, 75, 25, 60, 34487, 0.094874
224, 75, 25, 60, 34487, 0.077317
224, 75, 25, 60, 34487, 0.074345
224, 75, 25, 60, 34487, 0.080214
224, 75, 25, 60, 34487, 0.077660
224, 75, 25, 60, 34487, 0.076333
224, 75, 25, 60, 34487, 0.073395
224, 75, 25, 60, 34487, 0.071126
224, 75, 25, 60, 34487, 0.071137
224, 75, 25, 60, 34487, 0.075651
-------------------------------------------
224, 80, 26, 63, 36767, 0.084054
224, 80, 26, 63, 36767, 0.082084
224, 80, 26, 63, 36767, 0.087678
224, 80, 26, 63, 36767, 0.074777
224, 80, 26, 63, 36767, 0.075241
224, 80, 26, 63, 36767, 0.077885
224, 80, 26, 63, 36767, 0.076505
224, 80, 26, 63, 36767, 0.075107
224, 80, 26, 63, 36767, 0.076500
224, 80, 26, 63, 36767, 0.074688
-------------------------------------------
224, 85, 28, 68, 39047, 0.081634
224, 85, 28, 68, 39047, 0.079790
224, 85, 28, 68, 39047, 0.079632
224, 85, 28, 68, 39047, 0.079332
224, 85, 28, 68, 39047, 0.100978
224, 85, 28, 68, 39047, 0.079890
224, 85, 28, 68, 39047, 0.080650
224, 85, 28, 68, 39047, 0.088220
224, 85, 28, 68, 39047, 0.080407
224, 85, 28, 68, 39047, 0.080725
-------------------------------------------
224, 90, 30, 72, 41327, 0.088956
224, 90, 30, 72, 41327, 0.086242
224, 90, 30, 72, 41327, 0.087821
224, 90, 30, 72, 41327, 0.084501
224, 90, 30, 72, 41327, 0.083108
224, 90, 30, 72, 41327, 0.086503
224, 90, 30, 72, 41327, 0.089003
