sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4035, 0.030952
224, 10, 3, 9, 4035, 0.028417
224, 10, 3, 9, 4035, 0.031453
224, 10, 3, 9, 4035, 0.028298
224, 10, 3, 9, 4035, 0.029952
224, 10, 3, 9, 4035, 0.031426
224, 10, 3, 9, 4035, 0.032173
224, 10, 3, 9, 4035, 0.030706
224, 10, 3, 9, 4035, 0.031991
224, 10, 3, 9, 4035, 0.032974
-------------------------------------------
224, 15, 5, 14, 5895, 0.060108
224, 15, 5, 14, 5895, 0.062374
224, 15, 5, 14, 5895, 0.060147
224, 15, 5, 14, 5895, 0.065260
224, 15, 5, 14, 5895, 0.055600
224, 15, 5, 14, 5895, 0.055708
224, 15, 5, 14, 5895, 0.058512
224, 15, 5, 14, 5895, 0.055844
224, 15, 5, 14, 5895, 0.073115
224, 15, 5, 14, 5895, 0.056665
-------------------------------------------
224, 20, 6, 18, 7755, 0.099259
224, 20, 6, 18, 7755, 0.098171
224, 20, 6, 18, 7755, 0.100973
224, 20, 6, 18, 7755, 0.098953
224, 20, 6, 18, 7755, 0.097314
224, 20, 6, 18, 7755, 0.099244
224, 20, 6, 18, 7755, 0.101021
224, 20, 6, 18, 7755, 0.105832
224, 20, 6, 18, 7755, 0.102341
224, 20, 6, 18, 7754, 0.115603
-------------------------------------------
224, 25, 8, 23, 9615, 0.167733
224, 25, 8, 23, 9614, 0.171620
224, 25, 8, 23, 9615, 0.168514
224, 25, 8, 23, 9615, 0.184157
224, 25, 8, 23, 9615, 0.164161
224, 25, 8, 23, 9615, 0.162969
224, 25, 8, 23, 9615, 0.497033
224, 25, 8, 23, 9615, 0.168776
224, 25, 8, 23, 9615, 0.174862
224, 25, 8, 23, 9615, 0.174994
-------------------------------------------
224, 30, 10, 28, 11475, 0.320497
224, 30, 10, 28, 11475, 0.325244
224, 30, 10, 28, 11475, 0.362241
224, 30, 10, 28, 11475, 0.304896
224, 30, 10, 28, 11475, 0.304609
224, 30, 10, 28, 11475, 0.353298
224, 30, 10, 28, 11475, 0.309185
224, 30, 10, 28, 11475, 0.304635
224, 30, 10, 28, 11475, 0.305855
224, 30, 10, 28, 11475, 0.312879
-------------------------------------------
224, 35, 11, 32, 13335, 0.487057
224, 35, 11, 32, 13335, 0.481574
224, 35, 11, 32, 13335, 0.483076
224, 35, 11, 32, 13335, 0.492472
224, 35, 11, 32, 13335, 0.490811
224, 35, 11, 32, 13335, 0.494756
224, 35, 11, 32, 13335, 0.500295
224, 35, 11, 32, 13335, 0.489841
224, 35, 11, 32, 13335, 0.505609
224, 35, 11, 32, 13335, 0.493120
-------------------------------------------
224, 40, 13, 35, 15195, 0.636488
224, 40, 13, 35, 15195, 0.693745
224, 40, 13, 35, 15194, 0.640855
224, 40, 13, 35, 15195, 0.636065
224, 40, 13, 35, 15193, 0.638501
224, 40, 13, 35, 15195, 0.633141
224, 40, 13, 35, 15195, 0.633577
224, 40, 13, 35, 15195, 0.626968
224, 40, 13, 35, 15195, 0.635009
224, 40, 13, 35, 15195, 0.620010
-------------------------------------------
224, 45, 15, 40, 17055, 0.970884
224, 45, 15, 40, 17054, 0.975943
224, 45, 15, 40, 17055, 0.971187
224, 45, 15, 40, 17055, 0.975815
224, 45, 15, 40, 17055, 0.974510
224, 45, 15, 40, 17055, 0.978644
224, 45, 15, 40, 17055, 0.969173
224, 45, 15, 40, 17055, 1.101684
224, 45, 15, 40, 17055, 0.974408
224, 45, 15, 40, 17055, 1.018553
-------------------------------------------
224, 50, 16, 44, 18915, 1.364925
224, 50, 16, 44, 18913, 1.369888
224, 50, 16, 44, 18915, 1.372073
224, 50, 16, 44, 18915, 1.361523
224, 50, 16, 44, 18915, 1.358080
224, 50, 16, 44, 18914, 1.373665
224, 50, 16, 44, 18915, 1.375472
224, 50, 16, 44, 18915, 1.368693
224, 50, 16, 44, 18915, 1.371048
224, 50, 16, 44, 18914, 1.364891
-------------------------------------------
224, 55, 18, 47, 20775, 1.625616
224, 55, 18, 47, 20775, 1.633934
224, 55, 18, 47, 20775, 1.626562
224, 55, 18, 47, 20775, 1.641053
224, 55, 18, 47, 20775, 1.640152
224, 55, 18, 47, 20775, 1.679076
224, 55, 18, 47, 20775, 1.632669
224, 55, 18, 47, 20775, 1.631513
224, 55, 18, 47, 20775, 1.664445
224, 55, 18, 47, 20775, 1.664864
-------------------------------------------
224, 60, 20, 50, 22635, 2.080965
224, 60, 20, 50, 22635, 2.087272
224, 60, 20, 50, 22635, 2.108235
224, 60, 20, 50, 22635, 2.081138
224, 60, 20, 50, 22635, 2.937199
224, 60, 20, 50, 22635, 2.141577
224, 60, 20, 50, 22635, 2.077356
224, 60, 20, 50, 22634, 2.066063
224, 60, 20, 50, 22634, 2.152324
224, 60, 20, 50, 22635, 2.071232
-------------------------------------------
224, 65, 21, 52, 24495, 2.335384
224, 65, 21, 52, 24495, 2.349805
224, 65, 21, 52, 24495, 2.339530
224, 65, 21, 52, 24495, 2.349203
224, 65, 21, 52, 24495, 2.351441
224, 65, 21, 52, 24494, 2.491956
224, 65, 21, 52, 24495, 2.331259
224, 65, 21, 52, 24495, 2.373780
224, 65, 21, 52, 24495, 2.381750
224, 65, 21, 52, 24495, 2.332309
-------------------------------------------
224, 70, 23, 55, 26353, 2.616635
224, 70, 23, 55, 26354, 2.618253
224, 70, 23, 55, 26354, 2.635304
224, 70, 23, 55, 26353, 2.643373
224, 70, 23, 55, 26355, 2.629167
224, 70, 23, 55, 26355, 2.612001
224, 70, 23, 55, 26355, 2.612108
224, 70, 23, 55, 26355, 2.641564
224, 70, 23, 55, 26354, 2.612360
