sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 5, 44, 23087, 0.054110
224, 50, 5, 44, 23087, 0.082932
224, 50, 5, 44, 23087, 0.055245
224, 50, 5, 44, 23087, 0.074156
224, 50, 5, 44, 23087, 0.056379
224, 50, 5, 44, 23087, 0.051073
224, 50, 5, 44, 23087, 0.052901
224, 50, 5, 44, 23087, 0.053651
224, 50, 5, 44, 23087, 0.054139
224, 50, 5, 44, 23087, 0.056976
-------------------------------------------
224, 50, 10, 44, 23087, 0.054164
224, 50, 10, 44, 23087, 0.052224
224, 50, 10, 44, 23087, 0.051944
224, 50, 10, 44, 23087, 0.052733
224, 50, 10, 44, 23087, 0.053793
224, 50, 10, 44, 23087, 0.052033
224, 50, 10, 44, 23087, 0.052438
224, 50, 10, 44, 23087, 0.053820
224, 50, 10, 44, 23087, 0.057217
224, 50, 10, 44, 23087, 0.053017
-------------------------------------------
224, 50, 15, 44, 23087, 0.051957
224, 50, 15, 44, 23087, 0.051582
224, 50, 15, 44, 23087, 0.059028
224, 50, 15, 44, 23087, 0.051755
224, 50, 15, 44, 23087, 0.064662
224, 50, 15, 44, 23087, 0.054315
224, 50, 15, 44, 23087, 0.067318
224, 50, 15, 44, 23087, 0.065157
224, 50, 15, 44, 23087, 0.084275
224, 50, 15, 44, 23087, 0.052080
-------------------------------------------
224, 50, 20, 44, 23087, 0.058867
224, 50, 20, 44, 23087, 0.052113
224, 50, 20, 44, 23087, 0.066905
224, 50, 20, 44, 23087, 0.053481
224, 50, 20, 44, 23087, 0.052903
224, 50, 20, 44, 23087, 0.051545
224, 50, 20, 44, 23087, 0.062984
224, 50, 20, 44, 23087, 0.062134
224, 50, 20, 44, 23087, 0.073882
224, 50, 20, 44, 23087, 0.051724
-------------------------------------------
224, 50, 25, 44, 23087, 0.053605
224, 50, 25, 44, 23087, 0.052737
224, 50, 25, 44, 23087, 0.053249
224, 50, 25, 44, 23087, 0.051820
224, 50, 25, 44, 23087, 0.051925
224, 50, 25, 44, 23087, 0.052870
224, 50, 25, 44, 23087, 0.053987
224, 50, 25, 44, 23087, 0.055717
224, 50, 25, 44, 23087, 0.057515
224, 50, 25, 44, 23087, 0.050131
-------------------------------------------
224, 50, 30, 44, 23087, 0.058658
224, 50, 30, 44, 23087, 0.051734
224, 50, 30, 44, 23087, 0.057419
224, 50, 30, 44, 23087, 0.051674
224, 50, 30, 44, 23087, 0.054067
224, 50, 30, 44, 23087, 0.050736
224, 50, 30, 44, 23087, 0.057940
224, 50, 30, 44, 23087, 0.053092
224, 50, 30, 44, 23087, 0.064134
224, 50, 30, 44, 23087, 0.052681
-------------------------------------------
224, 50, 35, 44, 23087, 0.066023
224, 50, 35, 44, 23087, 0.088475
224, 50, 35, 44, 23087, 0.051045
224, 50, 35, 44, 23087, 0.058893
224, 50, 35, 44, 23087, 0.055703
224, 50, 35, 44, 23087, 0.067301
224, 50, 35, 44, 23087, 0.054282
224, 50, 35, 44, 23087, 0.071125
224, 50, 35, 44, 23087, 0.052354
224, 50, 35, 44, 23087, 0.050737
-------------------------------------------
224, 50, 40, 44, 23087, 0.050234
224, 50, 40, 44, 23087, 0.056475
224, 50, 40, 44, 23087, 0.050410
224, 50, 40, 44, 23087, 0.049434
224, 50, 40, 44, 23087, 0.053179
224, 50, 40, 44, 23087, 0.052150
224, 50, 40, 44, 23087, 0.050850
224, 50, 40, 44, 23087, 0.050768
224, 50, 40, 44, 23087, 0.050062
224, 50, 40, 44, 23087, 0.049500
-------------------------------------------
224, 50, 45, 44, 23087, 0.056324
224, 50, 45, 44, 23087, 0.056121
224, 50, 45, 44, 23087, 0.049928
224, 50, 45, 44, 23087, 0.051769
224, 50, 45, 44, 23087, 0.049929
224, 50, 45, 44, 23087, 0.064205
224, 50, 45, 44, 23087, 0.060187
224, 50, 45, 44, 23087, 0.051797
224, 50, 45, 44, 23087, 0.055658
224, 50, 45, 44, 23087, 0.051913
-------------------------------------------
