sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 5, 39, 18915, 1.437480
224, 50, 5, 39, 18915, 1.379204
224, 50, 5, 39, 18915, 1.395513
224, 50, 5, 39, 18915, 1.378033
224, 50, 5, 39, 18915, 1.350770
224, 50, 5, 39, 18915, 1.418658
224, 50, 5, 39, 18914, 1.371232
224, 50, 5, 39, 18915, 1.346096
224, 50, 5, 39, 18915, 1.370601
224, 50, 5, 39, 18915, 1.334193
-------------------------------------------
224, 50, 10, 39, 18915, 1.167582
224, 50, 10, 39, 18915, 1.172534
224, 50, 10, 39, 18915, 1.165334
224, 50, 10, 39, 18915, 1.178194
224, 50, 10, 39, 18915, 1.162690
224, 50, 10, 39, 18915, 1.174778
224, 50, 10, 39, 18915, 1.167819
224, 50, 10, 39, 18914, 1.216766
224, 50, 10, 39, 18915, 1.163412
224, 50, 10, 39, 18915, 1.472406
-------------------------------------------
224, 50, 15, 39, 18914, 0.854942
224, 50, 15, 39, 18915, 0.862095
224, 50, 15, 39, 18915, 0.865700
224, 50, 15, 39, 18915, 0.876053
224, 50, 15, 39, 18915, 0.879800
224, 50, 15, 39, 18915, 0.873576
224, 50, 15, 39, 18915, 0.861287
224, 50, 15, 39, 18915, 0.861940
224, 50, 15, 39, 18915, 0.872013
224, 50, 15, 39, 18915, 0.867679
-------------------------------------------
224, 50, 20, 39, 18915, 0.645327
224, 50, 20, 39, 18915, 0.651461
224, 50, 20, 39, 18915, 0.650027
224, 50, 20, 39, 18915, 0.646976
224, 50, 20, 39, 18914, 0.661026
224, 50, 20, 39, 18915, 0.650907
224, 50, 20, 39, 18915, 0.648956
224, 50, 20, 39, 18915, 0.655321
224, 50, 20, 39, 18915, 0.649082
224, 50, 20, 39, 18914, 0.649566
-------------------------------------------
224, 50, 25, 39, 18915, 0.298733
224, 50, 25, 39, 18914, 0.308008
224, 50, 25, 39, 18915, 0.328929
224, 50, 25, 39, 18915, 0.310195
224, 50, 25, 39, 18915, 0.304988
224, 50, 25, 39, 18914, 0.305183
224, 50, 25, 39, 18915, 0.322369
224, 50, 25, 39, 18915, 0.308829
224, 50, 25, 39, 18914, 0.312410
224, 50, 25, 39, 18915, 0.311154
-------------------------------------------
224, 50, 30, 39, 18915, 0.188751
224, 50, 30, 39, 18914, 0.183947
224, 50, 30, 39, 18915, 0.192790
224, 50, 30, 39, 18914, 0.193385
224, 50, 30, 39, 18915, 0.186413
224, 50, 30, 39, 18915, 0.187813
224, 50, 30, 39, 18914, 0.183707
224, 50, 30, 39, 18915, 0.187388
224, 50, 30, 39, 18915, 0.191686
224, 50, 30, 39, 18915, 0.196686
-------------------------------------------
224, 50, 35, 39, 18915, 0.198089
224, 50, 35, 39, 18914, 0.191546
224, 50, 35, 39, 18915, 0.205049
224, 50, 35, 39, 18915, 0.185650
224, 50, 35, 39, 18915, 0.180974
224, 50, 35, 39, 18915, 0.253464
224, 50, 35, 39, 18915, 0.194898
224, 50, 35, 39, 18915, 0.186061
224, 50, 35, 39, 18915, 0.187149
224, 50, 35, 39, 18915, 0.181927
-------------------------------------------
224, 50, 40, 39, 18915, 0.183409
224, 50, 40, 39, 18915, 0.184946
224, 50, 40, 39, 18915, 0.185434
224, 50, 40, 39, 18915, 0.181998
224, 50, 40, 39, 18915, 0.189349
224, 50, 40, 39, 18915, 0.184226
224, 50, 40, 39, 18914, 0.186562
224, 50, 40, 39, 18914, 0.185389
224, 50, 40, 39, 18915, 0.187961
224, 50, 40, 39, 18914, 0.192353
-------------------------------------------
224, 50, 45, 39, 18915, 0.189387
224, 50, 45, 39, 18915, 0.180679
224, 50, 45, 39, 18915, 0.186805
224, 50, 45, 39, 18915, 0.188200
224, 50, 45, 39, 18915, 0.192101
224, 50, 45, 39, 18915, 0.189452
224, 50, 45, 39, 18915, 0.190329
224, 50, 45, 39, 18915, 0.183387
224, 50, 45, 39, 18915, 0.183988
224, 50, 45, 39, 18915, 0.185164
-------------------------------------------
