sec par, # entries, total bytes, total_time
224, 10, 4039, 0.036644
224, 10, 4039, 0.033904
224, 10, 4038, 0.039358
224, 10, 4039, 0.039680
224, 10, 4039, 0.037687
224, 10, 4039, 0.034190
224, 10, 4039, 0.035681
224, 10, 4039, 0.036265
224, 10, 4039, 0.034351
224, 10, 4039, 0.035212
-------------------------------------------
224, 20, 7759, 19.107519
224, 20, 7759, 19.072452
224, 20, 7759, 19.162814
224, 20, 7759, 18.983045
224, 20, 7759, 19.015963
224, 20, 7759, 19.011183
224, 20, 7759, 21.026988
224, 20, 7758, 19.076243
224, 20, 7759, 19.049947
224, 20, 7758, 19.115972
-------------------------------------------
