sec par, # entries, total bytes, total_time
224, 10, 4039, 0.033681
224, 10, 4039, 0.035145
224, 10, 4039, 0.036811
224, 10, 4039, 0.038322
224, 10, 4039, 0.034553
224, 10, 4039, 0.036137
224, 10, 4039, 0.036190
224, 10, 4039, 0.035393
224, 10, 4039, 0.033878
224, 10, 4039, 0.037198
-------------------------------------------
224, 20, 7759, 19.018789
224, 20, 7759, 19.018089
224, 20, 7759, 18.968137
224, 20, 7759, 19.008797
224, 20, 7759, 19.081896
224, 20, 7759, 18.981734
224, 20, 7759, 19.098642
224, 20, 7759, 19.009479
224, 20, 7758, 19.070772
224, 20, 7759, 18.973981
-------------------------------------------
