sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 23087, 0.020165
224, 50, 16, 16, 23087, 0.020103
224, 50, 16, 16, 23087, 0.019371
224, 50, 16, 16, 23087, 0.020181
224, 50, 16, 16, 23087, 0.020100
224, 50, 16, 16, 23087, 0.020314
224, 50, 16, 16, 23087, 0.019800
224, 50, 16, 16, 23087, 0.020105
224, 50, 16, 16, 23087, 0.020162
224, 50, 16, 16, 23087, 0.020193
-------------------------------------------
224, 50, 16, 23, 23087, 0.020148
224, 50, 16, 23, 23087, 0.020330
224, 50, 16, 23, 23087, 0.020254
224, 50, 16, 23, 23087, 0.020214
224, 50, 16, 23, 23087, 0.020208
224, 50, 16, 23, 23087, 0.020173
224, 50, 16, 23, 23087, 0.020353
224, 50, 16, 23, 23087, 0.019976
224, 50, 16, 23, 23087, 0.020354
224, 50, 16, 23, 23087, 0.020359
-------------------------------------------
224, 50, 16, 29, 23087, 0.020090
224, 50, 16, 29, 23087, 0.019896
224, 50, 16, 29, 23087, 0.020198
224, 50, 16, 29, 23087, 0.020134
224, 50, 16, 29, 23087, 0.020245
224, 50, 16, 29, 23087, 0.020186
224, 50, 16, 29, 23087, 0.020049
224, 50, 16, 29, 23087, 0.020317
224, 50, 16, 29, 23087, 0.020197
224, 50, 16, 29, 23087, 0.020062
-------------------------------------------
224, 50, 16, 34, 23087, 0.020134
224, 50, 16, 34, 23087, 0.020058
224, 50, 16, 34, 23087, 0.020429
224, 50, 16, 34, 23087, 0.020293
224, 50, 16, 34, 23087, 0.020305
224, 50, 16, 34, 23087, 0.020060
224, 50, 16, 34, 23087, 0.020171
224, 50, 16, 34, 23087, 0.019811
224, 50, 16, 34, 23087, 0.020225
224, 50, 16, 34, 23087, 0.020213
-------------------------------------------
224, 50, 16, 43, 23087, 0.020458
224, 50, 16, 43, 23087, 0.019927
224, 50, 16, 43, 23087, 0.020457
224, 50, 16, 43, 23087, 0.020032
224, 50, 16, 43, 23087, 0.019787
224, 50, 16, 43, 23087, 0.019702
224, 50, 16, 43, 23087, 0.020099
224, 50, 16, 43, 23087, 0.020306
224, 50, 16, 43, 23087, 0.020539
224, 50, 16, 43, 23087, 0.020164
-------------------------------------------
224, 50, 16, 47, 23087, 0.020559
224, 50, 16, 47, 23087, 0.020601
224, 50, 16, 47, 23087, 0.020072
224, 50, 16, 47, 23087, 0.020226
224, 50, 16, 47, 23087, 0.020288
224, 50, 16, 47, 23087, 0.020282
224, 50, 16, 47, 23087, 0.020059
224, 50, 16, 47, 23087, 0.020235
224, 50, 16, 47, 23087, 0.020732
224, 50, 16, 47, 23087, 0.020123
-------------------------------------------
224, 50, 16, 50, 23087, 0.020164
224, 50, 16, 50, 23087, 0.020125
224, 50, 16, 50, 23087, 0.020115
224, 50, 16, 50, 23087, 0.020387
224, 50, 16, 50, 23087, 0.020127
224, 50, 16, 50, 23087, 0.020212
224, 50, 16, 50, 23087, 0.020184
224, 50, 16, 50, 23087, 0.020249
224, 50, 16, 50, 23087, 0.019970
224, 50, 16, 50, 23087, 0.020189
-------------------------------------------
