sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 23087, 0.019304
224, 50, 16, 16, 23087, 0.019092
224, 50, 16, 16, 23087, 0.019299
224, 50, 16, 16, 23087, 0.019191
224, 50, 16, 16, 23087, 0.019258
224, 50, 16, 16, 23087, 0.019431
224, 50, 16, 16, 23087, 0.019608
224, 50, 16, 16, 23087, 0.019367
224, 50, 16, 16, 23087, 0.019494
224, 50, 16, 16, 23087, 0.019163
-------------------------------------------
224, 50, 16, 23, 23087, 0.019014
224, 50, 16, 23, 23087, 0.019289
224, 50, 16, 23, 23087, 0.019343
224, 50, 16, 23, 23087, 0.019104
224, 50, 16, 23, 23087, 0.018886
224, 50, 16, 23, 23087, 0.019138
224, 50, 16, 23, 23087, 0.019092
224, 50, 16, 23, 23087, 0.019332
224, 50, 16, 23, 23087, 0.019441
224, 50, 16, 23, 23087, 0.019522
-------------------------------------------
224, 50, 16, 29, 23087, 0.019013
224, 50, 16, 29, 23087, 0.019592
224, 50, 16, 29, 23087, 0.019159
224, 50, 16, 29, 23087, 0.019298
224, 50, 16, 29, 23087, 0.018937
224, 50, 16, 29, 23087, 0.018936
224, 50, 16, 29, 23087, 0.019085
224, 50, 16, 29, 23087, 0.019515
224, 50, 16, 29, 23087, 0.018853
224, 50, 16, 29, 23087, 0.019334
-------------------------------------------
224, 50, 16, 34, 23087, 0.018915
224, 50, 16, 34, 23087, 0.019281
224, 50, 16, 34, 23087, 0.019204
224, 50, 16, 34, 23087, 0.019500
224, 50, 16, 34, 23087, 0.018862
224, 50, 16, 34, 23087, 0.019363
224, 50, 16, 34, 23087, 0.019151
224, 50, 16, 34, 23087, 0.019211
224, 50, 16, 34, 23087, 0.018738
224, 50, 16, 34, 23087, 0.019381
-------------------------------------------
224, 50, 16, 43, 23087, 0.019852
224, 50, 16, 43, 23087, 0.019267
224, 50, 16, 43, 23087, 0.019007
224, 50, 16, 43, 23087, 0.018936
224, 50, 16, 43, 23087, 0.019441
224, 50, 16, 43, 23087, 0.019297
224, 50, 16, 43, 23087, 0.018744
224, 50, 16, 43, 23087, 0.019067
224, 50, 16, 43, 23087, 0.018699
224, 50, 16, 43, 23087, 0.018954
-------------------------------------------
224, 50, 16, 47, 23087, 0.018825
224, 50, 16, 47, 23087, 0.019252
224, 50, 16, 47, 23087, 0.019289
224, 50, 16, 47, 23087, 0.019210
224, 50, 16, 47, 23087, 0.019029
224, 50, 16, 47, 23087, 0.019255
224, 50, 16, 47, 23087, 0.019126
224, 50, 16, 47, 23087, 0.018968
224, 50, 16, 47, 23087, 0.018914
224, 50, 16, 47, 23087, 0.018810
-------------------------------------------
224, 50, 16, 50, 23087, 0.019297
224, 50, 16, 50, 23087, 0.019108
224, 50, 16, 50, 23087, 0.019175
224, 50, 16, 50, 23087, 0.019025
224, 50, 16, 50, 23087, 0.019032
224, 50, 16, 50, 23087, 0.019326
224, 50, 16, 50, 23087, 0.018866
224, 50, 16, 50, 23087, 0.018646
224, 50, 16, 50, 23087, 0.019030
224, 50, 16, 50, 23087, 0.019183
-------------------------------------------
