sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 18915, 0.066974
224, 50, 16, 16, 18914, 0.067122
224, 50, 16, 16, 18915, 0.068024
224, 50, 16, 16, 18914, 0.068010
224, 50, 16, 16, 18914, 0.067344
224, 50, 16, 16, 18915, 0.067162
224, 50, 16, 16, 18915, 0.067387
224, 50, 16, 16, 18914, 0.067741
224, 50, 16, 16, 18915, 0.067270
224, 50, 16, 16, 18915, 0.068056
-------------------------------------------
224, 50, 16, 23, 18915, 0.067943
224, 50, 16, 23, 18915, 0.068234
224, 50, 16, 23, 18915, 0.068170
224, 50, 16, 23, 18915, 0.067980
224, 50, 16, 23, 18915, 0.068442
224, 50, 16, 23, 18915, 0.068058
224, 50, 16, 23, 18915, 0.066709
224, 50, 16, 23, 18914, 0.067791
224, 50, 16, 23, 18914, 0.068408
224, 50, 16, 23, 18914, 0.067606
-------------------------------------------
224, 50, 16, 29, 18915, 0.067841
224, 50, 16, 29, 18915, 0.067889
224, 50, 16, 29, 18914, 0.067808
224, 50, 16, 29, 18915, 0.068252
224, 50, 16, 29, 18915, 0.067200
224, 50, 16, 29, 18915, 0.067807
224, 50, 16, 29, 18915, 0.067605
224, 50, 16, 29, 18915, 0.068021
224, 50, 16, 29, 18915, 0.067909
224, 50, 16, 29, 18914, 0.067976
-------------------------------------------
224, 50, 16, 34, 18914, 0.113142
224, 50, 16, 34, 18914, 0.113855
224, 50, 16, 34, 18915, 0.114378
224, 50, 16, 34, 18915, 0.114030
224, 50, 16, 34, 18915, 0.113363
224, 50, 16, 34, 18915, 0.113713
224, 50, 16, 34, 18915, 0.112910
224, 50, 16, 34, 18915, 0.113662
224, 50, 16, 34, 18914, 0.113619
224, 50, 16, 34, 18915, 0.113736
-------------------------------------------
224, 50, 16, 43, 18915, 0.482762
224, 50, 16, 43, 18915, 0.484337
224, 50, 16, 43, 18915, 0.483338
224, 50, 16, 43, 18915, 0.484001
224, 50, 16, 43, 18915, 0.489517
224, 50, 16, 43, 18914, 0.482100
224, 50, 16, 43, 18915, 0.481785
224, 50, 16, 43, 18915, 0.484128
224, 50, 16, 43, 18915, 0.483001
224, 50, 16, 43, 18915, 0.484528
-------------------------------------------
224, 50, 16, 47, 18915, 0.625305
224, 50, 16, 47, 18915, 0.623968
224, 50, 16, 47, 18915, 0.627724
224, 50, 16, 47, 18915, 0.622910
224, 50, 16, 47, 18915, 0.623763
224, 50, 16, 47, 18915, 0.623531
224, 50, 16, 47, 18915, 0.624029
224, 50, 16, 47, 18915, 0.624290
224, 50, 16, 47, 18915, 0.622832
224, 50, 16, 47, 18915, 0.624466
-------------------------------------------
224, 50, 16, 50, 18915, 0.720806
224, 50, 16, 50, 18915, 0.719485
224, 50, 16, 50, 18915, 0.719466
224, 50, 16, 50, 18915, 0.719266
224, 50, 16, 50, 18914, 0.720104
224, 50, 16, 50, 18915, 0.718556
224, 50, 16, 50, 18915, 0.720112
224, 50, 16, 50, 18915, 0.719133
224, 50, 16, 50, 18915, 0.719771
224, 50, 16, 50, 18915, 0.719383
-------------------------------------------
