sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 18915, 0.066966
224, 50, 16, 16, 18913, 0.066838
224, 50, 16, 16, 18914, 0.066217
224, 50, 16, 16, 18915, 0.066777
224, 50, 16, 16, 18915, 0.066918
224, 50, 16, 16, 18914, 0.067269
224, 50, 16, 16, 18915, 0.066833
224, 50, 16, 16, 18915, 0.066927
224, 50, 16, 16, 18915, 0.066902
224, 50, 16, 16, 18915, 0.067021
-------------------------------------------
224, 50, 16, 23, 18915, 0.067071
224, 50, 16, 23, 18915, 0.066848
224, 50, 16, 23, 18915, 0.065969
224, 50, 16, 23, 18915, 0.067453
224, 50, 16, 23, 18915, 0.067327
224, 50, 16, 23, 18915, 0.066912
224, 50, 16, 23, 18915, 0.066984
224, 50, 16, 23, 18913, 0.067170
224, 50, 16, 23, 18915, 0.067395
224, 50, 16, 23, 18915, 0.066123
-------------------------------------------
224, 50, 16, 29, 18915, 0.067712
224, 50, 16, 29, 18915, 0.067375
224, 50, 16, 29, 18915, 0.067108
224, 50, 16, 29, 18915, 0.067101
224, 50, 16, 29, 18915, 0.067471
224, 50, 16, 29, 18914, 0.067163
224, 50, 16, 29, 18915, 0.067812
224, 50, 16, 29, 18915, 0.067152
224, 50, 16, 29, 18914, 0.067165
224, 50, 16, 29, 18915, 0.067409
-------------------------------------------
224, 50, 16, 34, 18915, 0.112336
224, 50, 16, 34, 18914, 0.111791
224, 50, 16, 34, 18914, 0.112772
224, 50, 16, 34, 18915, 0.111925
224, 50, 16, 34, 18915, 0.112654
224, 50, 16, 34, 18914, 0.111474
224, 50, 16, 34, 18915, 0.112704
224, 50, 16, 34, 18915, 0.112739
224, 50, 16, 34, 18915, 0.112961
224, 50, 16, 34, 18915, 0.111741
-------------------------------------------
224, 50, 16, 43, 18915, 0.484591
224, 50, 16, 43, 18915, 0.484927
224, 50, 16, 43, 18915, 0.483010
224, 50, 16, 43, 18915, 0.482690
224, 50, 16, 43, 18914, 0.482071
224, 50, 16, 43, 18914, 0.483567
224, 50, 16, 43, 18915, 0.483256
224, 50, 16, 43, 18915, 0.480436
224, 50, 16, 43, 18915, 0.481697
224, 50, 16, 43, 18915, 0.484712
-------------------------------------------
224, 50, 16, 47, 18915, 0.623750
224, 50, 16, 47, 18915, 0.624389
224, 50, 16, 47, 18915, 0.626717
224, 50, 16, 47, 18915, 0.625617
224, 50, 16, 47, 18915, 0.622100
224, 50, 16, 47, 18915, 0.621474
224, 50, 16, 47, 18915, 0.622518
224, 50, 16, 47, 18915, 0.623372
224, 50, 16, 47, 18914, 0.623022
224, 50, 16, 47, 18915, 0.622517
-------------------------------------------
224, 50, 16, 50, 18913, 0.719673
224, 50, 16, 50, 18915, 0.717973
224, 50, 16, 50, 18915, 0.718455
224, 50, 16, 50, 18915, 0.717976
224, 50, 16, 50, 18915, 0.716477
224, 50, 16, 50, 18915, 0.718666
224, 50, 16, 50, 18915, 0.717264
224, 50, 16, 50, 18915, 0.718310
224, 50, 16, 50, 18915, 0.720371
224, 50, 16, 50, 18915, 0.717383
-------------------------------------------
