sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4847, 0.006097
224, 10, 3, 9, 4847, 0.005876
224, 10, 3, 9, 4847, 0.006006
224, 10, 3, 9, 4847, 0.006110
224, 10, 3, 9, 4847, 0.006016
224, 10, 3, 9, 4847, 0.006131
224, 10, 3, 9, 4847, 0.005936
224, 10, 3, 9, 4847, 0.006190
224, 10, 3, 9, 4847, 0.006243
224, 10, 3, 9, 4847, 0.006088
-------------------------------------------
224, 15, 5, 14, 7127, 0.007735
224, 15, 5, 14, 7127, 0.007742
224, 15, 5, 14, 7127, 0.007847
224, 15, 5, 14, 7127, 0.008058
224, 15, 5, 14, 7127, 0.007987
224, 15, 5, 14, 7127, 0.008074
224, 15, 5, 14, 7127, 0.007965
224, 15, 5, 14, 7127, 0.007961
224, 15, 5, 14, 7127, 0.007872
224, 15, 5, 14, 7127, 0.007926
-------------------------------------------
224, 20, 6, 18, 9407, 0.009866
224, 20, 6, 18, 9407, 0.009927
224, 20, 6, 18, 9407, 0.009769
224, 20, 6, 18, 9407, 0.009877
224, 20, 6, 18, 9407, 0.009746
224, 20, 6, 18, 9407, 0.009768
224, 20, 6, 18, 9407, 0.009677
224, 20, 6, 18, 9407, 0.009706
224, 20, 6, 18, 9407, 0.009658
224, 20, 6, 18, 9407, 0.009970
-------------------------------------------
224, 25, 8, 23, 11687, 0.011312
224, 25, 8, 23, 11687, 0.011420
224, 25, 8, 23, 11687, 0.011299
224, 25, 8, 23, 11687, 0.011389
224, 25, 8, 23, 11687, 0.011264
224, 25, 8, 23, 11687, 0.011282
224, 25, 8, 23, 11687, 0.011379
224, 25, 8, 23, 11687, 0.011333
224, 25, 8, 23, 11687, 0.011198
224, 25, 8, 23, 11687, 0.011428
-------------------------------------------
224, 30, 10, 28, 13967, 0.013060
224, 30, 10, 28, 13967, 0.013121
224, 30, 10, 28, 13967, 0.013184
224, 30, 10, 28, 13967, 0.013217
224, 30, 10, 28, 13967, 0.013202
224, 30, 10, 28, 13967, 0.013438
224, 30, 10, 28, 13967, 0.013269
224, 30, 10, 28, 13967, 0.012852
224, 30, 10, 28, 13967, 0.013281
224, 30, 10, 28, 13967, 0.013116
-------------------------------------------
224, 35, 11, 32, 16247, 0.015144
224, 35, 11, 32, 16247, 0.014769
224, 35, 11, 32, 16247, 0.015336
224, 35, 11, 32, 16247, 0.015155
224, 35, 11, 32, 16247, 0.014405
224, 35, 11, 32, 16247, 0.015060
224, 35, 11, 32, 16247, 0.014927
224, 35, 11, 32, 16247, 0.015199
224, 35, 11, 32, 16247, 0.015035
224, 35, 11, 32, 16247, 0.015048
-------------------------------------------
224, 40, 13, 35, 18527, 0.016469
224, 40, 13, 35, 18527, 0.016960
224, 40, 13, 35, 18527, 0.017202
224, 40, 13, 35, 18527, 0.016704
224, 40, 13, 35, 18527, 0.016945
224, 40, 13, 35, 18527, 0.016736
224, 40, 13, 35, 18527, 0.016605
224, 40, 13, 35, 18527, 0.016605
224, 40, 13, 35, 18527, 0.016784
224, 40, 13, 35, 18527, 0.016921
-------------------------------------------
224, 45, 15, 40, 20807, 0.018573
224, 45, 15, 40, 20807, 0.018634
224, 45, 15, 40, 20807, 0.018711
224, 45, 15, 40, 20807, 0.018547
224, 45, 15, 40, 20807, 0.018717
224, 45, 15, 40, 20807, 0.018551
224, 45, 15, 40, 20807, 0.018646
224, 45, 15, 40, 20807, 0.018537
224, 45, 15, 40, 20807, 0.018526
224, 45, 15, 40, 20807, 0.018363
-------------------------------------------
224, 50, 16, 44, 23087, 0.020263
224, 50, 16, 44, 23087, 0.019895
224, 50, 16, 44, 23087, 0.020274
224, 50, 16, 44, 23087, 0.019753
224, 50, 16, 44, 23087, 0.020245
224, 50, 16, 44, 23087, 0.020381
224, 50, 16, 44, 23087, 0.020411
224, 50, 16, 44, 23087, 0.020170
224, 50, 16, 44, 23087, 0.019959
224, 50, 16, 44, 23087, 0.020368
-------------------------------------------
224, 55, 18, 47, 25367, 0.022028
224, 55, 18, 47, 25367, 0.022045
224, 55, 18, 47, 25367, 0.021820
224, 55, 18, 47, 25367, 0.022070
224, 55, 18, 47, 25367, 0.021809
224, 55, 18, 47, 25367, 0.022046
224, 55, 18, 47, 25367, 0.022146
224, 55, 18, 47, 25367, 0.022037
224, 55, 18, 47, 25367, 0.021552
224, 55, 18, 47, 25367, 0.022024
-------------------------------------------
224, 60, 20, 50, 27647, 0.023919
224, 60, 20, 50, 27647, 0.023944
224, 60, 20, 50, 27647, 0.023531
224, 60, 20, 50, 27647, 0.023358
224, 60, 20, 50, 27647, 0.023850
224, 60, 20, 50, 27647, 0.024075
224, 60, 20, 50, 27647, 0.023500
224, 60, 20, 50, 27647, 0.023527
224, 60, 20, 50, 27647, 0.023832
224, 60, 20, 50, 27647, 0.023063
-------------------------------------------
224, 65, 21, 52, 29927, 0.025127
224, 65, 21, 52, 29927, 0.025092
224, 65, 21, 52, 29927, 0.025714
224, 65, 21, 52, 29927, 0.025905
224, 65, 21, 52, 29927, 0.025742
224, 65, 21, 52, 29927, 0.025630
224, 65, 21, 52, 29927, 0.025681
224, 65, 21, 52, 29927, 0.025526
224, 65, 21, 52, 29927, 0.025215
224, 65, 21, 52, 29927, 0.025413
-------------------------------------------
224, 70, 23, 55, 32207, 0.027804
224, 70, 23, 55, 32207, 0.027308
224, 70, 23, 55, 32207, 0.027381
224, 70, 23, 55, 32207, 0.027765
224, 70, 23, 55, 32207, 0.027599
224, 70, 23, 55, 32207, 0.026862
224, 70, 23, 55, 32207, 0.027049
224, 70, 23, 55, 32207, 0.027142
224, 70, 23, 55, 32207, 0.026977
224, 70, 23, 55, 32207, 0.026984
-------------------------------------------
224, 75, 25, 60, 34487, 0.029024
224, 75, 25, 60, 34487, 0.028957
224, 75, 25, 60, 34487, 0.028933
224, 75, 25, 60, 34487, 0.028891
224, 75, 25, 60, 34487, 0.028620
224, 75, 25, 60, 34487, 0.028688
224, 75, 25, 60, 34487, 0.028638
224, 75, 25, 60, 34487, 0.028887
224, 75, 25, 60, 34487, 0.028982
224, 75, 25, 60, 34487, 0.029232
-------------------------------------------
224, 80, 26, 63, 36767, 0.030841
224, 80, 26, 63, 36767, 0.030450
224, 80, 26, 63, 36767, 0.029165
224, 80, 26, 63, 36767, 0.031033
224, 80, 26, 63, 36767, 0.030838
224, 80, 26, 63, 36767, 0.030724
224, 80, 26, 63, 36767, 0.030580
224, 80, 26, 63, 36767, 0.030270
224, 80, 26, 63, 36767, 0.030525
224, 80, 26, 63, 36767, 0.030930
-------------------------------------------
224, 85, 28, 68, 39047, 0.032361
224, 85, 28, 68, 39047, 0.032200
224, 85, 28, 68, 39047, 0.032604
224, 85, 28, 68, 39047, 0.032541
224, 85, 28, 68, 39047, 0.032366
224, 85, 28, 68, 39047, 0.032271
224, 85, 28, 68, 39047, 0.032613
224, 85, 28, 68, 39047, 0.032185
224, 85, 28, 68, 39047, 0.032740
224, 85, 28, 68, 39047, 0.031655
-------------------------------------------
224, 90, 30, 72, 41327, 0.034710
224, 90, 30, 72, 41327, 0.034308
224, 90, 30, 72, 41327, 0.034012
224, 90, 30, 72, 41327, 0.034995
224, 90, 30, 72, 41327, 0.034385
224, 90, 30, 72, 41327, 0.034183
224, 90, 30, 72, 41327, 0.034734
224, 90, 30, 72, 41327, 0.034050
224, 90, 30, 72, 41327, 0.034016
224, 90, 30, 72, 41327, 0.034402
-------------------------------------------
224, 95, 31, 76, 43607, 0.035698
224, 95, 31, 76, 43607, 0.034688
224, 95, 31, 76, 43607, 0.036592
224, 95, 31, 76, 43607, 0.036740
224, 95, 31, 76, 43607, 0.036420
224, 95, 31, 76, 43607, 0.035823
224, 95, 31, 76, 43607, 0.036343
224, 95, 31, 76, 43607, 0.035941
224, 95, 31, 76, 43607, 0.035786
224, 95, 31, 76, 43607, 0.036095
-------------------------------------------
224, 100, 33, 81, 45887, 0.037225
224, 100, 33, 81, 45887, 0.037308
224, 100, 33, 81, 45887, 0.037974
224, 100, 33, 81, 45887, 0.037966
224, 100, 33, 81, 45887, 0.037574
224, 100, 33, 81, 45887, 0.037645
224, 100, 33, 81, 45887, 0.037471
224, 100, 33, 81, 45887, 0.037643
224, 100, 33, 81, 45887, 0.037098
224, 100, 33, 81, 45887, 0.037527
-------------------------------------------
