sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4847, 0.006184
224, 10, 3, 9, 4847, 0.006239
224, 10, 3, 9, 4847, 0.005955
224, 10, 3, 9, 4847, 0.005932
224, 10, 3, 9, 4847, 0.005787
224, 10, 3, 9, 4847, 0.005593
224, 10, 3, 9, 4847, 0.005822
224, 10, 3, 9, 4847, 0.005858
224, 10, 3, 9, 4847, 0.005829
224, 10, 3, 9, 4847, 0.005749
-------------------------------------------
224, 15, 5, 14, 7127, 0.007411
224, 15, 5, 14, 7127, 0.007359
224, 15, 5, 14, 7127, 0.007539
224, 15, 5, 14, 7127, 0.007521
224, 15, 5, 14, 7127, 0.007459
224, 15, 5, 14, 7127, 0.007361
224, 15, 5, 14, 7127, 0.007484
224, 15, 5, 14, 7127, 0.007569
224, 15, 5, 14, 7127, 0.007376
224, 15, 5, 14, 7127, 0.007614
-------------------------------------------
224, 20, 6, 18, 9407, 0.009168
224, 20, 6, 18, 9407, 0.009048
224, 20, 6, 18, 9407, 0.009262
224, 20, 6, 18, 9407, 0.009282
224, 20, 6, 18, 9407, 0.009072
224, 20, 6, 18, 9407, 0.009243
224, 20, 6, 18, 9407, 0.009206
224, 20, 6, 18, 9407, 0.009410
224, 20, 6, 18, 9407, 0.009156
224, 20, 6, 18, 9407, 0.009230
-------------------------------------------
224, 25, 8, 23, 11687, 0.011050
224, 25, 8, 23, 11687, 0.011291
224, 25, 8, 23, 11687, 0.010781
224, 25, 8, 23, 11687, 0.011059
224, 25, 8, 23, 11687, 0.011023
224, 25, 8, 23, 11687, 0.010879
224, 25, 8, 23, 11687, 0.010938
224, 25, 8, 23, 11687, 0.010961
224, 25, 8, 23, 11687, 0.011009
224, 25, 8, 23, 11687, 0.010787
-------------------------------------------
224, 30, 10, 28, 13967, 0.012600
224, 30, 10, 28, 13967, 0.012825
224, 30, 10, 28, 13967, 0.012911
224, 30, 10, 28, 13967, 0.012532
224, 30, 10, 28, 13967, 0.012646
224, 30, 10, 28, 13967, 0.012748
224, 30, 10, 28, 13967, 0.012687
224, 30, 10, 28, 13967, 0.012566
224, 30, 10, 28, 13967, 0.012530
224, 30, 10, 28, 13967, 0.012708
-------------------------------------------
224, 35, 11, 32, 16247, 0.014413
224, 35, 11, 32, 16247, 0.014474
224, 35, 11, 32, 16247, 0.014405
224, 35, 11, 32, 16247, 0.014509
224, 35, 11, 32, 16247, 0.014295
224, 35, 11, 32, 16247, 0.014418
224, 35, 11, 32, 16247, 0.013863
224, 35, 11, 32, 16247, 0.014457
224, 35, 11, 32, 16247, 0.014608
224, 35, 11, 32, 16247, 0.014376
-------------------------------------------
224, 40, 13, 35, 18527, 0.015905
224, 40, 13, 35, 18527, 0.016157
224, 40, 13, 35, 18527, 0.016313
224, 40, 13, 35, 18527, 0.015952
224, 40, 13, 35, 18527, 0.015928
224, 40, 13, 35, 18527, 0.016191
224, 40, 13, 35, 18527, 0.015949
224, 40, 13, 35, 18527, 0.015952
224, 40, 13, 35, 18527, 0.016182
224, 40, 13, 35, 18527, 0.015993
-------------------------------------------
224, 45, 15, 40, 20807, 0.017685
224, 45, 15, 40, 20807, 0.017370
224, 45, 15, 40, 20807, 0.017414
224, 45, 15, 40, 20807, 0.017405
224, 45, 15, 40, 20807, 0.017620
224, 45, 15, 40, 20807, 0.017650
224, 45, 15, 40, 20807, 0.017164
224, 45, 15, 40, 20807, 0.017271
224, 45, 15, 40, 20807, 0.017592
224, 45, 15, 40, 20807, 0.017443
-------------------------------------------
224, 50, 16, 44, 23087, 0.019022
224, 50, 16, 44, 23087, 0.019198
224, 50, 16, 44, 23087, 0.019538
224, 50, 16, 44, 23087, 0.019120
224, 50, 16, 44, 23087, 0.019227
224, 50, 16, 44, 23087, 0.019279
224, 50, 16, 44, 23087, 0.018711
224, 50, 16, 44, 23087, 0.019082
224, 50, 16, 44, 23087, 0.019009
224, 50, 16, 44, 23087, 0.019223
-------------------------------------------
224, 55, 18, 47, 25367, 0.020691
224, 55, 18, 47, 25367, 0.020795
224, 55, 18, 47, 25367, 0.020916
224, 55, 18, 47, 25367, 0.020600
224, 55, 18, 47, 25367, 0.020816
224, 55, 18, 47, 25367, 0.020939
224, 55, 18, 47, 25367, 0.020802
224, 55, 18, 47, 25367, 0.020521
224, 55, 18, 47, 25367, 0.020331
224, 55, 18, 47, 25367, 0.020586
-------------------------------------------
224, 60, 20, 50, 27647, 0.022820
224, 60, 20, 50, 27647, 0.022302
224, 60, 20, 50, 27647, 0.022469
224, 60, 20, 50, 27647, 0.022308
224, 60, 20, 50, 27647, 0.022331
224, 60, 20, 50, 27647, 0.022679
224, 60, 20, 50, 27647, 0.022660
224, 60, 20, 50, 27647, 0.022529
224, 60, 20, 50, 27647, 0.022771
224, 60, 20, 50, 27647, 0.022785
-------------------------------------------
224, 65, 21, 52, 29927, 0.023326
224, 65, 21, 52, 29927, 0.024237
224, 65, 21, 52, 29927, 0.024008
224, 65, 21, 52, 29927, 0.023791
224, 65, 21, 52, 29927, 0.024211
224, 65, 21, 52, 29927, 0.024330
224, 65, 21, 52, 29927, 0.024343
224, 65, 21, 52, 29927, 0.024056
224, 65, 21, 52, 29927, 0.024033
224, 65, 21, 52, 29927, 0.023968
-------------------------------------------
224, 70, 23, 55, 32207, 0.025245
224, 70, 23, 55, 32207, 0.025502
224, 70, 23, 55, 32207, 0.025962
224, 70, 23, 55, 32207, 0.025630
224, 70, 23, 55, 32207, 0.025875
224, 70, 23, 55, 32207, 0.025570
224, 70, 23, 55, 32207, 0.025426
224, 70, 23, 55, 32207, 0.025570
224, 70, 23, 55, 32207, 0.025395
224, 70, 23, 55, 32207, 0.025761
-------------------------------------------
224, 75, 25, 60, 34487, 0.027302
224, 75, 25, 60, 34487, 0.027335
224, 75, 25, 60, 34487, 0.027561
224, 75, 25, 60, 34487, 0.027445
224, 75, 25, 60, 34487, 0.026905
224, 75, 25, 60, 34487, 0.027264
224, 75, 25, 60, 34487, 0.027193
224, 75, 25, 60, 34487, 0.027784
224, 75, 25, 60, 34487, 0.027189
224, 75, 25, 60, 34487, 0.026841
-------------------------------------------
224, 80, 26, 63, 36767, 0.028620
224, 80, 26, 63, 36767, 0.029042
224, 80, 26, 63, 36767, 0.029368
224, 80, 26, 63, 36767, 0.028833
224, 80, 26, 63, 36767, 0.029200
224, 80, 26, 63, 36767, 0.028697
224, 80, 26, 63, 36767, 0.029291
224, 80, 26, 63, 36767, 0.029068
224, 80, 26, 63, 36767, 0.029027
224, 80, 26, 63, 36767, 0.028729
-------------------------------------------
224, 85, 28, 68, 39047, 0.030191
224, 85, 28, 68, 39047, 0.030166
224, 85, 28, 68, 39047, 0.030089
224, 85, 28, 68, 39047, 0.030203
224, 85, 28, 68, 39047, 0.030964
224, 85, 28, 68, 39047, 0.030614
224, 85, 28, 68, 39047, 0.030559
224, 85, 28, 68, 39047, 0.030669
224, 85, 28, 68, 39047, 0.030287
224, 85, 28, 68, 39047, 0.030603
-------------------------------------------
224, 90, 30, 72, 41327, 0.032280
224, 90, 30, 72, 41327, 0.032359
224, 90, 30, 72, 41327, 0.032073
