sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4035, 0.010687
224, 10, 3, 9, 4035, 0.009101
224, 10, 3, 9, 4035, 0.009464
224, 10, 3, 9, 4035, 0.009206
224, 10, 3, 9, 4035, 0.009545
224, 10, 3, 9, 4035, 0.009431
224, 10, 3, 9, 4035, 0.009433
224, 10, 3, 9, 4035, 0.009560
224, 10, 3, 9, 4035, 0.009302
224, 10, 3, 9, 4035, 0.009573
-------------------------------------------
224, 15, 5, 14, 5894, 0.019212
224, 15, 5, 14, 5895, 0.019128
224, 15, 5, 14, 5895, 0.019250
224, 15, 5, 14, 5895, 0.019140
224, 15, 5, 14, 5895, 0.018766
224, 15, 5, 14, 5895, 0.018834
224, 15, 5, 14, 5895, 0.018982
224, 15, 5, 14, 5895, 0.019232
224, 15, 5, 14, 5895, 0.019048
224, 15, 5, 14, 5895, 0.019086
-------------------------------------------
224, 20, 6, 18, 7755, 0.034860
224, 20, 6, 18, 7755, 0.035049
224, 20, 6, 18, 7755, 0.034899
224, 20, 6, 18, 7755, 0.035320
224, 20, 6, 18, 7755, 0.035092
224, 20, 6, 18, 7755, 0.034585
224, 20, 6, 18, 7755, 0.035180
224, 20, 6, 18, 7755, 0.034872
224, 20, 6, 18, 7755, 0.034661
224, 20, 6, 18, 7755, 0.034880
-------------------------------------------
224, 25, 8, 23, 9615, 0.060663
224, 25, 8, 23, 9615, 0.061571
224, 25, 8, 23, 9615, 0.061701
224, 25, 8, 23, 9615, 0.061562
224, 25, 8, 23, 9615, 0.061408
224, 25, 8, 23, 9615, 0.061172
224, 25, 8, 23, 9615, 0.061827
224, 25, 8, 23, 9615, 0.061532
224, 25, 8, 23, 9615, 0.061325
224, 25, 8, 23, 9615, 0.060886
-------------------------------------------
224, 30, 10, 28, 11475, 0.111357
224, 30, 10, 28, 11475, 0.112082
224, 30, 10, 28, 11475, 0.112310
224, 30, 10, 28, 11474, 0.112126
224, 30, 10, 28, 11475, 0.111521
224, 30, 10, 28, 11475, 0.111939
224, 30, 10, 28, 11475, 0.111376
224, 30, 10, 28, 11475, 0.112334
224, 30, 10, 28, 11475, 0.112384
224, 30, 10, 28, 11475, 0.112491
-------------------------------------------
224, 35, 11, 32, 13335, 0.176785
224, 35, 11, 32, 13335, 0.177351
224, 35, 11, 32, 13334, 0.177461
224, 35, 11, 32, 13335, 0.177106
224, 35, 11, 32, 13335, 0.177247
224, 35, 11, 32, 13335, 0.176808
224, 35, 11, 32, 13335, 0.177489
224, 35, 11, 32, 13335, 0.177800
224, 35, 11, 32, 13335, 0.176553
224, 35, 11, 32, 13333, 0.175770
-------------------------------------------
224, 40, 13, 35, 15195, 0.229404
224, 40, 13, 35, 15195, 0.229173
224, 40, 13, 35, 15195, 0.229566
224, 40, 13, 35, 15195, 0.228185
224, 40, 13, 35, 15195, 0.227239
224, 40, 13, 35, 15194, 0.227924
224, 40, 13, 35, 15195, 0.228933
224, 40, 13, 35, 15195, 0.229130
224, 40, 13, 35, 15194, 0.228391
224, 40, 13, 35, 15195, 0.229272
-------------------------------------------
224, 45, 15, 40, 17054, 0.365889
224, 45, 15, 40, 17054, 0.366530
224, 45, 15, 40, 17054, 0.365909
224, 45, 15, 40, 17055, 0.366497
224, 45, 15, 40, 17055, 0.367284
224, 45, 15, 40, 17055, 0.367659
224, 45, 15, 40, 17055, 0.366910
224, 45, 15, 40, 17055, 0.366278
224, 45, 15, 40, 17055, 0.366863
224, 45, 15, 40, 17055, 0.365989
-------------------------------------------
224, 50, 16, 44, 18915, 0.521596
224, 50, 16, 44, 18915, 0.522242
224, 50, 16, 44, 18915, 0.520364
224, 50, 16, 44, 18915, 0.519039
224, 50, 16, 44, 18915, 0.519438
224, 50, 16, 44, 18915, 0.520300
224, 50, 16, 44, 18915, 0.520262
224, 50, 16, 44, 18915, 0.520250
224, 50, 16, 44, 18914, 0.520587
224, 50, 16, 44, 18915, 0.519410
-------------------------------------------
224, 55, 18, 47, 20775, 0.624607
224, 55, 18, 47, 20775, 0.621619
224, 55, 18, 47, 20774, 0.625036
224, 55, 18, 47, 20775, 0.621748
224, 55, 18, 47, 20775, 0.620382
224, 55, 18, 47, 20775, 0.622039
224, 55, 18, 47, 20775, 0.621293
224, 55, 18, 47, 20774, 0.622440
224, 55, 18, 47, 20775, 0.657802
224, 55, 18, 47, 20773, 0.621704
-------------------------------------------
224, 60, 20, 50, 22634, 0.788156
224, 60, 20, 50, 22635, 0.788816
224, 60, 20, 50, 22634, 0.789517
224, 60, 20, 50, 22635, 0.786558
224, 60, 20, 50, 22635, 0.790000
224, 60, 20, 50, 22635, 0.791875
224, 60, 20, 50, 22635, 0.788604
224, 60, 20, 50, 22635, 0.797128
224, 60, 20, 50, 22635, 0.789642
224, 60, 20, 50, 22635, 0.789565
-------------------------------------------
224, 65, 21, 52, 24495, 0.892804
224, 65, 21, 52, 24494, 0.895184
224, 65, 21, 52, 24495, 0.893459
224, 65, 21, 52, 24495, 0.892731
224, 65, 21, 52, 24495, 0.892530
224, 65, 21, 52, 24495, 0.894673
224, 65, 21, 52, 24495, 0.893360
224, 65, 21, 52, 24495, 0.895011
224, 65, 21, 52, 24495, 0.893748
224, 65, 21, 52, 24494, 0.893645
-------------------------------------------
224, 70, 23, 55, 26355, 0.991315
224, 70, 23, 55, 26355, 0.995990
224, 70, 23, 55, 26355, 0.990165
224, 70, 23, 55, 26355, 0.991334
224, 70, 23, 55, 26355, 0.991950
224, 70, 23, 55, 26355, 0.992417
224, 70, 23, 55, 26355, 0.990759
224, 70, 23, 55, 26355, 0.991651
224, 70, 23, 55, 26354, 0.992210
224, 70, 23, 55, 26355, 0.990708
-------------------------------------------
224, 75, 25, 60, 28215, 1.440322
224, 75, 25, 60, 28215, 1.441977
224, 75, 25, 60, 28215, 1.437334
224, 75, 25, 60, 28215, 1.439994
224, 75, 25, 60, 28215, 1.440595
224, 75, 25, 60, 28215, 1.440479
224, 75, 25, 60, 28215, 1.480287
224, 75, 25, 60, 28215, 1.438987
224, 75, 25, 60, 28215, 1.439193
224, 75, 25, 60, 28215, 1.431674
-------------------------------------------
224, 80, 26, 63, 30075, 1.714732
224, 80, 26, 63, 30074, 1.721047
224, 80, 26, 63, 30075, 1.715107
224, 80, 26, 63, 30075, 1.713951
224, 80, 26, 63, 30075, 1.714587
224, 80, 26, 63, 30075, 1.712519
224, 80, 26, 63, 30075, 1.714898
224, 80, 26, 63, 30074, 1.711451
224, 80, 26, 63, 30075, 1.712406
224, 80, 26, 63, 30075, 1.713766
-------------------------------------------
224, 85, 28, 68, 31935, 2.196113
224, 85, 28, 68, 31935, 2.191250
224, 85, 28, 68, 31935, 2.204735
224, 85, 28, 68, 31935, 2.212459
224, 85, 28, 68, 31935, 2.211515
