sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4035, 0.009349
224, 10, 3, 9, 4035, 0.009307
224, 10, 3, 9, 4035, 0.009271
224, 10, 3, 9, 4034, 0.009107
224, 10, 3, 9, 4034, 0.009173
224, 10, 3, 9, 4035, 0.009098
224, 10, 3, 9, 4035, 0.009255
224, 10, 3, 9, 4035, 0.009223
224, 10, 3, 9, 4035, 0.009223
224, 10, 3, 9, 4035, 0.009136
-------------------------------------------
224, 15, 5, 14, 5895, 0.019286
224, 15, 5, 14, 5895, 0.018602
224, 15, 5, 14, 5895, 0.019015
224, 15, 5, 14, 5895, 0.019083
224, 15, 5, 14, 5895, 0.019007
224, 15, 5, 14, 5895, 0.019044
224, 15, 5, 14, 5894, 0.018274
224, 15, 5, 14, 5895, 0.018719
224, 15, 5, 14, 5895, 0.019033
224, 15, 5, 14, 5895, 0.019053
-------------------------------------------
224, 20, 6, 18, 7755, 0.034949
224, 20, 6, 18, 7755, 0.035285
224, 20, 6, 18, 7755, 0.035049
224, 20, 6, 18, 7755, 0.035204
224, 20, 6, 18, 7755, 0.035266
224, 20, 6, 18, 7755, 0.035529
224, 20, 6, 18, 7755, 0.035280
224, 20, 6, 18, 7755, 0.035097
224, 20, 6, 18, 7755, 0.035431
224, 20, 6, 18, 7755, 0.035227
-------------------------------------------
224, 25, 8, 23, 9615, 0.060904
224, 25, 8, 23, 9615, 0.060646
224, 25, 8, 23, 9615, 0.061162
224, 25, 8, 23, 9615, 0.062152
224, 25, 8, 23, 9614, 0.061278
224, 25, 8, 23, 9615, 0.061075
224, 25, 8, 23, 9614, 0.061112
224, 25, 8, 23, 9615, 0.060485
224, 25, 8, 23, 9615, 0.061024
224, 25, 8, 23, 9615, 0.061676
-------------------------------------------
224, 30, 10, 28, 11475, 0.111679
224, 30, 10, 28, 11475, 0.112443
224, 30, 10, 28, 11475, 0.112079
224, 30, 10, 28, 11475, 0.110754
224, 30, 10, 28, 11475, 0.112221
224, 30, 10, 28, 11474, 0.111282
224, 30, 10, 28, 11475, 0.111336
224, 30, 10, 28, 11475, 0.112197
224, 30, 10, 28, 11475, 0.111681
224, 30, 10, 28, 11475, 0.111431
-------------------------------------------
224, 35, 11, 32, 13335, 0.176552
224, 35, 11, 32, 13334, 0.178138
224, 35, 11, 32, 13335, 0.177195
224, 35, 11, 32, 13335, 0.178033
224, 35, 11, 32, 13335, 0.178427
224, 35, 11, 32, 13335, 0.176444
224, 35, 11, 32, 13335, 0.176885
224, 35, 11, 32, 13335, 0.177374
224, 35, 11, 32, 13335, 0.176117
224, 35, 11, 32, 13335, 0.177964
-------------------------------------------
224, 40, 13, 35, 15195, 0.229945
224, 40, 13, 35, 15195, 0.230425
224, 40, 13, 35, 15195, 0.230646
224, 40, 13, 35, 15194, 0.228158
224, 40, 13, 35, 15195, 0.228030
224, 40, 13, 35, 15195, 0.228720
224, 40, 13, 35, 15195, 0.228040
224, 40, 13, 35, 15195, 0.229803
224, 40, 13, 35, 15195, 0.229007
224, 40, 13, 35, 15195, 0.227224
-------------------------------------------
224, 45, 15, 40, 17055, 0.365034
224, 45, 15, 40, 17055, 0.363410
224, 45, 15, 40, 17055, 0.368420
224, 45, 15, 40, 17055, 0.364781
224, 45, 15, 40, 17055, 0.367247
224, 45, 15, 40, 17055, 0.364899
224, 45, 15, 40, 17055, 0.368409
224, 45, 15, 40, 17055, 0.365669
224, 45, 15, 40, 17055, 0.366097
224, 45, 15, 40, 17055, 0.365059
-------------------------------------------
224, 50, 16, 44, 18915, 0.521384
224, 50, 16, 44, 18915, 0.521593
224, 50, 16, 44, 18915, 0.520526
224, 50, 16, 44, 18915, 0.523609
224, 50, 16, 44, 18915, 0.521902
224, 50, 16, 44, 18915, 0.518481
224, 50, 16, 44, 18915, 0.525432
224, 50, 16, 44, 18915, 0.520587
224, 50, 16, 44, 18915, 0.529647
224, 50, 16, 44, 18915, 0.534778
-------------------------------------------
224, 55, 18, 47, 20775, 0.634687
224, 55, 18, 47, 20775, 0.628829
224, 55, 18, 47, 20775, 0.625822
224, 55, 18, 47, 20775, 0.635003
224, 55, 18, 47, 20774, 0.634360
224, 55, 18, 47, 20775, 0.634408
224, 55, 18, 47, 20775, 0.633658
224, 55, 18, 47, 20774, 0.631859
224, 55, 18, 47, 20774, 0.636186
224, 55, 18, 47, 20775, 0.632767
-------------------------------------------
224, 60, 20, 50, 22635, 0.805528
224, 60, 20, 50, 22634, 0.804319
224, 60, 20, 50, 22635, 0.807939
224, 60, 20, 50, 22635, 0.805083
224, 60, 20, 50, 22635, 0.808245
224, 60, 20, 50, 22635, 0.800637
224, 60, 20, 50, 22635, 0.807755
224, 60, 20, 50, 22635, 0.808371
224, 60, 20, 50, 22635, 0.804734
224, 60, 20, 50, 22635, 0.804256
-------------------------------------------
224, 65, 21, 52, 24494, 0.911646
224, 65, 21, 52, 24495, 0.908055
224, 65, 21, 52, 24495, 0.915188
224, 65, 21, 52, 24495, 0.911671
224, 65, 21, 52, 24495, 0.915530
224, 65, 21, 52, 24495, 0.912252
224, 65, 21, 52, 24495, 0.911234
224, 65, 21, 52, 24494, 0.913658
224, 65, 21, 52, 24495, 0.915557
224, 65, 21, 52, 24495, 0.914293
-------------------------------------------
224, 70, 23, 55, 26355, 1.018347
224, 70, 23, 55, 26355, 1.015325
224, 70, 23, 55, 26355, 1.008413
224, 70, 23, 55, 26355, 1.011995
224, 70, 23, 55, 26355, 1.011774
224, 70, 23, 55, 26355, 1.015153
224, 70, 23, 55, 26355, 1.016690
224, 70, 23, 55, 26354, 1.016564
224, 70, 23, 55, 26355, 1.017377
224, 70, 23, 55, 26355, 1.011408
-------------------------------------------
224, 75, 25, 60, 28215, 1.470970
224, 75, 25, 60, 28214, 1.468305
224, 75, 25, 60, 28215, 1.468578
224, 75, 25, 60, 28215, 1.468252
224, 75, 25, 60, 28214, 1.474804
224, 75, 25, 60, 28213, 1.473417
224, 75, 25, 60, 28215, 1.472115
224, 75, 25, 60, 28214, 1.469174
224, 75, 25, 60, 28215, 1.471121
224, 75, 25, 60, 28215, 1.473402
-------------------------------------------
224, 80, 26, 63, 30074, 1.756540
224, 80, 26, 63, 30075, 1.746803
224, 80, 26, 63, 30075, 1.751355
224, 80, 26, 63, 30075, 1.761292
224, 80, 26, 63, 30075, 1.755320
224, 80, 26, 63, 30074, 1.754916
224, 80, 26, 63, 30074, 1.753960
224, 80, 26, 63, 30075, 1.757071
224, 80, 26, 63, 30074, 1.758695
224, 80, 26, 63, 30075, 1.756129
-------------------------------------------
224, 85, 28, 68, 31934, 2.242677
224, 85, 28, 68, 31935, 2.263479
224, 85, 28, 68, 31935, 2.255376
224, 85, 28, 68, 31934, 2.247660
224, 85, 28, 68, 31935, 2.249869
224, 85, 28, 68, 31934, 2.244836
224, 85, 28, 68, 31935, 2.248560
224, 85, 28, 68, 31934, 2.243016
224, 85, 28, 68, 31935, 2.237407
224, 85, 28, 68, 31934, 2.241197
-------------------------------------------
224, 90, 30, 72, 33795, 2.831108
224, 90, 30, 72, 33795, 2.831828
224, 90, 30, 72, 33795, 2.830753
224, 90, 30, 72, 33795, 2.832119
224, 90, 30, 72, 33795, 2.828540
224, 90, 30, 72, 33795, 2.826081
224, 90, 30, 72, 33794, 2.831811
224, 90, 30, 72, 33795, 2.831743
224, 90, 30, 72, 33794, 2.829911
224, 90, 30, 72, 33795, 2.819151
-------------------------------------------
224, 95, 31, 76, 35655, 3.523608
224, 95, 31, 76, 35655, 3.522527
224, 95, 31, 76, 35655, 3.543627
224, 95, 31, 76, 35655, 3.522783
224, 95, 31, 76, 35654, 3.521379
224, 95, 31, 76, 35655, 3.534819
224, 95, 31, 76, 35655, 3.520943
224, 95, 31, 76, 35655, 3.529989
224, 95, 31, 76, 35655, 3.519643
224, 95, 31, 76, 35655, 3.532708
-------------------------------------------
224, 100, 33, 81, 37514, 4.330511
224, 100, 33, 81, 37515, 4.338071
224, 100, 33, 81, 37514, 4.330512
224, 100, 33, 81, 37515, 4.338834
224, 100, 33, 81, 37515, 4.347381
224, 100, 33, 81, 37515, 4.341187
224, 100, 33, 81, 37514, 4.342614
224, 100, 33, 81, 37515, 4.340146
224, 100, 33, 81, 37515, 4.333893
224, 100, 33, 81, 37514, 4.340847
-------------------------------------------
