sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 1, 7, 4847, 0.006259
224, 10, 1, 7, 4847, 0.005961
224, 10, 1, 7, 4847, 0.006060
224, 10, 1, 7, 4847, 0.005756
224, 10, 1, 7, 4847, 0.006253
224, 10, 1, 7, 4847, 0.005984
224, 10, 1, 7, 4847, 0.005883
224, 10, 1, 7, 4847, 0.006139
224, 10, 1, 7, 4847, 0.006077
224, 10, 1, 7, 4847, 0.005997
-------------------------------------------
224, 10, 2, 7, 4847, 0.006072
224, 10, 2, 7, 4847, 0.006012
224, 10, 2, 7, 4847, 0.006162
224, 10, 2, 7, 4847, 0.006140
224, 10, 2, 7, 4847, 0.006100
224, 10, 2, 7, 4847, 0.006044
224, 10, 2, 7, 4847, 0.006001
224, 10, 2, 7, 4847, 0.005932
224, 10, 2, 7, 4847, 0.006074
224, 10, 2, 7, 4847, 0.005952
-------------------------------------------
224, 10, 3, 7, 4847, 0.006088
224, 10, 3, 7, 4847, 0.006073
224, 10, 3, 7, 4847, 0.006252
224, 10, 3, 7, 4847, 0.006079
224, 10, 3, 7, 4847, 0.006172
224, 10, 3, 7, 4847, 0.006025
224, 10, 3, 7, 4847, 0.006105
224, 10, 3, 7, 4847, 0.006093
224, 10, 3, 7, 4847, 0.006156
224, 10, 3, 7, 4847, 0.006111
-------------------------------------------
224, 10, 4, 7, 4847, 0.006071
224, 10, 4, 7, 4847, 0.006251
224, 10, 4, 7, 4847, 0.006109
224, 10, 4, 7, 4847, 0.006006
224, 10, 4, 7, 4847, 0.006181
224, 10, 4, 7, 4847, 0.006121
224, 10, 4, 7, 4847, 0.006083
224, 10, 4, 7, 4847, 0.005945
224, 10, 4, 7, 4847, 0.006116
224, 10, 4, 7, 4847, 0.006201
-------------------------------------------
224, 10, 5, 7, 4847, 0.006230
224, 10, 5, 7, 4847, 0.006093
224, 10, 5, 7, 4847, 0.006029
224, 10, 5, 7, 4847, 0.006091
224, 10, 5, 7, 4847, 0.006142
224, 10, 5, 7, 4847, 0.006041
224, 10, 5, 7, 4847, 0.006255
224, 10, 5, 7, 4847, 0.005974
224, 10, 5, 7, 4847, 0.006048
224, 10, 5, 7, 4847, 0.006071
-------------------------------------------
224, 10, 6, 7, 4847, 0.006147
224, 10, 6, 7, 4847, 0.006035
224, 10, 6, 7, 4847, 0.005727
224, 10, 6, 7, 4847, 0.006085
224, 10, 6, 7, 4847, 0.006305
224, 10, 6, 7, 4847, 0.006040
224, 10, 6, 7, 4847, 0.006084
224, 10, 6, 7, 4847, 0.006250
224, 10, 6, 7, 4847, 0.006105
224, 10, 6, 7, 4847, 0.006145
-------------------------------------------
224, 10, 7, 7, 4847, 0.006116
224, 10, 7, 7, 4847, 0.006177
224, 10, 7, 7, 4847, 0.006171
224, 10, 7, 7, 4847, 0.006195
224, 10, 7, 7, 4847, 0.006125
224, 10, 7, 7, 4847, 0.006131
224, 10, 7, 7, 4847, 0.006303
224, 10, 7, 7, 4847, 0.006244
224, 10, 7, 7, 4847, 0.006102
224, 10, 7, 7, 4847, 0.006065
-------------------------------------------
224, 10, 8, 7, 4847, 0.006104
224, 10, 8, 7, 4847, 0.006226
224, 10, 8, 7, 4847, 0.006171
224, 10, 8, 7, 4847, 0.006120
224, 10, 8, 7, 4847, 0.005797
224, 10, 8, 7, 4847, 0.006132
224, 10, 8, 7, 4847, 0.006091
224, 10, 8, 7, 4847, 0.006090
224, 10, 8, 7, 4847, 0.006032
224, 10, 8, 7, 4847, 0.006192
-------------------------------------------
224, 10, 9, 7, 4847, 0.006111
224, 10, 9, 7, 4847, 0.005782
224, 10, 9, 7, 4847, 0.005981
224, 10, 9, 7, 4847, 0.006045
224, 10, 9, 7, 4847, 0.006291
224, 10, 9, 7, 4847, 0.006150
224, 10, 9, 7, 4847, 0.006049
224, 10, 9, 7, 4847, 0.006142
224, 10, 9, 7, 4847, 0.006136
224, 10, 9, 7, 4847, 0.006086
-------------------------------------------
