sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 1, 7, 4847, 0.005985
224, 10, 1, 7, 4847, 0.005780
224, 10, 1, 7, 4847, 0.006040
224, 10, 1, 7, 4847, 0.005740
224, 10, 1, 7, 4847, 0.005999
224, 10, 1, 7, 4847, 0.005968
224, 10, 1, 7, 4847, 0.006082
224, 10, 1, 7, 4847, 0.006100
224, 10, 1, 7, 4847, 0.005835
224, 10, 1, 7, 4847, 0.006015
-------------------------------------------
224, 10, 2, 7, 4847, 0.005800
224, 10, 2, 7, 4847, 0.005875
224, 10, 2, 7, 4847, 0.005784
224, 10, 2, 7, 4847, 0.005796
224, 10, 2, 7, 4847, 0.005867
224, 10, 2, 7, 4847, 0.005929
224, 10, 2, 7, 4847, 0.005889
224, 10, 2, 7, 4847, 0.005922
224, 10, 2, 7, 4847, 0.005928
224, 10, 2, 7, 4847, 0.005837
-------------------------------------------
224, 10, 3, 7, 4847, 0.005828
224, 10, 3, 7, 4847, 0.005767
224, 10, 3, 7, 4847, 0.005964
224, 10, 3, 7, 4847, 0.005768
224, 10, 3, 7, 4847, 0.006010
224, 10, 3, 7, 4847, 0.005909
224, 10, 3, 7, 4847, 0.005793
224, 10, 3, 7, 4847, 0.006003
224, 10, 3, 7, 4847, 0.005955
224, 10, 3, 7, 4847, 0.005863
-------------------------------------------
224, 10, 4, 7, 4847, 0.005930
224, 10, 4, 7, 4847, 0.005853
224, 10, 4, 7, 4847, 0.005744
224, 10, 4, 7, 4847, 0.005821
224, 10, 4, 7, 4847, 0.005839
224, 10, 4, 7, 4847, 0.005752
224, 10, 4, 7, 4847, 0.005785
224, 10, 4, 7, 4847, 0.005927
224, 10, 4, 7, 4847, 0.005965
224, 10, 4, 7, 4847, 0.005921
-------------------------------------------
224, 10, 5, 7, 4847, 0.005959
224, 10, 5, 7, 4847, 0.005962
224, 10, 5, 7, 4847, 0.005677
224, 10, 5, 7, 4847, 0.006021
224, 10, 5, 7, 4847, 0.005854
224, 10, 5, 7, 4847, 0.005773
224, 10, 5, 7, 4847, 0.005876
224, 10, 5, 7, 4847, 0.005877
224, 10, 5, 7, 4847, 0.005745
224, 10, 5, 7, 4847, 0.005968
-------------------------------------------
224, 10, 6, 7, 4847, 0.005846
224, 10, 6, 7, 4847, 0.005811
224, 10, 6, 7, 4847, 0.006004
224, 10, 6, 7, 4847, 0.005868
224, 10, 6, 7, 4847, 0.006049
224, 10, 6, 7, 4847, 0.005898
224, 10, 6, 7, 4847, 0.005878
224, 10, 6, 7, 4847, 0.005990
224, 10, 6, 7, 4847, 0.005861
224, 10, 6, 7, 4847, 0.005913
-------------------------------------------
224, 10, 7, 7, 4847, 0.005988
224, 10, 7, 7, 4847, 0.005848
224, 10, 7, 7, 4847, 0.005879
224, 10, 7, 7, 4847, 0.005836
224, 10, 7, 7, 4847, 0.005811
224, 10, 7, 7, 4847, 0.005861
224, 10, 7, 7, 4847, 0.005693
224, 10, 7, 7, 4847, 0.005782
224, 10, 7, 7, 4847, 0.005867
224, 10, 7, 7, 4847, 0.005928
-------------------------------------------
224, 10, 8, 7, 4847, 0.005928
224, 10, 8, 7, 4847, 0.005827
224, 10, 8, 7, 4847, 0.005841
224, 10, 8, 7, 4847, 0.005859
224, 10, 8, 7, 4847, 0.006110
224, 10, 8, 7, 4847, 0.005862
224, 10, 8, 7, 4847, 0.005847
224, 10, 8, 7, 4847, 0.006006
224, 10, 8, 7, 4847, 0.005883
224, 10, 8, 7, 4847, 0.005885
-------------------------------------------
224, 10, 9, 7, 4847, 0.005720
224, 10, 9, 7, 4847, 0.005911
224, 10, 9, 7, 4847, 0.005722
224, 10, 9, 7, 4847, 0.005791
224, 10, 9, 7, 4847, 0.005841
224, 10, 9, 7, 4847, 0.005867
224, 10, 9, 7, 4847, 0.005690
224, 10, 9, 7, 4847, 0.005975
224, 10, 9, 7, 4847, 0.005989
224, 10, 9, 7, 4847, 0.005859
-------------------------------------------
