sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 1, 7, 4035, 0.009841
224, 10, 1, 7, 4035, 0.008676
224, 10, 1, 7, 4035, 0.008957
224, 10, 1, 7, 4035, 0.008743
224, 10, 1, 7, 4035, 0.008716
224, 10, 1, 7, 4035, 0.008913
224, 10, 1, 7, 4035, 0.008670
224, 10, 1, 7, 4035, 0.008494
224, 10, 1, 7, 4035, 0.008840
224, 10, 1, 7, 4035, 0.008644
-------------------------------------------
224, 10, 2, 7, 4035, 0.008826
224, 10, 2, 7, 4035, 0.008651
224, 10, 2, 7, 4035, 0.008769
224, 10, 2, 7, 4035, 0.008812
224, 10, 2, 7, 4035, 0.008634
224, 10, 2, 7, 4035, 0.008965
224, 10, 2, 7, 4035, 0.008855
224, 10, 2, 7, 4035, 0.008835
224, 10, 2, 7, 4035, 0.008829
224, 10, 2, 7, 4035, 0.008661
-------------------------------------------
224, 10, 3, 7, 4035, 0.007855
224, 10, 3, 7, 4035, 0.008080
224, 10, 3, 7, 4035, 0.007786
224, 10, 3, 7, 4035, 0.007977
224, 10, 3, 7, 4035, 0.007795
224, 10, 3, 7, 4035, 0.007911
224, 10, 3, 7, 4035, 0.007985
224, 10, 3, 7, 4035, 0.007721
224, 10, 3, 7, 4035, 0.007834
224, 10, 3, 7, 4035, 0.007904
-------------------------------------------
224, 10, 4, 7, 4035, 0.007902
224, 10, 4, 7, 4035, 0.007731
224, 10, 4, 7, 4035, 0.007909
224, 10, 4, 7, 4035, 0.008032
224, 10, 4, 7, 4035, 0.007631
224, 10, 4, 7, 4035, 0.007799
224, 10, 4, 7, 4035, 0.008080
224, 10, 4, 7, 4035, 0.007679
224, 10, 4, 7, 4035, 0.007845
224, 10, 4, 7, 4035, 0.007999
-------------------------------------------
224, 10, 5, 7, 4035, 0.007827
224, 10, 5, 7, 4035, 0.007713
224, 10, 5, 7, 4035, 0.007737
224, 10, 5, 7, 4035, 0.007799
224, 10, 5, 7, 4035, 0.007872
224, 10, 5, 7, 4035, 0.007824
224, 10, 5, 7, 4035, 0.007802
224, 10, 5, 7, 4035, 0.007454
224, 10, 5, 7, 4035, 0.007733
224, 10, 5, 7, 4035, 0.007794
-------------------------------------------
224, 10, 6, 7, 4035, 0.007880
224, 10, 6, 7, 4035, 0.007934
224, 10, 6, 7, 4035, 0.007855
224, 10, 6, 7, 4035, 0.007952
224, 10, 6, 7, 4035, 0.008012
224, 10, 6, 7, 4035, 0.008089
224, 10, 6, 7, 4035, 0.007913
224, 10, 6, 7, 4035, 0.007731
224, 10, 6, 7, 4035, 0.007794
224, 10, 6, 7, 4035, 0.007962
-------------------------------------------
224, 10, 7, 7, 4035, 0.007719
224, 10, 7, 7, 4035, 0.008072
224, 10, 7, 7, 4035, 0.007798
224, 10, 7, 7, 4035, 0.007910
224, 10, 7, 7, 4035, 0.007892
224, 10, 7, 7, 4035, 0.007763
224, 10, 7, 7, 4035, 0.007643
224, 10, 7, 7, 4035, 0.007855
224, 10, 7, 7, 4035, 0.007774
224, 10, 7, 7, 4035, 0.007960
-------------------------------------------
224, 10, 8, 7, 4035, 0.007758
224, 10, 8, 7, 4035, 0.007875
224, 10, 8, 7, 4035, 0.007760
224, 10, 8, 7, 4035, 0.007872
224, 10, 8, 7, 4035, 0.007785
224, 10, 8, 7, 4035, 0.007688
224, 10, 8, 7, 4035, 0.007710
224, 10, 8, 7, 4035, 0.007790
224, 10, 8, 7, 4035, 0.007703
224, 10, 8, 7, 4035, 0.007633
-------------------------------------------
224, 10, 9, 7, 4035, 0.007701
224, 10, 9, 7, 4035, 0.007693
224, 10, 9, 7, 4035, 0.007675
224, 10, 9, 7, 4035, 0.007816
224, 10, 9, 7, 4035, 0.007755
224, 10, 9, 7, 4035, 0.007820
224, 10, 9, 7, 4035, 0.007758
224, 10, 9, 7, 4035, 0.007653
224, 10, 9, 7, 4035, 0.007593
224, 10, 9, 7, 4035, 0.007712
-------------------------------------------
