sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 1, 7, 4035, 0.008458
224, 10, 1, 7, 4035, 0.008611
224, 10, 1, 7, 4035, 0.008164
224, 10, 1, 7, 4035, 0.008385
224, 10, 1, 7, 4035, 0.008256
224, 10, 1, 7, 4035, 0.008614
224, 10, 1, 7, 4025, 0.008468
224, 10, 1, 7, 4035, 0.008410
224, 10, 1, 7, 4035, 0.008628
224, 10, 1, 7, 4035, 0.008362
-------------------------------------------
224, 10, 2, 7, 4035, 0.008495
224, 10, 2, 7, 4035, 0.008703
224, 10, 2, 7, 4035, 0.008520
224, 10, 2, 7, 4034, 0.008671
224, 10, 2, 7, 4035, 0.008629
224, 10, 2, 7, 4035, 0.008572
224, 10, 2, 7, 4035, 0.008499
224, 10, 2, 7, 4035, 0.008502
224, 10, 2, 7, 4035, 0.008515
224, 10, 2, 7, 4035, 0.008390
-------------------------------------------
224, 10, 3, 7, 4035, 0.007677
224, 10, 3, 7, 4035, 0.007687
224, 10, 3, 7, 4035, 0.007669
224, 10, 3, 7, 4035, 0.007668
224, 10, 3, 7, 4035, 0.007596
224, 10, 3, 7, 4035, 0.007540
224, 10, 3, 7, 4035, 0.007709
224, 10, 3, 7, 4035, 0.007423
224, 10, 3, 7, 4035, 0.007360
224, 10, 3, 7, 4035, 0.007530
-------------------------------------------
224, 10, 4, 7, 4035, 0.007403
224, 10, 4, 7, 4035, 0.007664
224, 10, 4, 7, 4035, 0.007617
224, 10, 4, 7, 4035, 0.007592
224, 10, 4, 7, 4035, 0.007486
224, 10, 4, 7, 4035, 0.007538
224, 10, 4, 7, 4035, 0.007687
224, 10, 4, 7, 4035, 0.007814
224, 10, 4, 7, 4035, 0.007541
224, 10, 4, 7, 4035, 0.007624
-------------------------------------------
224, 10, 5, 7, 4035, 0.007800
224, 10, 5, 7, 4035, 0.007755
224, 10, 5, 7, 4035, 0.007700
224, 10, 5, 7, 4035, 0.007563
224, 10, 5, 7, 4035, 0.007411
224, 10, 5, 7, 4035, 0.007688
224, 10, 5, 7, 4035, 0.007716
224, 10, 5, 7, 4035, 0.007667
224, 10, 5, 7, 4035, 0.007663
224, 10, 5, 7, 4035, 0.007778
-------------------------------------------
224, 10, 6, 7, 4035, 0.007311
224, 10, 6, 7, 4035, 0.007582
224, 10, 6, 7, 4035, 0.007586
224, 10, 6, 7, 4035, 0.007692
224, 10, 6, 7, 4035, 0.007416
224, 10, 6, 7, 4035, 0.007806
224, 10, 6, 7, 4035, 0.007465
224, 10, 6, 7, 4035, 0.007531
224, 10, 6, 7, 4035, 0.007681
224, 10, 6, 7, 4035, 0.007602
-------------------------------------------
224, 10, 7, 7, 4035, 0.007650
224, 10, 7, 7, 4035, 0.007426
224, 10, 7, 7, 4035, 0.007866
224, 10, 7, 7, 4035, 0.007805
224, 10, 7, 7, 4035, 0.007574
224, 10, 7, 7, 4035, 0.007535
224, 10, 7, 7, 4035, 0.007555
224, 10, 7, 7, 4035, 0.007509
224, 10, 7, 7, 4035, 0.007448
224, 10, 7, 7, 4035, 0.007615
-------------------------------------------
224, 10, 8, 7, 4035, 0.007602
224, 10, 8, 7, 4035, 0.007749
224, 10, 8, 7, 4035, 0.007474
224, 10, 8, 7, 4035, 0.007716
224, 10, 8, 7, 4035, 0.007791
224, 10, 8, 7, 4035, 0.007750
224, 10, 8, 7, 4034, 0.007635
224, 10, 8, 7, 4035, 0.007665
224, 10, 8, 7, 4035, 0.007624
224, 10, 8, 7, 4034, 0.007526
-------------------------------------------
224, 10, 9, 7, 4035, 0.007299
224, 10, 9, 7, 4035, 0.007506
224, 10, 9, 7, 4035, 0.007427
224, 10, 9, 7, 4035, 0.007514
224, 10, 9, 7, 4035, 0.007351
224, 10, 9, 7, 4035, 0.007484
224, 10, 9, 7, 4035, 0.007552
224, 10, 9, 7, 4035, 0.007497
224, 10, 9, 7, 4035, 0.007879
224, 10, 9, 7, 4035, 0.007399
-------------------------------------------
