sec par, # entries, total bytes, total_time
224, 10, 4847, 0.021238
224, 10, 4847, 0.019396
224, 10, 4847, 0.018366
224, 10, 4847, 0.017807
224, 10, 4847, 0.019396
224, 10, 4847, 0.018275
224, 10, 4847, 0.018922
224, 10, 4847, 0.019983
224, 10, 4847, 0.018116
224, 10, 4847, 0.020484
-------------------------------------------
224, 20, 9407, 0.027038
224, 20, 9407, 0.040757
224, 20, 9407, 0.027130
224, 20, 9407, 0.028043
224, 20, 9407, 0.027356
224, 20, 9407, 0.027611
224, 20, 9407, 0.030074
224, 20, 9407, 0.028010
224, 20, 9407, 0.027769
224, 20, 9407, 0.028014
-------------------------------------------
224, 30, 13967, 0.037812
224, 30, 13967, 0.037517
224, 30, 13967, 0.039982
224, 30, 13967, 0.036304
224, 30, 13967, 0.037408
224, 30, 13967, 0.037825
224, 30, 13967, 0.038256
224, 30, 13967, 0.036302
224, 30, 13967, 0.036238
224, 30, 13967, 0.036951
-------------------------------------------
224, 40, 18527, 0.053454
224, 40, 18527, 0.047142
224, 40, 18527, 0.048397
224, 40, 18527, 0.049613
224, 40, 18527, 0.050886
224, 40, 18527, 0.051494
224, 40, 18527, 0.064962
224, 40, 18527, 0.064834
224, 40, 18527, 0.057364
224, 40, 18527, 0.058779
-------------------------------------------
224, 50, 23087, 0.063359
224, 50, 23087, 0.057516
224, 50, 23087, 0.056863
224, 50, 23087, 0.059866
224, 50, 23087, 0.058231
224, 50, 23087, 0.058964
224, 50, 23087, 0.059282
224, 50, 23087, 0.062378
224, 50, 23087, 0.072677
224, 50, 23087, 0.058074
-------------------------------------------
224, 60, 27647, 0.064693
224, 60, 27647, 0.064491
224, 60, 27647, 0.090078
224, 60, 27647, 0.066569
224, 60, 27647, 0.064993
224, 60, 27647, 0.065741
224, 60, 27647, 0.078292
224, 60, 27647, 0.065433
224, 60, 27647, 0.067172
224, 60, 27647, 0.065138
-------------------------------------------
224, 70, 32207, 0.096346
224, 70, 32207, 0.078910
224, 70, 32207, 0.075495
224, 70, 32207, 0.080627
224, 70, 32207, 0.110155
224, 70, 32207, 0.078164
224, 70, 32207, 0.077877
224, 70, 32207, 0.077082
224, 70, 32207, 0.074619
224, 70, 32207, 0.081871
-------------------------------------------
224, 80, 36767, 0.085949
224, 80, 36767, 0.080277
224, 80, 36767, 0.084320
224, 80, 36767, 0.084737
224, 80, 36767, 0.083215
224, 80, 36767, 0.084153
224, 80, 36767, 0.083201
224, 80, 36767, 0.085675
224, 80, 36767, 0.128331
224, 80, 36767, 0.085812
-------------------------------------------
224, 90, 41327, 0.093127
224, 90, 41327, 0.093340
224, 90, 41327, 0.092572
224, 90, 41327, 0.092904
224, 90, 41327, 0.097353
224, 90, 41327, 0.099001
224, 90, 41327, 0.093448
224, 90, 41327, 0.095893
224, 90, 41327, 0.097025
224, 90, 41327, 0.096573
-------------------------------------------
224, 100, 45887, 0.103592
224, 100, 45887, 0.102884
224, 100, 45887, 0.101979
224, 100, 45887, 0.102280
224, 100, 45887, 0.105714
224, 100, 45887, 0.101267
224, 100, 45887, 0.100010
224, 100, 45887, 0.104848
224, 100, 45887, 0.104810
224, 100, 45887, 0.106680
-------------------------------------------
