sec par, # entries, total bytes, total_time
224, 10, 4847, 0.018659
224, 10, 4847, 0.018383
224, 10, 4847, 0.017652
224, 10, 4847, 0.019362
224, 10, 4847, 0.018307
224, 10, 4847, 0.018442
224, 10, 4847, 0.017880
224, 10, 4847, 0.018628
224, 10, 4847, 0.019824
224, 10, 4847, 0.018975
-------------------------------------------
224, 20, 9407, 0.026556
224, 20, 9407, 0.025713
224, 20, 9407, 0.025728
224, 20, 9407, 0.026303
224, 20, 9407, 0.027623
224, 20, 9407, 0.026137
224, 20, 9407, 0.028001
224, 20, 9407, 0.027065
224, 20, 9407, 0.026878
224, 20, 9407, 0.028014
-------------------------------------------
224, 30, 13967, 0.034895
224, 30, 13967, 0.034713
224, 30, 13967, 0.037277
224, 30, 13967, 0.034855
224, 30, 13967, 0.034076
224, 30, 13967, 0.034409
224, 30, 13967, 0.034492
224, 30, 13967, 0.035156
224, 30, 13967, 0.035545
224, 30, 13967, 0.037096
-------------------------------------------
224, 40, 18527, 0.047059
224, 40, 18527, 0.047382
224, 40, 18527, 0.044619
224, 40, 18527, 0.046668
224, 40, 18527, 0.045497
224, 40, 18527, 0.046736
224, 40, 18527, 0.079949
224, 40, 18527, 0.045608
224, 40, 18527, 0.047163
224, 40, 18527, 0.048307
-------------------------------------------
224, 50, 23087, 0.053735
224, 50, 23087, 0.053140
224, 50, 23087, 0.054137
224, 50, 23087, 0.052291
224, 50, 23087, 0.052025
224, 50, 23087, 0.052931
224, 50, 23087, 0.052275
224, 50, 23087, 0.053531
224, 50, 23087, 0.053095
224, 50, 23087, 0.052679
-------------------------------------------
224, 60, 27647, 0.064605
224, 60, 27647, 0.058528
224, 60, 27647, 0.063047
224, 60, 27647, 0.060430
224, 60, 27647, 0.060437
224, 60, 27647, 0.059835
224, 60, 27647, 0.060218
224, 60, 27647, 0.061702
224, 60, 27647, 0.060562
224, 60, 27647, 0.062016
-------------------------------------------
224, 70, 32207, 0.068097
224, 70, 32207, 0.069667
224, 70, 32207, 0.068991
224, 70, 32207, 0.070707
224, 70, 32207, 0.070805
224, 70, 32207, 0.069046
224, 70, 32207, 0.067227
224, 70, 32207, 0.068583
224, 70, 32207, 0.069785
224, 70, 32207, 0.069378
-------------------------------------------
224, 80, 36767, 0.077575
224, 80, 36767, 0.081651
224, 80, 36767, 0.079849
224, 80, 36767, 0.079641
224, 80, 36767, 0.080384
224, 80, 36767, 0.076254
224, 80, 36767, 0.077679
224, 80, 36767, 0.078784
224, 80, 36767, 0.077490
224, 80, 36767, 0.084039
-------------------------------------------
224, 90, 41327, 0.086540
224, 90, 41327, 0.087509
224, 90, 41327, 0.085193
224, 90, 41327, 0.084844
224, 90, 41327, 0.083819
224, 90, 41327, 0.087086
224, 90, 41327, 0.085373
224, 90, 41327, 0.085696
224, 90, 41327, 0.083350
224, 90, 41327, 0.085509
-------------------------------------------
224, 100, 45887, 0.094284
224, 100, 45887, 0.094450
224, 100, 45887, 0.110054
224, 100, 45887, 0.094976
224, 100, 45887, 0.093973
224, 100, 45887, 0.094465
224, 100, 45887, 0.094270
224, 100, 45887, 0.094686
224, 100, 45887, 0.093450
224, 100, 45887, 0.093167
-------------------------------------------
