sec par, # entries, total bytes, total_time
224, 10, 4039, 0.023977
224, 10, 4039, 0.023792
224, 10, 4039, 0.024724
224, 10, 4039, 0.024646
224, 10, 4039, 0.025215
224, 10, 4039, 0.022768
224, 10, 4039, 0.023777
224, 10, 4039, 0.023728
224, 10, 4039, 0.024029
224, 10, 4039, 0.025989
-------------------------------------------
224, 20, 7759, 0.045125
224, 20, 7759, 0.048833
224, 20, 7759, 0.045129
224, 20, 7759, 0.042438
224, 20, 7759, 0.046642
224, 20, 7759, 0.050387
224, 20, 7759, 0.046663
224, 20, 7759, 0.045211
224, 20, 7759, 0.044435
224, 20, 7759, 0.056805
-------------------------------------------
224, 30, 11479, 0.082263
224, 30, 11478, 0.083924
224, 30, 11478, 0.083160
224, 30, 11479, 0.083932
224, 30, 11479, 0.081069
224, 30, 11479, 0.079815
224, 30, 11479, 0.081379
224, 30, 11479, 0.081008
224, 30, 11479, 0.078690
224, 30, 11479, 0.081209
-------------------------------------------
224, 40, 15199, 0.123922
224, 40, 15199, 0.129937
224, 40, 15198, 0.126353
224, 40, 15199, 0.131442
224, 40, 15199, 0.122068
224, 40, 15199, 0.129541
224, 40, 15198, 0.127835
224, 40, 15199, 0.127042
224, 40, 15199, 0.126574
224, 40, 15199, 0.128997
-------------------------------------------
-------------------------------------------
224, 60, 22639, 0.267503
224, 60, 22639, 0.277739
224, 60, 22638, 0.279242
224, 60, 22639, 0.268734
224, 60, 22638, 0.271608
224, 60, 22639, 0.272730
224, 60, 22639, 0.271714
224, 60, 22639, 0.275486
224, 60, 22639, 0.272360
224, 60, 22638, 0.267651
-------------------------------------------
224, 70, 26358, 0.380257
224, 70, 26358, 0.386359
224, 70, 26359, 0.392604
224, 70, 26358, 0.376946
224, 70, 26359, 0.381521
224, 70, 26357, 0.374314
224, 70, 26359, 0.381781
224, 70, 26359, 0.386770
224, 70, 26358, 0.375293
224, 70, 26358, 0.377875
-------------------------------------------
224, 80, 30078, 0.528522
224, 80, 30078, 0.531865
224, 80, 30079, 0.521687
224, 80, 30079, 0.532453
224, 80, 30079, 0.523622
224, 80, 30079, 0.517631
224, 80, 30079, 0.520728
224, 80, 30079, 0.516316
224, 80, 30079, 0.519367
224, 80, 30079, 0.523505
-------------------------------------------
224, 90, 33799, 0.690491
224, 90, 33799, 0.688356
224, 90, 33799, 0.681802
224, 90, 33799, 0.687455
224, 90, 33799, 0.682466
224, 90, 33799, 0.729313
224, 90, 33799, 0.680310
224, 90, 33798, 0.684102
224, 90, 33799, 0.691232
224, 90, 33799, 0.689111
-------------------------------------------
224, 100, 37519, 0.891865
224, 100, 37519, 0.894135
224, 100, 37519, 0.888086
224, 100, 37519, 0.886624
224, 100, 37518, 0.885229
224, 100, 37518, 0.904450
224, 100, 37518, 0.881763
224, 100, 37518, 0.889545
224, 100, 37519, 0.894517
224, 100, 37519, 0.887910
-------------------------------------------
