sec par, # entries, total bytes, total_time
224, 10, 4039, 0.023061
224, 10, 4039, 0.023157
224, 10, 4039, 0.022912
224, 10, 4039, 0.023407
224, 10, 4039, 0.023772
224, 10, 4039, 0.022680
224, 10, 4039, 0.024453
224, 10, 4039, 0.024739
224, 10, 4039, 0.024158
224, 10, 4039, 0.023905
-------------------------------------------
224, 20, 7759, 0.041558
224, 20, 7759, 0.047989
224, 20, 7759, 0.043639
224, 20, 7759, 0.044878
224, 20, 7759, 0.046583
224, 20, 7759, 0.043873
224, 20, 7759, 0.043101
224, 20, 7759, 0.047072
224, 20, 7759, 0.042689
224, 20, 7759, 0.050351
-------------------------------------------
224, 30, 11479, 0.077251
224, 30, 11479, 0.077425
224, 30, 11479, 0.076893
224, 30, 11479, 0.076763
224, 30, 11479, 0.074975
224, 30, 11479, 0.079034
224, 30, 11479, 0.082585
224, 30, 11479, 0.079876
224, 30, 11479, 0.075563
224, 30, 11479, 0.082500
-------------------------------------------
224, 40, 15199, 0.126462
224, 40, 15199, 0.130770
224, 40, 15199, 0.126199
224, 40, 15199, 0.131928
224, 40, 15198, 0.126467
224, 40, 15199, 0.123394
224, 40, 15199, 0.128348
224, 40, 15199, 0.128061
224, 40, 15199, 0.151454
224, 40, 15199, 0.122373
-------------------------------------------
224, 50, 18917, 0.189593
224, 50, 18919, 0.184739
224, 50, 18919, 0.184511
224, 50, 18919, 0.185384
224, 50, 18919, 0.181667
224, 50, 18919, 0.182997
224, 50, 18919, 0.185171
224, 50, 18919, 0.185515
224, 50, 18919, 0.184983
224, 50, 18919, 0.189111
-------------------------------------------
224, 60, 22639, 0.272646
224, 60, 22639, 0.279117
224, 60, 22639, 0.274883
224, 60, 22639, 0.265659
224, 60, 22639, 0.275272
224, 60, 22639, 0.278286
224, 60, 22638, 0.267527
224, 60, 22639, 0.274411
224, 60, 22639, 0.277131
224, 60, 22639, 0.270376
-------------------------------------------
224, 70, 26359, 0.375703
224, 70, 26359, 0.369587
224, 70, 26359, 0.380423
224, 70, 26359, 0.376365
224, 70, 26359, 0.393114
224, 70, 26358, 0.381653
224, 70, 26359, 0.375716
224, 70, 26359, 0.368252
224, 70, 26359, 0.375701
224, 70, 26359, 0.377055
-------------------------------------------
224, 80, 30079, 0.521339
224, 80, 30079, 0.518958
224, 80, 30079, 0.519655
224, 80, 30077, 0.514012
224, 80, 30079, 0.516319
224, 80, 30079, 0.524935
224, 80, 30078, 0.513814
224, 80, 30078, 0.521874
224, 80, 30078, 0.514685
224, 80, 30079, 0.527077
-------------------------------------------
224, 90, 33799, 0.694173
224, 90, 33798, 0.687466
224, 90, 33799, 0.687202
224, 90, 33799, 0.690517
224, 90, 33799, 0.677572
224, 90, 33799, 0.683660
224, 90, 33799, 0.685977
224, 90, 33799, 0.685939
224, 90, 33799, 0.684831
224, 90, 33798, 0.695700
-------------------------------------------
224, 100, 37519, 0.886089
224, 100, 37519, 0.884491
224, 100, 37518, 0.886084
224, 100, 37518, 0.891914
224, 100, 37519, 0.895066
224, 100, 37517, 0.883046
224, 100, 37519, 0.892223
224, 100, 37519, 0.885368
224, 100, 37519, 0.887421
224, 100, 37519, 0.891134
-------------------------------------------
