sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 23087, 0.071167
224, 50, 16, 16, 23087, 0.058667
224, 50, 16, 16, 23087, 0.058224
224, 50, 16, 16, 23087, 0.056151
224, 50, 16, 16, 23087, 0.059086
224, 50, 16, 16, 23087, 0.056905
224, 50, 16, 16, 23087, 0.055860
224, 50, 16, 16, 23087, 0.056432
224, 50, 16, 16, 23087, 0.056343
224, 50, 16, 16, 23087, 0.057977
-------------------------------------------
224, 50, 16, 23, 23087, 0.056665
224, 50, 16, 23, 23087, 0.057969
224, 50, 16, 23, 23087, 0.061294
224, 50, 16, 23, 23087, 0.061819
224, 50, 16, 23, 23087, 0.060976
224, 50, 16, 23, 23087, 0.058290
224, 50, 16, 23, 23087, 0.058707
224, 50, 16, 23, 23087, 0.058519
224, 50, 16, 23, 23087, 0.068314
224, 50, 16, 23, 23087, 0.059155
-------------------------------------------
224, 50, 16, 29, 23087, 0.059273
224, 50, 16, 29, 23087, 0.063033
224, 50, 16, 29, 23087, 0.058926
224, 50, 16, 29, 23087, 0.060328
224, 50, 16, 29, 23087, 0.059673
224, 50, 16, 29, 23087, 0.056522
224, 50, 16, 29, 23087, 0.057457
224, 50, 16, 29, 23087, 0.062438
224, 50, 16, 29, 23087, 0.057236
224, 50, 16, 29, 23087, 0.057161
-------------------------------------------
224, 50, 16, 34, 23087, 0.060381
224, 50, 16, 34, 23087, 0.056757
224, 50, 16, 34, 23087, 0.057756
224, 50, 16, 34, 23087, 0.057319
224, 50, 16, 34, 23087, 0.059330
224, 50, 16, 34, 23087, 0.066767
224, 50, 16, 34, 23087, 0.063596
224, 50, 16, 34, 23087, 0.058036
224, 50, 16, 34, 23087, 0.058566
224, 50, 16, 34, 23087, 0.059000
-------------------------------------------
224, 50, 16, 43, 23087, 0.058385
224, 50, 16, 43, 23087, 0.058178
224, 50, 16, 43, 23087, 0.057241
224, 50, 16, 43, 23087, 0.060601
224, 50, 16, 43, 23087, 0.058461
224, 50, 16, 43, 23087, 0.059896
224, 50, 16, 43, 23087, 0.057313
224, 50, 16, 43, 23087, 0.059247
224, 50, 16, 43, 23087, 0.062477
224, 50, 16, 43, 23087, 0.061221
-------------------------------------------
224, 50, 16, 47, 23087, 0.063283
224, 50, 16, 47, 23087, 0.059420
224, 50, 16, 47, 23087, 0.058840
224, 50, 16, 47, 23087, 0.056696
224, 50, 16, 47, 23087, 0.058350
224, 50, 16, 47, 23087, 0.060290
224, 50, 16, 47, 23087, 0.058504
224, 50, 16, 47, 23087, 0.059141
224, 50, 16, 47, 23087, 0.059159
224, 50, 16, 47, 23087, 0.059420
-------------------------------------------
224, 50, 16, 50, 23087, 0.058828
224, 50, 16, 50, 23087, 0.057549
224, 50, 16, 50, 23087, 0.057797
224, 50, 16, 50, 23087, 0.056947
224, 50, 16, 50, 23087, 0.062122
224, 50, 16, 50, 23087, 0.057878
224, 50, 16, 50, 23087, 0.056841
224, 50, 16, 50, 23087, 0.061506
224, 50, 16, 50, 23087, 0.057921
224, 50, 16, 50, 23087, 0.062271
-------------------------------------------
