sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 23087, 0.052961
224, 50, 16, 16, 23087, 0.054731
224, 50, 16, 16, 23087, 0.056465
224, 50, 16, 16, 23087, 0.057130
224, 50, 16, 16, 23087, 0.051883
224, 50, 16, 16, 23087, 0.053374
224, 50, 16, 16, 23087, 0.051693
224, 50, 16, 16, 23087, 0.054465
224, 50, 16, 16, 23087, 0.055124
224, 50, 16, 16, 23087, 0.058131
-------------------------------------------
224, 50, 16, 23, 23087, 0.052769
224, 50, 16, 23, 23087, 0.051571
224, 50, 16, 23, 23087, 0.053508
224, 50, 16, 23, 23087, 0.060944
224, 50, 16, 23, 23087, 0.052249
224, 50, 16, 23, 23087, 0.051976
224, 50, 16, 23, 23087, 0.051891
224, 50, 16, 23, 23087, 0.053216
224, 50, 16, 23, 23087, 0.053695
224, 50, 16, 23, 23087, 0.058224
-------------------------------------------
224, 50, 16, 29, 23087, 0.055648
224, 50, 16, 29, 23087, 0.052629
224, 50, 16, 29, 23087, 0.051333
224, 50, 16, 29, 23087, 0.053314
224, 50, 16, 29, 23087, 0.051929
224, 50, 16, 29, 23087, 0.053514
224, 50, 16, 29, 23087, 0.057544
224, 50, 16, 29, 23087, 0.056988
224, 50, 16, 29, 23087, 0.052791
224, 50, 16, 29, 23087, 0.054546
-------------------------------------------
224, 50, 16, 34, 23087, 0.053023
224, 50, 16, 34, 23087, 0.054083
224, 50, 16, 34, 23087, 0.053691
224, 50, 16, 34, 23087, 0.050996
224, 50, 16, 34, 23087, 0.052688
224, 50, 16, 34, 23087, 0.053819
224, 50, 16, 34, 23087, 0.052854
224, 50, 16, 34, 23087, 0.053672
224, 50, 16, 34, 23087, 0.055481
224, 50, 16, 34, 23087, 0.055933
-------------------------------------------
224, 50, 16, 43, 23087, 0.055377
224, 50, 16, 43, 23087, 0.055389
224, 50, 16, 43, 23087, 0.055530
224, 50, 16, 43, 23087, 0.053091
224, 50, 16, 43, 23087, 0.053730
224, 50, 16, 43, 23087, 0.052758
224, 50, 16, 43, 23087, 0.055674
224, 50, 16, 43, 23087, 0.054011
224, 50, 16, 43, 23087, 0.052474
224, 50, 16, 43, 23087, 0.051458
-------------------------------------------
224, 50, 16, 47, 23087, 0.054036
224, 50, 16, 47, 23087, 0.054126
224, 50, 16, 47, 23087, 0.053372
224, 50, 16, 47, 23087, 0.052207
224, 50, 16, 47, 23087, 0.052927
224, 50, 16, 47, 23087, 0.053903
224, 50, 16, 47, 23087, 0.053508
224, 50, 16, 47, 23087, 0.051841
224, 50, 16, 47, 23087, 0.051902
224, 50, 16, 47, 23087, 0.052495
-------------------------------------------
224, 50, 16, 50, 23087, 0.052630
224, 50, 16, 50, 23087, 0.051925
224, 50, 16, 50, 23087, 0.052890
224, 50, 16, 50, 23087, 0.052129
224, 50, 16, 50, 23087, 0.053308
224, 50, 16, 50, 23087, 0.059365
224, 50, 16, 50, 23087, 0.051283
224, 50, 16, 50, 23087, 0.054828
224, 50, 16, 50, 23087, 0.053329
224, 50, 16, 50, 23087, 0.052841
-------------------------------------------
