sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 18915, 0.189406
224, 50, 16, 16, 18915, 0.189265
224, 50, 16, 16, 18915, 0.186252
224, 50, 16, 16, 18915, 0.188219
224, 50, 16, 16, 18915, 0.192562
224, 50, 16, 16, 18915, 0.191332
224, 50, 16, 16, 18915, 0.186864
224, 50, 16, 16, 18914, 0.194091
224, 50, 16, 16, 18914, 0.186100
224, 50, 16, 16, 18915, 0.189497
-------------------------------------------
224, 50, 16, 23, 18915, 0.184392
224, 50, 16, 23, 18915, 0.185340
224, 50, 16, 23, 18915, 0.181420
224, 50, 16, 23, 18915, 0.186756
224, 50, 16, 23, 18915, 0.187027
224, 50, 16, 23, 18915, 0.186819
224, 50, 16, 23, 18914, 0.188674
224, 50, 16, 23, 18915, 0.183217
224, 50, 16, 23, 18915, 0.184693
224, 50, 16, 23, 18915, 0.186320
-------------------------------------------
224, 50, 16, 29, 18914, 0.183199
224, 50, 16, 29, 18915, 0.187435
224, 50, 16, 29, 18915, 0.187117
224, 50, 16, 29, 18915, 0.186674
224, 50, 16, 29, 18914, 0.184262
224, 50, 16, 29, 18913, 0.188877
224, 50, 16, 29, 18915, 0.192924
224, 50, 16, 29, 18915, 0.186478
224, 50, 16, 29, 18915, 0.190150
224, 50, 16, 29, 18915, 0.181302
-------------------------------------------
224, 50, 16, 34, 18914, 0.310339
224, 50, 16, 34, 18915, 0.306090
224, 50, 16, 34, 18915, 0.303018
224, 50, 16, 34, 18915, 0.307964
224, 50, 16, 34, 18915, 0.308830
224, 50, 16, 34, 18914, 0.305374
224, 50, 16, 34, 18914, 0.304013
224, 50, 16, 34, 18914, 0.304918
224, 50, 16, 34, 18915, 0.300209
224, 50, 16, 34, 18915, 0.306438
-------------------------------------------
224, 50, 16, 43, 18915, 1.343799
224, 50, 16, 43, 18914, 1.281185
224, 50, 16, 43, 18914, 1.270704
224, 50, 16, 43, 18915, 1.277445
224, 50, 16, 43, 18915, 1.276298
224, 50, 16, 43, 18915, 1.265417
224, 50, 16, 43, 18915, 1.274313
224, 50, 16, 43, 18915, 1.275617
224, 50, 16, 43, 18915, 1.269403
224, 50, 16, 43, 18915, 1.270920
-------------------------------------------
224, 50, 16, 47, 18914, 1.641938
224, 50, 16, 47, 18914, 1.639033
224, 50, 16, 47, 18914, 1.645040
224, 50, 16, 47, 18915, 1.632792
224, 50, 16, 47, 18915, 1.632881
224, 50, 16, 47, 18915, 1.641763
224, 50, 16, 47, 18915, 1.633920
224, 50, 16, 47, 18914, 1.642535
224, 50, 16, 47, 18913, 1.629668
224, 50, 16, 47, 18914, 1.842664
-------------------------------------------
224, 50, 16, 50, 18915, 1.885511
224, 50, 16, 50, 18915, 1.904323
224, 50, 16, 50, 18915, 1.885256
224, 50, 16, 50, 18915, 1.893570
224, 50, 16, 50, 18915, 1.882235
224, 50, 16, 50, 18915, 1.895551
224, 50, 16, 50, 18915, 1.970198
224, 50, 16, 50, 18915, 1.940569
224, 50, 16, 50, 18915, 1.899864
224, 50, 16, 50, 18915, 1.882092
-------------------------------------------
