sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 16, 16, 18915, 0.200585
224, 50, 16, 16, 18915, 0.190538
224, 50, 16, 16, 18915, 0.191093
224, 50, 16, 16, 18915, 0.182810
224, 50, 16, 16, 18915, 0.192259
224, 50, 16, 16, 18915, 0.190294
224, 50, 16, 16, 18915, 0.187970
224, 50, 16, 16, 18915, 0.184902
224, 50, 16, 16, 18915, 0.184175
224, 50, 16, 16, 18915, 0.188048
-------------------------------------------
224, 50, 16, 23, 18915, 0.188880
224, 50, 16, 23, 18915, 0.183172
224, 50, 16, 23, 18915, 0.185129
224, 50, 16, 23, 18914, 0.186841
224, 50, 16, 23, 18915, 0.184380
224, 50, 16, 23, 18915, 0.192044
224, 50, 16, 23, 18915, 0.181181
224, 50, 16, 23, 18915, 0.185691
224, 50, 16, 23, 18915, 0.188214
224, 50, 16, 23, 18915, 0.185131
-------------------------------------------
224, 50, 16, 29, 18915, 0.190000
224, 50, 16, 29, 18915, 0.183789
224, 50, 16, 29, 18915, 0.186907
224, 50, 16, 29, 18915, 0.180217
224, 50, 16, 29, 18915, 0.184009
224, 50, 16, 29, 18914, 0.180862
224, 50, 16, 29, 18915, 0.195780
224, 50, 16, 29, 18915, 0.182920
224, 50, 16, 29, 18915, 0.185621
224, 50, 16, 29, 18915, 0.188556
-------------------------------------------
224, 50, 16, 34, 18915, 0.304482
224, 50, 16, 34, 18915, 0.303118
224, 50, 16, 34, 18915, 0.313223
224, 50, 16, 34, 18915, 0.307944
224, 50, 16, 34, 18915, 0.303927
224, 50, 16, 34, 18914, 0.310541
224, 50, 16, 34, 18915, 0.300819
224, 50, 16, 34, 18915, 0.316033
224, 50, 16, 34, 18915, 0.305763
224, 50, 16, 34, 18915, 0.304736
-------------------------------------------
224, 50, 16, 43, 18914, 1.368613
224, 50, 16, 43, 18915, 1.283277
224, 50, 16, 43, 18915, 1.288811
224, 50, 16, 43, 18914, 1.284747
224, 50, 16, 43, 18915, 1.286386
224, 50, 16, 43, 18915, 1.279665
224, 50, 16, 43, 18915, 1.374406
224, 50, 16, 43, 18915, 1.294275
224, 50, 16, 43, 18913, 1.294408
224, 50, 16, 43, 18915, 1.321591
-------------------------------------------
224, 50, 16, 47, 18915, 1.648516
224, 50, 16, 47, 18915, 1.683928
224, 50, 16, 47, 18915, 1.749917
224, 50, 16, 47, 18915, 1.647561
224, 50, 16, 47, 18914, 1.657827
224, 50, 16, 47, 18915, 1.681205
224, 50, 16, 47, 18915, 1.655869
224, 50, 16, 47, 18915, 1.646369
224, 50, 16, 47, 18914, 1.760049
224, 50, 16, 47, 18914, 1.646911
-------------------------------------------
224, 50, 16, 50, 18914, 1.914746
224, 50, 16, 50, 18914, 1.898330
224, 50, 16, 50, 18915, 1.900931
224, 50, 16, 50, 18915, 1.924339
224, 50, 16, 50, 18915, 1.943059
224, 50, 16, 50, 18915, 1.903661
224, 50, 16, 50, 18915, 1.922806
224, 50, 16, 50, 18915, 1.894504
224, 50, 16, 50, 18915, 1.918238
224, 50, 16, 50, 18915, 1.897686
-------------------------------------------
