sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4847, 0.006069
224, 15, 5, 14, 7127, 0.007917
224, 20, 6, 18, 9407, 0.009796
224, 25, 8, 23, 11687, 0.011330
224, 30, 10, 28, 13967, 0.013174
224, 35, 11, 32, 16247, 0.015008
224, 40, 13, 35, 18527, 0.016793
224, 45, 15, 40, 20807, 0.018580
224, 50, 16, 44, 23087, 0.020172
224, 55, 18, 47, 25367, 0.021958
224, 60, 20, 50, 27647, 0.023660
224, 65, 21, 52, 29927, 0.025505
224, 70, 23, 55, 32207, 0.027287
224, 75, 25, 60, 34487, 0.028885
224, 80, 26, 63, 36767, 0.030536
224, 85, 28, 68, 39047, 0.032354
224, 90, 30, 72, 41327, 0.034379
224, 95, 31, 76, 43607, 0.036013
224, 100, 33, 81, 45887, 0.037543
