sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4847, 0.024098
224, 10, 3, 9, 4847, 0.018921
224, 10, 3, 9, 4847, 0.020045
224, 10, 3, 9, 4847, 0.019586
224, 10, 3, 9, 4847, 0.019060
224, 10, 3, 9, 4847, 0.019947
224, 10, 3, 9, 4847, 0.019467
224, 10, 3, 9, 4847, 0.018880
224, 10, 3, 9, 4847, 0.020032
224, 10, 3, 9, 4847, 0.019581
-------------------------------------------
224, 15, 5, 14, 7127, 0.025125
224, 15, 5, 14, 7127, 0.023070
224, 15, 5, 14, 7127, 0.023974
224, 15, 5, 14, 7127, 0.023399
224, 15, 5, 14, 7127, 0.025529
224, 15, 5, 14, 7127, 0.023109
224, 15, 5, 14, 7127, 0.025171
224, 15, 5, 14, 7127, 0.022769
224, 15, 5, 14, 7127, 0.024003
224, 15, 5, 14, 7127, 0.024085
-------------------------------------------
224, 20, 6, 18, 9407, 0.026587
224, 20, 6, 18, 9407, 0.028749
224, 20, 6, 18, 9407, 0.031940
224, 20, 6, 18, 9407, 0.027850
224, 20, 6, 18, 9407, 0.030011
224, 20, 6, 18, 9407, 0.028452
224, 20, 6, 18, 9407, 0.028469
224, 20, 6, 18, 9407, 0.027966
224, 20, 6, 18, 9407, 0.027418
224, 20, 6, 18, 9407, 0.027415
-------------------------------------------
224, 25, 8, 23, 11687, 0.031469
224, 25, 8, 23, 11687, 0.031735
224, 25, 8, 23, 11687, 0.038768
224, 25, 8, 23, 11687, 0.034445
224, 25, 8, 23, 11687, 0.032662
224, 25, 8, 23, 11687, 0.031218
224, 25, 8, 23, 11687, 0.032127
224, 25, 8, 23, 11687, 0.031782
224, 25, 8, 23, 11687, 0.035687
224, 25, 8, 23, 11687, 0.032472
-------------------------------------------
224, 30, 10, 28, 13967, 0.036058
224, 30, 10, 28, 13967, 0.041778
224, 30, 10, 28, 13967, 0.037626
224, 30, 10, 28, 13967, 0.036237
224, 30, 10, 28, 13967, 0.038181
224, 30, 10, 28, 13967, 0.038769
224, 30, 10, 28, 13967, 0.037101
224, 30, 10, 28, 13967, 0.038937
224, 30, 10, 28, 13967, 0.036045
224, 30, 10, 28, 13967, 0.036980
-------------------------------------------
224, 35, 11, 32, 16247, 0.044770
224, 35, 11, 32, 16247, 0.044779
224, 35, 11, 32, 16247, 0.045213
224, 35, 11, 32, 16247, 0.045661
224, 35, 11, 32, 16247, 0.043164
224, 35, 11, 32, 16247, 0.041739
224, 35, 11, 32, 16247, 0.041551
224, 35, 11, 32, 16247, 0.040788
224, 35, 11, 32, 16247, 0.043015
224, 35, 11, 32, 16247, 0.043834
-------------------------------------------
224, 40, 13, 35, 18527, 0.048071
224, 40, 13, 35, 18527, 0.048686
224, 40, 13, 35, 18527, 0.049196
224, 40, 13, 35, 18527, 0.071421
224, 40, 13, 35, 18527, 0.048509
224, 40, 13, 35, 18527, 0.050470
224, 40, 13, 35, 18527, 0.050309
224, 40, 13, 35, 18527, 0.049292
224, 40, 13, 35, 18527, 0.047588
224, 40, 13, 35, 18527, 0.052604
-------------------------------------------
224, 45, 15, 40, 20807, 0.052469
224, 45, 15, 40, 20807, 0.061902
224, 45, 15, 40, 20807, 0.076451
224, 45, 15, 40, 20807, 0.053901
224, 45, 15, 40, 20807, 0.053976
224, 45, 15, 40, 20807, 0.053077
224, 45, 15, 40, 20807, 0.055531
224, 45, 15, 40, 20807, 0.052596
224, 45, 15, 40, 20807, 0.060172
224, 45, 15, 40, 20807, 0.056837
-------------------------------------------
224, 50, 16, 44, 23087, 0.078920
224, 50, 16, 44, 23087, 0.057535
