sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4847, 0.005895
224, 15, 5, 14, 7127, 0.007469
224, 20, 6, 18, 9407, 0.009208
224, 25, 8, 23, 11687, 0.010978
224, 30, 10, 28, 13967, 0.012675
224, 35, 11, 32, 16247, 0.014382
224, 40, 13, 35, 18527, 0.016052
224, 45, 15, 40, 20807, 0.017461
224, 50, 16, 44, 23087, 0.019141
224, 55, 18, 47, 25367, 0.020700
224, 60, 20, 50, 27647, 0.022565
224, 65, 21, 52, 29927, 0.024030
224, 70, 23, 55, 32207, 0.025594
224, 75, 25, 60, 34487, 0.027282
224, 80, 26, 63, 36767, 0.028988
224, 85, 28, 68, 39047, 0.030434
224, 90, 30, 72, 41327, 0.032214
224, 95, 31, 76, 43607, 0.033851
224, 100, 33, 81, 45887, 0.035528
