sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4847, 0.018176
224, 10, 3, 9, 4847, 0.019592
224, 10, 3, 9, 4847, 0.018888
224, 10, 3, 9, 4847, 0.018519
224, 10, 3, 9, 4847, 0.019434
224, 10, 3, 9, 4847, 0.019387
224, 10, 3, 9, 4847, 0.018630
224, 10, 3, 9, 4847, 0.019505
224, 10, 3, 9, 4847, 0.017818
224, 10, 3, 9, 4847, 0.019042
-------------------------------------------
224, 15, 5, 14, 7127, 0.023855
224, 15, 5, 14, 7127, 0.022948
224, 15, 5, 14, 7127, 0.021539
224, 15, 5, 14, 7127, 0.023404
224, 15, 5, 14, 7127, 0.022549
224, 15, 5, 14, 7127, 0.023476
224, 15, 5, 14, 7127, 0.029279
224, 15, 5, 14, 7127, 0.023734
224, 15, 5, 14, 7127, 0.023998
224, 15, 5, 14, 7127, 0.023987
-------------------------------------------
224, 20, 6, 18, 9407, 0.026731
224, 20, 6, 18, 9407, 0.027058
224, 20, 6, 18, 9407, 0.028564
224, 20, 6, 18, 9407, 0.029135
224, 20, 6, 18, 9407, 0.027115
224, 20, 6, 18, 9407, 0.028497
224, 20, 6, 18, 9407, 0.026030
224, 20, 6, 18, 9407, 0.027473
224, 20, 6, 18, 9407, 0.082837
224, 20, 6, 18, 9407, 0.034479
-------------------------------------------
224, 25, 8, 23, 11687, 0.034259
224, 25, 8, 23, 11687, 0.031991
224, 25, 8, 23, 11687, 0.029983
224, 25, 8, 23, 11687, 0.031058
224, 25, 8, 23, 11687, 0.030051
224, 25, 8, 23, 11687, 0.034359
224, 25, 8, 23, 11687, 0.032295
224, 25, 8, 23, 11687, 0.030476
224, 25, 8, 23, 11687, 0.033555
224, 25, 8, 23, 11687, 0.030615
-------------------------------------------
224, 30, 10, 28, 13967, 0.033806
224, 30, 10, 28, 13967, 0.033985
224, 30, 10, 28, 13967, 0.036497
224, 30, 10, 28, 13967, 0.036235
224, 30, 10, 28, 13967, 0.036706
224, 30, 10, 28, 13967, 0.035677
224, 30, 10, 28, 13967, 0.033944
224, 30, 10, 28, 13967, 0.036239
224, 30, 10, 28, 13967, 0.035652
224, 30, 10, 28, 13967, 0.034596
-------------------------------------------
224, 35, 11, 32, 16247, 0.040848
224, 35, 11, 32, 16247, 0.039839
224, 35, 11, 32, 16247, 0.038217
224, 35, 11, 32, 16247, 0.044277
224, 35, 11, 32, 16247, 0.045893
224, 35, 11, 32, 16247, 0.040018
224, 35, 11, 32, 16247, 0.047955
224, 35, 11, 32, 16247, 0.056912
224, 35, 11, 32, 16247, 0.042873
224, 35, 11, 32, 16247, 0.043878
-------------------------------------------
224, 40, 13, 35, 18527, 0.046372
224, 40, 13, 35, 18527, 0.045560
224, 40, 13, 35, 18527, 0.044693
224, 40, 13, 35, 18527, 0.046751
224, 40, 13, 35, 18527, 0.044068
224, 40, 13, 35, 18527, 0.057065
224, 40, 13, 35, 18527, 0.043630
224, 40, 13, 35, 18527, 0.044438
224, 40, 13, 35, 18527, 0.047763
224, 40, 13, 35, 18527, 0.047284
-------------------------------------------
224, 45, 15, 40, 20807, 0.050316
224, 45, 15, 40, 20807, 0.051412
224, 45, 15, 40, 20807, 0.047389
224, 45, 15, 40, 20807, 0.049560
224, 45, 15, 40, 20807, 0.049156
224, 45, 15, 40, 20807, 0.048918
224, 45, 15, 40, 20807, 0.048940
224, 45, 15, 40, 20807, 0.050506
224, 45, 15, 40, 20807, 0.050423
224, 45, 15, 40, 20807, 0.049689
-------------------------------------------
224, 50, 16, 44, 23087, 0.061958
224, 50, 16, 44, 23087, 0.051683
224, 50, 16, 44, 23087, 0.052275
224, 50, 16, 44, 23087, 0.102401
224, 50, 16, 44, 23087, 0.052445
224, 50, 16, 44, 23087, 0.056287
224, 50, 16, 44, 23087, 0.052689
224, 50, 16, 44, 23087, 0.055272
224, 50, 16, 44, 23087, 0.053289
224, 50, 16, 44, 23087, 0.052259
-------------------------------------------
224, 55, 18, 47, 25367, 0.054983
224, 55, 18, 47, 25367, 0.054251
224, 55, 18, 47, 25367, 0.056676
224, 55, 18, 47, 25367, 0.060358
224, 55, 18, 47, 25367, 0.058024
224, 55, 18, 47, 25367, 0.060409
224, 55, 18, 47, 25367, 0.056059
224, 55, 18, 47, 25367, 0.057981
224, 55, 18, 47, 25367, 0.058985
224, 55, 18, 47, 25367, 0.054581
-------------------------------------------
224, 60, 20, 50, 27647, 0.059962
224, 60, 20, 50, 27647, 0.067607
224, 60, 20, 50, 27647, 0.065448
224, 60, 20, 50, 27647, 0.057118
224, 60, 20, 50, 27647, 0.064860
224, 60, 20, 50, 27647, 0.058631
224, 60, 20, 50, 27647, 0.061930
224, 60, 20, 50, 27647, 0.065647
224, 60, 20, 50, 27647, 0.059640
224, 60, 20, 50, 27647, 0.059862
-------------------------------------------
224, 65, 21, 52, 29927, 0.064821
224, 65, 21, 52, 29927, 0.063325
224, 65, 21, 52, 29927, 0.064541
224, 65, 21, 52, 29927, 0.064401
224, 65, 21, 52, 29927, 0.065852
224, 65, 21, 52, 29927, 0.064353
224, 65, 21, 52, 29927, 0.064030
224, 65, 21, 52, 29927, 0.063662
224, 65, 21, 52, 29927, 0.065431
224, 65, 21, 52, 29927, 0.065008
-------------------------------------------
224, 70, 23, 55, 32207, 0.068685
224, 70, 23, 55, 32207, 0.071096
224, 70, 23, 55, 32207, 0.074934
224, 70, 23, 55, 32207, 0.070417
224, 70, 23, 55, 32207, 0.071433
224, 70, 23, 55, 32207, 0.071333
224, 70, 23, 55, 32207, 0.074035
224, 70, 23, 55, 32207, 0.069920
224, 70, 23, 55, 32207, 0.073622
224, 70, 23, 55, 32207, 0.068445
-------------------------------------------
224, 75, 25, 60, 34487, 0.071814
224, 75, 25, 60, 34487, 0.085811
224, 75, 25, 60, 34487, 0.078126
224, 75, 25, 60, 34487, 0.073438
224, 75, 25, 60, 34487, 0.070177
224, 75, 25, 60, 34487, 0.072351
224, 75, 25, 60, 34487, 0.073220
224, 75, 25, 60, 34487, 0.073068
224, 75, 25, 60, 34487, 0.073993
224, 75, 25, 60, 34487, 0.074494
-------------------------------------------
224, 80, 26, 63, 36767, 0.081231
224, 80, 26, 63, 36767, 0.079342
224, 80, 26, 63, 36767, 0.079175
224, 80, 26, 63, 36767, 0.079881
224, 80, 26, 63, 36767, 0.079402
224, 80, 26, 63, 36767, 0.083407
224, 80, 26, 63, 36767, 0.075660
224, 80, 26, 63, 36767, 0.076146
224, 80, 26, 63, 36767, 0.078521
224, 80, 26, 63, 36767, 0.076435
-------------------------------------------
224, 85, 28, 68, 39047, 0.085415
224, 85, 28, 68, 39047, 0.078999
224, 85, 28, 68, 39047, 0.083175
224, 85, 28, 68, 39047, 0.086139
224, 85, 28, 68, 39047, 0.079765
224, 85, 28, 68, 39047, 0.079832
224, 85, 28, 68, 39047, 0.079778
224, 85, 28, 68, 39047, 0.082445
224, 85, 28, 68, 39047, 0.081047
224, 85, 28, 68, 39047, 0.079777
-------------------------------------------
224, 90, 30, 72, 41327, 0.083703
224, 90, 30, 72, 41327, 0.088470
224, 90, 30, 72, 41327, 0.085160
224, 90, 30, 72, 41327, 0.086004
224, 90, 30, 72, 41327, 0.084755
224, 90, 30, 72, 41327, 0.085592
224, 90, 30, 72, 41327, 0.084126
224, 90, 30, 72, 41327, 0.087369
224, 90, 30, 72, 41327, 0.086372
224, 90, 30, 72, 41327, 0.087464
-------------------------------------------
224, 95, 31, 76, 43607, 0.087539
224, 95, 31, 76, 43607, 0.108913
224, 95, 31, 76, 43607, 0.135362
224, 95, 31, 76, 43607, 0.090269
224, 95, 31, 76, 43607, 0.089993
224, 95, 31, 76, 43607, 0.088798
224, 95, 31, 76, 43607, 0.088098
224, 95, 31, 76, 43607, 0.091086
224, 95, 31, 76, 43607, 0.091091
224, 95, 31, 76, 43607, 0.091064
-------------------------------------------
224, 100, 33, 81, 45887, 0.095819
