sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4035, 0.009530
224, 15, 5, 14, 5894, 0.019068
224, 20, 6, 18, 7755, 0.034940
224, 25, 8, 23, 9615, 0.061365
224, 30, 10, 28, 11474, 0.111992
224, 35, 11, 32, 13334, 0.177037
224, 40, 13, 35, 15194, 0.228722
224, 45, 15, 40, 17054, 0.366581
224, 50, 16, 44, 18914, 0.520349
224, 55, 18, 47, 20774, 0.625867
224, 60, 20, 50, 22634, 0.789986
224, 65, 21, 52, 24494, 0.893714
224, 70, 23, 55, 26354, 0.991850
224, 75, 25, 60, 28215, 1.443084
224, 80, 26, 63, 30074, 1.714446
224, 85, 28, 68, 31934, 2.196684
224, 90, 30, 72, 33794, 2.764881
224, 95, 31, 76, 35654, 3.449700
224, 100, 33, 81, 37514, 4.237883
