sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4035, 0.030383
224, 10, 3, 9, 4035, 0.027653
224, 10, 3, 9, 4035, 0.027910
224, 10, 3, 9, 4035, 0.028624
224, 10, 3, 9, 4035, 0.031418
224, 10, 3, 9, 4035, 0.028624
224, 10, 3, 9, 4035, 0.029301
224, 10, 3, 9, 4035, 0.028072
224, 10, 3, 9, 4034, 0.029724
224, 10, 3, 9, 4035, 0.028609
-------------------------------------------
224, 15, 5, 14, 5894, 0.060097
224, 15, 5, 14, 5895, 0.067164
224, 15, 5, 14, 5895, 0.057886
224, 15, 5, 14, 5895, 0.056020
224, 15, 5, 14, 5895, 0.058664
224, 15, 5, 14, 5895, 0.057695
224, 15, 5, 14, 5895, 0.062130
224, 15, 5, 14, 5895, 0.058382
224, 15, 5, 14, 5895, 0.058449
224, 15, 5, 14, 5895, 0.059830
-------------------------------------------
224, 20, 6, 18, 7755, 0.110070
224, 20, 6, 18, 7755, 0.108088
224, 20, 6, 18, 7755, 0.101609
224, 20, 6, 18, 7755, 0.098793
224, 20, 6, 18, 7755, 0.107189
224, 20, 6, 18, 7755, 0.103031
224, 20, 6, 18, 7755, 0.104205
224, 20, 6, 18, 7755, 0.107205
224, 20, 6, 18, 7755, 0.100248
224, 20, 6, 18, 7755, 0.103737
-------------------------------------------
224, 25, 8, 23, 9615, 0.171590
224, 25, 8, 23, 9615, 0.166474
224, 25, 8, 23, 9615, 0.174316
224, 25, 8, 23, 9615, 0.170732
224, 25, 8, 23, 9615, 0.174099
224, 25, 8, 23, 9615, 0.175679
224, 25, 8, 23, 9615, 0.178335
224, 25, 8, 23, 9615, 0.178780
224, 25, 8, 23, 9615, 0.178090
224, 25, 8, 23, 9615, 0.181726
-------------------------------------------
224, 30, 10, 28, 11475, 0.309736
224, 30, 10, 28, 11475, 0.308804
224, 30, 10, 28, 11475, 0.321545
224, 30, 10, 28, 11475, 0.321624
224, 30, 10, 28, 11475, 0.305381
224, 30, 10, 28, 11475, 0.310913
224, 30, 10, 28, 11475, 0.312285
224, 30, 10, 28, 11475, 0.313293
224, 30, 10, 28, 11475, 0.309008
224, 30, 10, 28, 11475, 0.312789
-------------------------------------------
224, 35, 11, 32, 13334, 0.501774
224, 35, 11, 32, 13335, 0.487859
224, 35, 11, 32, 13335, 0.490907
224, 35, 11, 32, 13335, 0.520020
224, 35, 11, 32, 13335, 0.493910
224, 35, 11, 32, 13335, 0.490938
224, 35, 11, 32, 13335, 0.498904
224, 35, 11, 32, 13334, 0.485713
224, 35, 11, 32, 13335, 0.498357
224, 35, 11, 32, 13335, 0.515168
-------------------------------------------
224, 40, 13, 35, 15195, 0.621025
224, 40, 13, 35, 15195, 0.625931
224, 40, 13, 35, 15195, 0.622631
224, 40, 13, 35, 15195, 0.616949
224, 40, 13, 35, 15195, 0.617412
224, 40, 13, 35, 15195, 0.614959
224, 40, 13, 35, 15195, 0.617970
224, 40, 13, 35, 15195, 0.627135
224, 40, 13, 35, 15195, 0.612878
224, 40, 13, 35, 15195, 0.614211
-------------------------------------------
224, 45, 15, 40, 17054, 1.033640
224, 45, 15, 40, 17055, 0.964228
224, 45, 15, 40, 17055, 0.971152
224, 45, 15, 40, 17055, 1.005950
224, 45, 15, 40, 17055, 0.965384
224, 45, 15, 40, 17055, 0.985515
224, 45, 15, 40, 17055, 0.974144
224, 45, 15, 40, 17054, 0.971728
224, 45, 15, 40, 17055, 0.978457
224, 45, 15, 40, 17055, 0.974636
-------------------------------------------
224, 50, 16, 44, 18914, 1.368308
224, 50, 16, 44, 18915, 1.370985
224, 50, 16, 44, 18915, 1.373914
224, 50, 16, 44, 18915, 1.764458
