sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4034, 0.009214
224, 15, 5, 14, 5894, 0.018912
224, 20, 6, 18, 7755, 0.035232
224, 25, 8, 23, 9614, 0.061151
224, 30, 10, 28, 11474, 0.111710
224, 35, 11, 32, 13334, 0.177313
224, 40, 13, 35, 15194, 0.229000
224, 45, 15, 40, 17055, 0.365902
224, 50, 16, 44, 18915, 0.523794
224, 55, 18, 47, 20774, 0.632758
224, 60, 20, 50, 22634, 0.805687
224, 65, 21, 52, 24494, 0.912908
224, 70, 23, 55, 26354, 1.014305
224, 75, 25, 60, 28214, 1.471014
224, 80, 26, 63, 30074, 1.755208
224, 85, 28, 68, 31934, 2.247408
224, 90, 30, 72, 33794, 2.829305
224, 95, 31, 76, 35654, 3.527203
224, 100, 33, 81, 37514, 4.338400
