sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 3, 9, 4035, 0.056209
224, 10, 3, 9, 4035, 0.028621
224, 10, 3, 9, 4035, 0.030262
224, 10, 3, 9, 4035, 0.028388
224, 10, 3, 9, 4035, 0.031484
224, 10, 3, 9, 4035, 0.026572
224, 10, 3, 9, 4035, 0.028055
224, 10, 3, 9, 4035, 0.031320
224, 10, 3, 9, 4035, 0.028053
224, 10, 3, 9, 4035, 0.029868
-------------------------------------------
224, 15, 5, 14, 5895, 0.064962
224, 15, 5, 14, 5895, 0.060657
224, 15, 5, 14, 5895, 0.063849
224, 15, 5, 14, 5895, 0.057787
224, 15, 5, 14, 5895, 0.057682
224, 15, 5, 14, 5895, 0.058498
224, 15, 5, 14, 5895, 0.059967
224, 15, 5, 14, 5895, 0.053762
224, 15, 5, 14, 5895, 0.056950
224, 15, 5, 14, 5895, 0.062745
-------------------------------------------
224, 20, 6, 18, 7755, 0.121823
224, 20, 6, 18, 7755, 0.099368
224, 20, 6, 18, 7755, 0.099982
224, 20, 6, 18, 7755, 0.102334
224, 20, 6, 18, 7755, 0.096634
224, 20, 6, 18, 7755, 0.106724
224, 20, 6, 18, 7755, 0.099923
224, 20, 6, 18, 7755, 0.098534
224, 20, 6, 18, 7755, 0.104602
224, 20, 6, 18, 7755, 0.107151
-------------------------------------------
224, 25, 8, 23, 9615, 0.170840
224, 25, 8, 23, 9615, 0.175710
224, 25, 8, 23, 9615, 0.174014
224, 25, 8, 23, 9615, 0.173052
224, 25, 8, 23, 9614, 0.171990
224, 25, 8, 23, 9615, 0.172866
224, 25, 8, 23, 9615, 0.167839
224, 25, 8, 23, 9615, 0.170154
224, 25, 8, 23, 9615, 0.179187
224, 25, 8, 23, 9615, 0.197910
-------------------------------------------
224, 30, 10, 28, 11475, 0.308280
224, 30, 10, 28, 11475, 0.317733
224, 30, 10, 28, 11475, 0.316397
224, 30, 10, 28, 11475, 0.339759
224, 30, 10, 28, 11475, 0.314657
224, 30, 10, 28, 11475, 0.320145
224, 30, 10, 28, 11475, 0.393410
224, 30, 10, 28, 11475, 0.314434
224, 30, 10, 28, 11475, 0.313287
224, 30, 10, 28, 11475, 0.307040
-------------------------------------------
224, 35, 11, 32, 13335, 0.553513
224, 35, 11, 32, 13335, 0.496594
224, 35, 11, 32, 13335, 0.815544
224, 35, 11, 32, 13335, 0.553175
224, 35, 11, 32, 13335, 0.502453
224, 35, 11, 32, 13335, 0.489787
224, 35, 11, 32, 13335, 0.491474
224, 35, 11, 32, 13335, 0.484393
224, 35, 11, 32, 13333, 0.502032
224, 35, 11, 32, 13335, 0.485357
-------------------------------------------
224, 40, 13, 35, 15195, 0.611865
224, 40, 13, 35, 15195, 0.615424
224, 40, 13, 35, 15195, 0.613618
224, 40, 13, 35, 15195, 0.620009
224, 40, 13, 35, 15195, 0.625347
224, 40, 13, 35, 15195, 0.632573
224, 40, 13, 35, 15194, 0.618264
224, 40, 13, 35, 15195, 0.630055
224, 40, 13, 35, 15195, 0.620471
224, 40, 13, 35, 15195, 0.657589
-------------------------------------------
224, 45, 15, 40, 17055, 1.004650
224, 45, 15, 40, 17054, 0.971952
224, 45, 15, 40, 17055, 0.983642
224, 45, 15, 40, 17054, 1.086056
224, 45, 15, 40, 17055, 0.971489
224, 45, 15, 40, 17054, 0.976296
224, 45, 15, 40, 17054, 0.980286
224, 45, 15, 40, 17055, 1.089748
224, 45, 15, 40, 17054, 0.970173
224, 45, 15, 40, 17055, 0.976258
-------------------------------------------
224, 50, 16, 44, 18915, 1.379700
224, 50, 16, 44, 18915, 1.398451
224, 50, 16, 44, 18915, 1.367290
224, 50, 16, 44, 18914, 1.390717
224, 50, 16, 44, 18915, 1.387193
224, 50, 16, 44, 18914, 1.371257
224, 50, 16, 44, 18915, 1.374600
224, 50, 16, 44, 18915, 1.395811
224, 50, 16, 44, 18914, 1.371731
224, 50, 16, 44, 18915, 1.387492
-------------------------------------------
224, 55, 18, 47, 20775, 1.644780
224, 55, 18, 47, 20775, 1.641319
224, 55, 18, 47, 20775, 1.632944
224, 55, 18, 47, 20775, 1.646913
224, 55, 18, 47, 20775, 1.639913
224, 55, 18, 47, 20775, 1.636604
224, 55, 18, 47, 20774, 1.642519
224, 55, 18, 47, 20775, 1.777426
224, 55, 18, 47, 20775, 1.629193
