sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 1, 7, 4847, 0.018835
224, 10, 1, 7, 4847, 0.018409
224, 10, 1, 7, 4847, 0.018683
224, 10, 1, 7, 4847, 0.018618
224, 10, 1, 7, 4847, 0.018982
224, 10, 1, 7, 4847, 0.019109
224, 10, 1, 7, 4847, 0.018810
224, 10, 1, 7, 4847, 0.017650
224, 10, 1, 7, 4847, 0.018117
224, 10, 1, 7, 4847, 0.019849
-------------------------------------------
224, 10, 2, 7, 4847, 0.018844
224, 10, 2, 7, 4847, 0.017701
224, 10, 2, 7, 4847, 0.018482
224, 10, 2, 7, 4847, 0.018028
224, 10, 2, 7, 4847, 0.018709
224, 10, 2, 7, 4847, 0.018804
224, 10, 2, 7, 4847, 0.019033
224, 10, 2, 7, 4847, 0.018304
224, 10, 2, 7, 4847, 0.019232
224, 10, 2, 7, 4847, 0.018356
-------------------------------------------
224, 10, 3, 7, 4847, 0.018959
224, 10, 3, 7, 4847, 0.018272
224, 10, 3, 7, 4847, 0.018228
224, 10, 3, 7, 4847, 0.018724
224, 10, 3, 7, 4847, 0.018848
224, 10, 3, 7, 4847, 0.019030
224, 10, 3, 7, 4847, 0.018600
224, 10, 3, 7, 4847, 0.018249
224, 10, 3, 7, 4847, 0.019254
224, 10, 3, 7, 4847, 0.018167
-------------------------------------------
224, 10, 4, 7, 4847, 0.019163
224, 10, 4, 7, 4847, 0.019062
224, 10, 4, 7, 4847, 0.018108
224, 10, 4, 7, 4847, 0.018011
224, 10, 4, 7, 4847, 0.019126
224, 10, 4, 7, 4847, 0.017798
224, 10, 4, 7, 4847, 0.018248
224, 10, 4, 7, 4847, 0.018683
224, 10, 4, 7, 4847, 0.018134
224, 10, 4, 7, 4847, 0.018388
-------------------------------------------
224, 10, 5, 7, 4847, 0.017874
224, 10, 5, 7, 4847, 0.018673
224, 10, 5, 7, 4847, 0.017779
224, 10, 5, 7, 4847, 0.018253
224, 10, 5, 7, 4847, 0.019902
224, 10, 5, 7, 4847, 0.019319
224, 10, 5, 7, 4847, 0.019217
224, 10, 5, 7, 4847, 0.019196
224, 10, 5, 7, 4847, 0.018531
224, 10, 5, 7, 4847, 0.018681
-------------------------------------------
224, 10, 6, 7, 4847, 0.018546
224, 10, 6, 7, 4847, 0.019801
224, 10, 6, 7, 4847, 0.018753
224, 10, 6, 7, 4847, 0.018680
224, 10, 6, 7, 4847, 0.018420
224, 10, 6, 7, 4847, 0.019151
224, 10, 6, 7, 4847, 0.018494
224, 10, 6, 7, 4847, 0.018837
224, 10, 6, 7, 4847, 0.018328
224, 10, 6, 7, 4847, 0.018779
-------------------------------------------
224, 10, 7, 7, 4847, 0.019627
224, 10, 7, 7, 4847, 0.018383
224, 10, 7, 7, 4847, 0.023230
224, 10, 7, 7, 4847, 0.019107
224, 10, 7, 7, 4847, 0.018550
224, 10, 7, 7, 4847, 0.018401
224, 10, 7, 7, 4847, 0.018368
224, 10, 7, 7, 4847, 0.018390
224, 10, 7, 7, 4847, 0.018521
224, 10, 7, 7, 4847, 0.018657
-------------------------------------------
224, 10, 8, 7, 4847, 0.018233
224, 10, 8, 7, 4847, 0.017903
224, 10, 8, 7, 4847, 0.018578
224, 10, 8, 7, 4847, 0.018034
224, 10, 8, 7, 4847, 0.018580
224, 10, 8, 7, 4847, 0.018813
224, 10, 8, 7, 4847, 0.022141
224, 10, 8, 7, 4847, 0.018881
224, 10, 8, 7, 4847, 0.018150
224, 10, 8, 7, 4847, 0.018905
-------------------------------------------
224, 10, 9, 7, 4847, 0.019892
224, 10, 9, 7, 4847, 0.018836
224, 10, 9, 7, 4847, 0.017942
224, 10, 9, 7, 4847, 0.018399
224, 10, 9, 7, 4847, 0.020383
224, 10, 9, 7, 4847, 0.018252
224, 10, 9, 7, 4847, 0.017760
224, 10, 9, 7, 4847, 0.018720
224, 10, 9, 7, 4847, 0.018423
224, 10, 9, 7, 4847, 0.018367
-------------------------------------------
