sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 1, 7, 4847, 0.019892
224, 10, 1, 7, 4847, 0.018135
224, 10, 1, 7, 4847, 0.017712
224, 10, 1, 7, 4847, 0.019656
224, 10, 1, 7, 4847, 0.018523
224, 10, 1, 7, 4847, 0.017850
224, 10, 1, 7, 4847, 0.019369
224, 10, 1, 7, 4847, 0.017874
224, 10, 1, 7, 4847, 0.027530
224, 10, 1, 7, 4847, 0.020488
-------------------------------------------
224, 10, 2, 7, 4847, 0.018135
224, 10, 2, 7, 4847, 0.017611
224, 10, 2, 7, 4847, 0.018744
224, 10, 2, 7, 4847, 0.017706
224, 10, 2, 7, 4847, 0.018752
224, 10, 2, 7, 4847, 0.018614
224, 10, 2, 7, 4847, 0.017629
224, 10, 2, 7, 4847, 0.018960
224, 10, 2, 7, 4847, 0.019572
224, 10, 2, 7, 4847, 0.017562
-------------------------------------------
224, 10, 3, 7, 4847, 0.018797
224, 10, 3, 7, 4847, 0.018772
224, 10, 3, 7, 4847, 0.017760
224, 10, 3, 7, 4847, 0.019272
224, 10, 3, 7, 4847, 0.018183
224, 10, 3, 7, 4847, 0.017540
224, 10, 3, 7, 4847, 0.017928
224, 10, 3, 7, 4847, 0.018144
224, 10, 3, 7, 4847, 0.017603
224, 10, 3, 7, 4847, 0.019129
-------------------------------------------
224, 10, 4, 7, 4847, 0.017786
224, 10, 4, 7, 4847, 0.018814
224, 10, 4, 7, 4847, 0.017953
224, 10, 4, 7, 4847, 0.018532
224, 10, 4, 7, 4847, 0.018166
224, 10, 4, 7, 4847, 0.019086
224, 10, 4, 7, 4847, 0.017691
224, 10, 4, 7, 4847, 0.018243
224, 10, 4, 7, 4847, 0.018034
224, 10, 4, 7, 4847, 0.018206
-------------------------------------------
224, 10, 5, 7, 4847, 0.018272
224, 10, 5, 7, 4847, 0.019266
224, 10, 5, 7, 4847, 0.017680
224, 10, 5, 7, 4847, 0.019110
224, 10, 5, 7, 4847, 0.018596
224, 10, 5, 7, 4847, 0.018687
224, 10, 5, 7, 4847, 0.018682
224, 10, 5, 7, 4847, 0.018517
224, 10, 5, 7, 4847, 0.018579
224, 10, 5, 7, 4847, 0.017834
-------------------------------------------
224, 10, 6, 7, 4847, 0.018027
224, 10, 6, 7, 4847, 0.018104
224, 10, 6, 7, 4847, 0.017764
224, 10, 6, 7, 4847, 0.018888
224, 10, 6, 7, 4847, 0.017849
224, 10, 6, 7, 4847, 0.017641
224, 10, 6, 7, 4847, 0.019944
224, 10, 6, 7, 4847, 0.019050
224, 10, 6, 7, 4847, 0.018771
224, 10, 6, 7, 4847, 0.018312
-------------------------------------------
224, 10, 7, 7, 4847, 0.019043
224, 10, 7, 7, 4847, 0.018409
224, 10, 7, 7, 4847, 0.018720
224, 10, 7, 7, 4847, 0.020382
224, 10, 7, 7, 4847, 0.018269
224, 10, 7, 7, 4847, 0.018571
224, 10, 7, 7, 4847, 0.017712
224, 10, 7, 7, 4847, 0.018315
224, 10, 7, 7, 4847, 0.018685
224, 10, 7, 7, 4847, 0.018798
-------------------------------------------
224, 10, 8, 7, 4847, 0.017758
224, 10, 8, 7, 4847, 0.018172
224, 10, 8, 7, 4847, 0.017611
224, 10, 8, 7, 4847, 0.019083
224, 10, 8, 7, 4847, 0.018174
224, 10, 8, 7, 4847, 0.017660
224, 10, 8, 7, 4847, 0.018625
224, 10, 8, 7, 4847, 0.018107
224, 10, 8, 7, 4847, 0.018144
224, 10, 8, 7, 4847, 0.018326
-------------------------------------------
224, 10, 9, 7, 4847, 0.018168
224, 10, 9, 7, 4847, 0.018819
224, 10, 9, 7, 4847, 0.019908
224, 10, 9, 7, 4847, 0.018356
224, 10, 9, 7, 4847, 0.018657
224, 10, 9, 7, 4847, 0.020070
224, 10, 9, 7, 4847, 0.018847
224, 10, 9, 7, 4847, 0.018891
224, 10, 9, 7, 4847, 0.020652
224, 10, 9, 7, 4847, 0.019000
-------------------------------------------
