sec par, # entries, threshold, expected matches, total bytes, total_time
224, 50, 5, 39, 18915, 1.367162
224, 50, 5, 39, 18915, 1.349045
224, 50, 5, 39, 18915, 1.344035
224, 50, 5, 39, 18915, 1.357831
224, 50, 5, 39, 18915, 1.338832
224, 50, 5, 39, 18915, 1.357491
224, 50, 5, 39, 18915, 1.346383
224, 50, 5, 39, 18915, 1.346575
224, 50, 5, 39, 18915, 1.362879
224, 50, 5, 39, 18915, 1.391178
-------------------------------------------
224, 50, 10, 39, 18914, 1.164326
224, 50, 10, 39, 18915, 1.216111
224, 50, 10, 39, 18915, 1.185028
224, 50, 10, 39, 18914, 1.190156
224, 50, 10, 39, 18915, 1.180829
224, 50, 10, 39, 18915, 1.168441
224, 50, 10, 39, 18914, 1.186236
224, 50, 10, 39, 18915, 1.168881
224, 50, 10, 39, 18915, 1.173620
224, 50, 10, 39, 18915, 1.168733
-------------------------------------------
224, 50, 15, 39, 18915, 0.886442
224, 50, 15, 39, 18915, 0.888770
224, 50, 15, 39, 18914, 0.869534
224, 50, 15, 39, 18914, 0.885277
224, 50, 15, 39, 18915, 0.870972
224, 50, 15, 39, 18915, 0.867297
224, 50, 15, 39, 18915, 0.901181
224, 50, 15, 39, 18915, 0.865024
224, 50, 15, 39, 18915, 0.868853
224, 50, 15, 39, 18915, 0.863367
-------------------------------------------
224, 50, 20, 39, 18915, 0.650388
224, 50, 20, 39, 18915, 0.650772
224, 50, 20, 39, 18915, 0.653113
224, 50, 20, 39, 18915, 0.815431
224, 50, 20, 39, 18914, 0.662245
224, 50, 20, 39, 18915, 0.671237
224, 50, 20, 39, 18914, 0.661680
224, 50, 20, 39, 18914, 0.663718
224, 50, 20, 39, 18915, 0.650367
224, 50, 20, 39, 18915, 0.652755
-------------------------------------------
224, 50, 25, 39, 18915, 0.304288
224, 50, 25, 39, 18915, 0.309100
224, 50, 25, 39, 18915, 0.307005
224, 50, 25, 39, 18915, 0.319924
224, 50, 25, 39, 18915, 0.307349
224, 50, 25, 39, 18915, 0.317928
224, 50, 25, 39, 18915, 0.310472
224, 50, 25, 39, 18915, 0.311896
224, 50, 25, 39, 18915, 0.308812
224, 50, 25, 39, 18914, 0.339934
-------------------------------------------
224, 50, 30, 39, 18915, 0.189227
224, 50, 30, 39, 18915, 0.193754
224, 50, 30, 39, 18914, 0.181762
224, 50, 30, 39, 18915, 0.192572
224, 50, 30, 39, 18915, 0.198380
224, 50, 30, 39, 18915, 0.194959
224, 50, 30, 39, 18915, 0.194254
224, 50, 30, 39, 18915, 0.186593
224, 50, 30, 39, 18915, 0.192009
224, 50, 30, 39, 18915, 0.187984
-------------------------------------------
224, 50, 35, 39, 18915, 0.188511
224, 50, 35, 39, 18915, 0.206343
224, 50, 35, 39, 18915, 0.188408
224, 50, 35, 39, 18915, 0.183041
224, 50, 35, 39, 18915, 0.186395
224, 50, 35, 39, 18915, 0.187111
224, 50, 35, 39, 18915, 0.188451
224, 50, 35, 39, 18915, 0.191929
224, 50, 35, 39, 18915, 0.187184
224, 50, 35, 39, 18915, 0.185377
-------------------------------------------
224, 50, 40, 39, 18914, 0.188722
224, 50, 40, 39, 18915, 0.180648
224, 50, 40, 39, 18915, 0.185316
224, 50, 40, 39, 18915, 0.197610
224, 50, 40, 39, 18913, 0.191670
224, 50, 40, 39, 18915, 0.192638
224, 50, 40, 39, 18915, 0.189387
224, 50, 40, 39, 18915, 0.189171
224, 50, 40, 39, 18915, 0.202497
224, 50, 40, 39, 18915, 0.190244
-------------------------------------------
224, 50, 45, 39, 18915, 0.186156
224, 50, 45, 39, 18915, 0.196227
224, 50, 45, 39, 18915, 0.192101
224, 50, 45, 39, 18915, 0.195205
224, 50, 45, 39, 18915, 0.193189
224, 50, 45, 39, 18914, 0.190835
224, 50, 45, 39, 18915, 0.189067
224, 50, 45, 39, 18914, 0.191607
224, 50, 45, 39, 18914, 0.183246
224, 50, 45, 39, 18915, 0.193575
-------------------------------------------
