sec par, # entries, threshold, expected matches, total bytes, total_time
224, 10, 1, 7, 4035, 0.030064
224, 10, 1, 7, 4035, 0.028661
224, 10, 1, 7, 4035, 0.025691
224, 10, 1, 7, 4035, 0.026936
224, 10, 1, 7, 4035, 0.025494
224, 10, 1, 7, 4035, 0.025230
224, 10, 1, 7, 4035, 0.025693
224, 10, 1, 7, 4035, 0.026898
224, 10, 1, 7, 4035, 0.028734
224, 10, 1, 7, 4035, 0.027088
-------------------------------------------
224, 10, 2, 7, 4035, 0.027034
224, 10, 2, 7, 4035, 0.025786
224, 10, 2, 7, 4034, 0.026559
224, 10, 2, 7, 4035, 0.027706
224, 10, 2, 7, 4035, 0.026608
224, 10, 2, 7, 4035, 0.024946
224, 10, 2, 7, 4035, 0.025052
224, 10, 2, 7, 4035, 0.026317
224, 10, 2, 7, 4035, 0.026403
224, 10, 2, 7, 4035, 0.025327
-------------------------------------------
224, 10, 3, 7, 4035, 0.026389
224, 10, 3, 7, 4035, 0.023700
224, 10, 3, 7, 4035, 0.024123
224, 10, 3, 7, 4035, 0.025598
224, 10, 3, 7, 4035, 0.023683
224, 10, 3, 7, 4035, 0.026236
224, 10, 3, 7, 4034, 0.023278
224, 10, 3, 7, 4035, 0.023479
224, 10, 3, 7, 4035, 0.025027
224, 10, 3, 7, 4034, 0.023718
-------------------------------------------
224, 10, 4, 7, 4035, 0.023133
224, 10, 4, 7, 4035, 0.022831
224, 10, 4, 7, 4035, 0.022816
224, 10, 4, 7, 4035, 0.024967
224, 10, 4, 7, 4035, 0.023572
224, 10, 4, 7, 4035, 0.022580
224, 10, 4, 7, 4035, 0.022819
224, 10, 4, 7, 4034, 0.023745
224, 10, 4, 7, 4035, 0.023479
224, 10, 4, 7, 4035, 0.024008
-------------------------------------------
224, 10, 5, 7, 4035, 0.023372
224, 10, 5, 7, 4035, 0.026103
224, 10, 5, 7, 4035, 0.030465
224, 10, 5, 7, 4035, 0.023992
224, 10, 5, 7, 4035, 0.023148
224, 10, 5, 7, 4035, 0.022990
224, 10, 5, 7, 4035, 0.023939
224, 10, 5, 7, 4035, 0.022372
224, 10, 5, 7, 4035, 0.024093
224, 10, 5, 7, 4035, 0.022854
-------------------------------------------
224, 10, 6, 7, 4035, 0.032274
224, 10, 6, 7, 4035, 0.023734
224, 10, 6, 7, 4035, 0.024817
224, 10, 6, 7, 4035, 0.023526
224, 10, 6, 7, 4035, 0.023489
224, 10, 6, 7, 4035, 0.024461
224, 10, 6, 7, 4035, 0.023469
224, 10, 6, 7, 4035, 0.022767
224, 10, 6, 7, 4035, 0.022762
224, 10, 6, 7, 4035, 0.023151
-------------------------------------------
224, 10, 7, 7, 4035, 0.023808
224, 10, 7, 7, 4035, 0.026407
224, 10, 7, 7, 4035, 0.025152
224, 10, 7, 7, 4035, 0.024365
224, 10, 7, 7, 4035, 0.022748
224, 10, 7, 7, 4035, 0.023258
224, 10, 7, 7, 4035, 0.025721
224, 10, 7, 7, 4035, 0.023197
224, 10, 7, 7, 4035, 0.030457
224, 10, 7, 7, 4035, 0.023152
-------------------------------------------
224, 10, 8, 7, 4035, 0.022483
224, 10, 8, 7, 4035, 0.026443
224, 10, 8, 7, 4035, 0.022399
224, 10, 8, 7, 4035, 0.026278
224, 10, 8, 7, 4035, 0.022474
224, 10, 8, 7, 4035, 0.025416
224, 10, 8, 7, 4035, 0.022939
224, 10, 8, 7, 4035, 0.022919
224, 10, 8, 7, 4035, 0.023891
224, 10, 8, 7, 4035, 0.023269
-------------------------------------------
224, 10, 9, 7, 4035, 0.025858
224, 10, 9, 7, 4035, 0.024057
224, 10, 9, 7, 4035, 0.022937
224, 10, 9, 7, 4035, 0.024691
224, 10, 9, 7, 4035, 0.023130
224, 10, 9, 7, 4035, 0.023703
224, 10, 9, 7, 4035, 0.024364
224, 10, 9, 7, 4035, 0.022419
224, 10, 9, 7, 4035, 0.023177
224, 10, 9, 7, 4035, 0.023850
-------------------------------------------
